image_name| comment_number| comment
102860573.jpg| 3| Construction workers installing a light post .
111285749.jpg| 4| A man is putting up a poster in front of a shop .
"11338041.jpg| 2| A line of people wait to enter a building with a sign posted "" Welcome Bikers . """
1145770960.jpg| 4| A man and a child painting a post .
119534510.jpg| 3| A man reading a book on the dock near a post .
1277949368.jpg| 1| A person wearing a red long-sleeved shirt is lying down on a wall in front of a lamp post in a very unusual manner .
1313869424.jpg| 0| A shirtless man is fishing , standing on large rocks that rest next to a boardwalk with a tall lamp post in the forefront .
134201079.jpg| 3| A man taking a photograph , holding a postcard
1352410176.jpg| 0| Girl walking along the tops of wooden posts set into sand on a beach .
1364148789.jpg| 1| A man in a black shirt is leaning on a lamp post near a traffic cone .
138482998.jpg| 0| A man in jeans and a leather jacket walking by a poster advertising Miller Lite .
1391386453.jpg| 4| A soldier is at his post inside of a museum .
1412022357.jpg| 0| A lady with short hair wearing a black jacket leaned against a lamp post outside a building .
1481393167.jpg| 2| An elderly gentleman and two women post for the camera while sitting on a bench .
1538589805.jpg| 1| A middle-aged Caucasian man is driving a postal van .
154789578.jpg| 0| A black man in a dress shirt is looking through a microscope , while a poster about blood cells is on the wall in the background .
1598809111.jpg| 1| An Asian women in a yellow shirt looking at postcards while at the register .
173616185.jpg| 3| Bum listening to the radio by a light post near the beach .
1813597483.jpg| 1| Black dog with a red collar is climbing over fence posts .
1867334641.jpg| 3| A group of people with posters walking in the dark .
188552459.jpg| 1| A young man is texting while standing in front of a poster .
188741283.jpg| 0| A slightly overweight woman in a short skirt and top stands on the sidewalk in front of a wall with several old posters and a barred window .
189038731.jpg| 0| Two men in orange vests and hard hats are at a parking garage in the UK standing by a post .
192475213.jpg| 1| A male security officer stands at his post behind another man in a patterned sweater .
193225278.jpg| 1| A blond woman interacts with a wire sculpture that sits on a display with a sign posted on it that says ' Mega Joule ' .
194408176.jpg| 4| A man sits on a red cloth on the ground near a blue post .
205149260.jpg| 1| A man standing on a green post watching a train go by .
2077346067.jpg| 2| a man in black walking past a red and yellow signpost whilst eating .
2097615120.jpg| 3| A woman is taking a picture of a monkey poster .
2102581664.jpg| 2| Orange dog jumps over striped posts on course .
2113530024.jpg| 0| Four men in green at a soccer goal post trying to score , while 3 men in blue try to prevent it .
2123995873.jpg| 4| A construction worker leaning against a post .
2125074196.jpg| 2| A person standing on a yellow ladder glues a poster on a wall .
2141692397.jpg| 0| A person in a dark hoodie is jumping onto a street lamp post that is decorated with holiday lights .
2147870343.jpg| 0| There is a girl decorating for an event and a man is standing next to her smiling , and an island poster in the distance .
2148747441.jpg| 0| An Asian man stands behind a makeshift storefront with a handmade yellow poster advertising watch repair .
2175184797.jpg| 1| A person performs a yoga posture in shallow waters at sunset .
2202059975.jpg| 1| Several people stand outside near metallic objects including a few posts .
221063801.jpg| 1| Two people dressed in costumes walk near a poster that says Costa Rica .
2215797676.jpg| 1| A man walking toward a bicycle chained to a post in front of a large window in the early evening .
2224790243.jpg| 4| Men digging to put a post in the ground .
2322797357.jpg| 0| A band performs on a stage in front of wall-sized posters , including two guitarists , a singer , a drummer , and a keyboardist , while one attender takes a picture using a mobile camera from the far bottom left .
2350843831.jpg| 0| A brunette woman in a brown sweater is looking at the camera through heavily lidded eyes while a man in a black cap and glasses behind her rests his forehead in his hand and looks down at a table in front of wrestling posters .
235982200.jpg| 3| Three people are painting a large post .
2387154171.jpg| 0| A man and woman excited to see each other are in an embrace against a light post standing in a busy street way with many people and decorative businesses .
