image_name| comment_number| comment
1000919630.jpg| 2| A man completes the finishing touches on a stuffed lion .
103625356.jpg| 0| A man in a black shirt crouches next to a dirty unfinished concrete edge while several shovels and other tools lean against a tree nearby .
1068427675.jpg| 4| Man finished throwing bowling ball towards bowling pins .
1112334131.jpg| 3| A child finishing an ice cream cone mugs for the camera .
120538235.jpg| 0| A man in a striped red polo shirt , tan khakis , and a Nike visor is surrounded by a crowd of onlookers as he finishes a golf swing .
123728333.jpg| 0| An older man finishes the last touch up on his sculpture .
140526326.jpg| 4| The man has just finished hiking up a rock
146479462.jpg| 1| An African dressmaker puts the finishing touches on a garment while two women watch .
1522291943.jpg| 2| Construction workers work on an unfinished building .
157912479.jpg| 0| A man in blue shirt pausing to have his picture taken finishing his barbecue meal .
1775223211.jpg| 0| One woman is sitting under a loom , another woman is stooping beside it , and is working on the unfinished item .
194705585.jpg| 1| Construction workers hammer nails on the unfinished roof of a house .
200767661.jpg| 2| Shirtless man balancing on unfinished roof .
2023525113.jpg| 2| This is a little girl who just finished her science project .
2064417101.jpg| 2| Three greyhounds reach the finish line .
2077063153.jpg| 0| A man has finished climbing a set of stairs , between two tall , conical structures .
2100610920.jpg| 0| A woman trying on her orange Sari , that the men just finished looming for her .
2101748221.jpg| 1| Two young school kids run to finish their race .
2107951699.jpg| 1| A seated , older woman finishing a painting of a group of African women .
2125074196.jpg| 4| Artist putting the finishing touches on wall mirage .
220655860.jpg| 1| A group of five people seated around a table , just finishing their meal .
221063801.jpg| 0| Dancers , in front of the Costa Rican flag , are finishing their performance .
224657109.jpg| 0| Three people in red overalls collect by a door with is being refinished .
2250750713.jpg| 3| A couple of people have finished shoveling a path .
225434569.jpg| 3| A painter finishes painting the wall outside .
2289762817.jpg| 1| A man sits in an outdoor cafe finishing a meal .
2345386817.jpg| 2| A professional swimmer racing to the finish line .
2403610816.jpg| 0| Two man finish wrapping a billboard sign on a building that advertises Lombardi sports .
241198768.jpg| 2| Two men look down at another man standing on an unfinished walkway .
2438847889.jpg| 0| Young women wearing a red jacket part of a marathon just finished lunch .
2533414541.jpg| 1| a lone blue and white race car about to cross the finish line
2536850983.jpg| 3| a group of construction workers busy refinishing a subway station .
2536985327.jpg| 2| Construction workers stand on scaffolding to finish the ceiling .
2609082055.jpg| 0| A crowd is dispersing after runners have crossed the finish line in a race .
261883591.jpg| 1| A man wearing a hard hat stands in front of buildings not yet finished being built .
2656941282.jpg| 0| A man dressed in a black shirt and jean pants is cutting wood on a table to use for his half finished wooden fence around his yard .
2696045361.jpg| 1| A professional baseball player just finished throwing the baseball .
2775745672.jpg| 0| Two men wearing tool belts and two other unidentified individuals stand in a small unfinished room with two doors , with two of them holding ladders .
2784746.jpg| 0| A woman in a white top at an outdoor picnic finishes off her meal from a paper plate , with a 2-liter bottle of Sprite at her elbow .
2813005964.jpg| 0| A little girl wearing a cardboard diner hat is finishing off some onion rings at a restaurant .
2830561291.jpg| 4| A kid finishing a juice box .
2844018783.jpg| 0| Two young boys sit and one young boy stands on an unfinished wooden floor .
2855594918.jpg| 2| The man on the bike just finished riding through some mud .
2906755876.jpg| 0| A woman and a boy sitting , she is sipping hot coffee and he has finish eating something .
