image_name| comment_number| comment
123728333.jpg| 2| A man with an apron is sculpting a masterpiece .
195962790.jpg| 0| While the humans put their feet into the fountain , the puppy on the side with his master checks out the muzzle leash on the large rottweiler .
2231048328.jpg| 4| The dog is waiting for his master .
2304191667.jpg| 0| A older lady is working with a mix master while two young boys stand next to her with aprons on helping her .
254475194.jpg| 1| A dog and master play in a grassy residential backyard .
2951310606.jpg| 1| This artist in the res shirt chisels away at the stone to create a masterpiece .
3052583479.jpg| 1| A tan dog with a black collar on and his master playing around in their free time .
3096006788.jpg| 3| A Concert master receiving standing applause for a great performance .
3357708906.jpg| 4| Dogs and their masters gather on a dirt trail .
3608400551.jpg| 1| The white dog jumps for an object thrown by his master .
3871713477.jpg| 3| A sidewalk artist crafting their newest masterpiece with chalk .
4222323987.jpg| 1| A man and his father look very amused as the younger man in the blue shirt and masters hat hold up a barbie doll .
4643831103.jpg| 3| A master chef bakes in front of his student .
464527562.jpg| 2| The dog returns the play toy to its master .
4727548331.jpg| 3| A brown dog is clinging to it 's master 's leg .
4874913189.jpg| 2| Two dogs , that are tied to the building , patiently wait for their master to return .
4886280540.jpg| 0| Clown in red and black checkered pants on stilts acts as a puppet master as a female in blue hair acts as a marionette .
4928775496.jpg| 1| A glass blower fires up his furnace as he begins to make a masterpiece .
5769574991.jpg| 2| Elderly gent oil painting his masterpiece .
6191516871.jpg| 1| A grand master and students in a martial arts class bow towards each other in a gesture of respect for each other and the sacred art .
