image_name| comment_number| comment
1003163366.jpg| 1| A man lays on the bench to which a white dog is also tied .
1010031975.jpg| 0| Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van .
1014609273.jpg| 2| A young boy empties a bottle over the railing of a balcony unto the man below .
1061887159.jpg| 2| People are doing various activities on the beach .
106691539.jpg| 2| A surgeon and surgical staff operating on a patient .
1101207553.jpg| 1| Two dock workers and small boat guiding a cruise ship to place to tie up on dock .
11205420.jpg| 2| A bike sitting in a street with a rope tied to it and a guy walking on the rope .
112264837.jpg| 2| A man wearing a red tie standing in front of a statue .
115125072.jpg| 2| Doctors wearing green scrubs are performing surgery on a patient
1177949654.jpg| 1| Several people are around the steps of a building performing many different activities while wearing white and black clothing .
1187252153.jpg| 1| A young guy , probably in his early twenties , shows off his culinary skills with pride .
120545125.jpg| 1| An Aikido student striking an attack in a demonstration to other students who stand patiently on the side of the mat .
12142386.jpg| 0| A clown in a red and green shirt , yellow tie , juggles four small balls .
1251583490.jpg| 2| A shirtless man in a hat and tie is hammering metal on an anvil .
1252787177.jpg| 4| Three pairs of granny panties hanging on a line .
126594141.jpg| 1| A female athlete ties the laces of one of her cleats on the field .
1303335399.jpg| 1| A very young boy sliding down a slide into a swimming pool , wearing blue floaties .
132305274.jpg| 1| An older man in a suit and salmon tie dozes on a city bench .
1324673652.jpg| 0| An African man wearing a maroon suit top is leaning next to a tall tied bundle of sticks , with bales of leaves in the background .
132489044.jpg| 0| A young man in a suit and tie leans against a railing to take a nap on public transit .
13255060.jpg| 3| Two guys with their head down on a table and a guy looking patiently outside .
133189853.jpg| 0| A man wearing a tuxedo shirt , vest , and bowtie is kissing another man wearing the same thing on the cheek .
13327175.jpg| 2| A man is holding a rope which is tied to a pig .
1342780478.jpg| 0| A man with a white shirt and tie is standing on a sidewalk between cement barriers .
1349427689.jpg| 1| A boy in a blue boat tied to a larger boat dumps out a bucket of water .
1354131040.jpg| 3| A man displaying different varieties of fish in an older building
1360456780.jpg| 2| A woman is celebrating festivities , wearing colorful clothing , and walking elegantly .
13652901.jpg| 3| Two workers inspecting a ship tied up in a dock .
137306602.jpg| 0| A man with a white shirt and red tie is talking to another man in a kitchen .
137861003.jpg| 0| A mother and her two sons walk behind a horse tied to a boat .
1391394685.jpg| 3| A man in a black suit with a white bowtie standing in the middle of a crowded room .
139719522.jpg| 0| A young boy with black hair and tie-dyed shirt and jeans and an older man balding with a long-sleeved dark shirt and jeans working on lawn equipment .
1402489103.jpg| 1| A woman in a formal suit takes pictures as the crowd waits patiently for unfolding events .
1404471863.jpg| 0| A young gentlemen with a blue tie talking into a microphone .
1405005999.jpg| 1| Women of different ethnicities stand in a room , holding red and yellow darts .
1405383834.jpg| 0| Caucasian couple , both with red-hair , bride wearing a white wedding gown , groom wearing light blue shirt and silk blue tie , sharing a piece of white wedding cake with chocolate frosting .
1408677769.jpg| 1| A woman , dressed in a yellow blouse and black panties , is playing beach volleyball .
1409801982.jpg| 1| A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces .
