image_name| comment_number| comment
10010052.jpg| 0| A girl is on rollerskates talking on her cellphone standing in a parking lot .
1001896054.jpg| 3| A man in a tractor wearing headphones driving down a paved street .
1027149103.jpg| 2| A man wearing a yellow t-shirt is shouting into a microphone while an audience is listening .
1029737941.jpg| 0| Boy in brown shirt with headphones on sits on woman 's shoulders in a crowd .
1030041880.jpg| 1| A red-haired woman in a white top and green and white skirt is singing into a microphone .
1045124251.jpg| 0| a blond-haired man with glasses and a blank tank top is sitting next to another man with glasses and headphones while sitting on a train .
1051290485.jpg| 1| Two women squatting on the sidewalk looking at plants , one in black shirt , shorts and pink sandals , the other in a white shirt , black shorts talking on a cellphone .
105335409.jpg| 0| Man talking on a microphone and a crowd of people in front of him .
1073444492.jpg| 0| A guy sitting at a desk talking on a phone with books laying everywhere .
10751489.jpg| 0| Two men are squatting with one man lighting a stick from a candle flame and the other man has his hands folded looking at the ground while a person wearing a bracelet has a phone to their ear .
109770830.jpg| 0| Two buildings beyond a concrete wall facing a walkway with a woman talking on a cellphone .
1101291373.jpg| 0| A man in sandals and white cardigan sits on a green bench while talking on his cellphone .
1101923011.jpg| 0| A man wearing a white tank top sings into a microphones on a stage with a crowd watching .
1126450961.jpg| 0| A man in a business suit talking on the phone and carrying a briefcase walking by a mirrored building .
1144288288.jpg| 1| A woman in a white shirt and blue shorts is wearing headphones .
1144885633.jpg| 0| Three young men read the plaque on a wooden cross in a rocky landscape , one young man is talking on his cellphone .
122634567.jpg| 0| A man wearing glasses holds a flip phone in his hand while a woman wearing earrings stands behind him .
123416768.jpg| 0| Three women at a shopping mall , one has a dog , one is on her cellphone , one is playing with her necklace .
124145159.jpg| 0| Two men , one looking at a screen with a drum next to him , while the other is a man dressed in a white shirt is talking into a microphone .
1262720546.jpg| 1| A man is playing a small guitar-like instrument and singing into a microphone .
12637806.jpg| 0| A man in jeans and a blue long-sleeved shirt is on his phone while leaning on the edge of a building .
128128618.jpg| 1| A man playing a xylophone is seated next to a man playing the guitar .
1287166023.jpg| 0| A lone musician in black is on stage , playing an acoustic guitar and singing into a microphone .
1294578091.jpg| 0| Standing man on phone with seated woman writing , near artist 's outdoor display .
129528391.jpg| 1| An accordion player wearing a heavy jacket , scarf and beanie standing by a yellow telephone pole .
1298866571.jpg| 0| Man in suit is using his cellphone while sitting on a train .
13051044.jpg| 0| Puppeteer wearing a purple sleeveless shirt showing off a puppet that looks like a black man with shades playing a saxophone .
1311388430.jpg| 0| A person hanging from a telephone pole near the mountains .
1346051107.jpg| 1| The man is standing next to a fire hydrant and playing a saxophone .
