image_name| comment_number| comment
109380144.jpg| 0| Three young adults are sitting around , with the girl pretending to kick one of the guys in the face while laughing , and the guy behind him looks like he 's in midsentence .
1131056918.jpg| 2| Two men pretend to be statutes while women look on .
1421047822.jpg| 1| A man dressed as a clown and a young man wearing sunglasses pretend to ponder something seriously .
1680674943.jpg| 3| A small girl is lying on the floor while her younger sister is pretending to be a nurse .
1891331926.jpg| 2| A man in a tuxedo pretending to play a tennis racket like a guitar .
205038743.jpg| 0| Man in yellow shirt pretends to pull anchor rope inside a ship with a glass of what looks like beer close by .
2056930414.jpg| 2| A little boy with toy microphone and guitar pretends to play music .
206370514.jpg| 2| A man jumps into the air while a young girl pretends to fight back while standing on a couch .
2130851544.jpg| 0| a young boy pretending to play with an ice sculpture gun
215982386.jpg| 3| A lady pretending she is pulling a black bear on a plank .
2175631995.jpg| 0| A smiling blond young woman in a purple sweater holds a faux alligator up to another blond young woman who pretends to be scared .
2204677106.jpg| 1| An angry-looking man pretends to choke his female counterpart .
2308322210.jpg| 0| A man in a striped shirt is pretending to talk to a mannequin and shaking his hand on a street sidewalk
2342643387.jpg| 3| A girl in a yellow coat pretends to ride a stone lion .
2403532277.jpg| 0| Backyard jump pose that looks ninja like as two friends pretend to fight among green garden set ups .
242216901.jpg| 0| Groups of people are sitting on a curb and the others are walking , a young woman is pretending to be a stone statue of an angel and a woman has a little boy on her shoulders .
2424398046.jpg| 1| A toddler plays the guitar and pretends to be a rock star .
244799313.jpg| 2| A photo snapped by this little girl 's parent while she is pretending to be a ballerina balancing on the ledge .
2519483556.jpg| 2| Three girls pretend to be rock musicans in a posh living room .
2658439322.jpg| 4| Two men pretend to be knights .
2661294969.jpg| 1| Man dressed as a judge pretending to hang another man on top of a truck .
2663272259.jpg| 0| A little boy in a black vest is holding two tusks up to his cheeks , pretending to be some sort of animal .
2705860464.jpg| 2| Some children in lab coats are pretending to do surgery on a dummy .
2708775214.jpg| 0| A young man in a black graphic shirt is pretending to place his hand in a torture device in a playful manner .
