image_name| comment_number| comment
131122346.jpg| 0| Four men and women in blue aprons strand in front of a table where there are many white plates and small blue bowls .
174236758.jpg| 0| A tattooed girl , with strands of blue hair , draws stem-like art on a wall .
2230620391.jpg| 4| A baby is playing with a strand of beads .
279766384.jpg| 0| A man hangs on to a strand of cloth with his big toe , his fingers and his teeth while standing on a platform by a river .
3131160589.jpg| 0| A rock climber wearing a Santa suit is hanging from a strand of Christmas lights .
459560694.jpg| 1| A man touching a hanging strand of lamps .
4810828117.jpg| 4| A man in a blue striped shirt strands next to a woman .
4946004444.jpg| 3| People standing on top of a stranded boat .
55903788.jpg| 0| A woman in a dark green tank top holds a long strand of another woman 's red-colored hair while running a hairbrush through it .
5995817000.jpg| 2| A young girl is stranded in front of a large rock in the middle of a river .
7379448802.jpg| 1| A group of workers stand over strands of marigolds at a marketplace .
85707684.jpg| 0| A man in a plaid jacket is cutting fabric with several colorful strands of fabric behind him .
