image_name| comment_number| comment
1014609273.jpg| 2| A young boy empties a bottle over the railing of a balcony unto the man below .
1053243591.jpg| 0| Young woman holding a bottle , reaching out from a bench to shake a man 's hand .
1076503761.jpg| 0| A girl with blond-hair is holding a bottle and wearing a blue and green floral bikini on a boat .
1088385559.jpg| 0| An older woman stir fries vegetables in a home kitchen , with a counter crowded with jars and bottles in the background .
1097710887.jpg| 0| A very young girl playing with a bubble-blowing wand , holding a bottle of bubble solution and walking through a park or field .
1130017585.jpg| 0| There are three young people , one dark-haired holding a bottled drink , one with head tilted back and finger in her mouth , and one with spiked hair .
1144874057.jpg| 1| A man in a white long-sleeve shirt and black cap holding a bottled drink under his arm .
1239873050.jpg| 0| Three people in a group of cars in what appears to be a city scene ; two of them carrying a large bottle and one is a female dressed in high heels .
1246237064.jpg| 0| A bald white man wearing an apron dines alone at a restaurant table , set with a full meal and a bottle of wine .
1269022629.jpg| 0| A skinny guy with long curly hair and glasses is wearing white gloves as he injects something in a bottle
1301140633.jpg| 0| Blond child with dirty face holding yellow bottle with red cap , plants in background .
1301978702.jpg| 0| There is a middle-sized white male sleeping in a chair holding a marker and a bottle .
135444722.jpg| 1| women in a black shirt standing with a bottle of water in hand in front of wall with Greek writing on it .
1399295078.jpg| 0| Two men wearing suits are chatting while one is holding a bottle of water .
1409702228.jpg| 1| The man in a dark blue shirt is squeezing a bottle filled with a gold-colored substance .
1410019664.jpg| 0| People inside of a large white tent , with bottles of wine on the tables .
1427822472.jpg| 1| A man is sleeping outside on cardboard next to a water bottle .
1433262517.jpg| 0| It looks like to me , they are figuring out Names , for what 's in the bottles .
1438769690.jpg| 0| Truck filled with 5 gallons bottles in the back and a man on top looking at them .
1440465.jpg| 0| A group of men are sitting around a table that has bottles of beer on it .
1457762320.jpg| 0| A group of men chat and drink water from water bottles while standing by their bicycles .
14799369.jpg| 1| A young man holding a beer bottle and a cigarette splashes fluid on charcoal in a grill .
149042906.jpg| 0| Two barefoot young African boys in brightly colored clothing are sitting on a stone floor , one holding a clear bottle of water with a second , blue bottle on the floor between his legs .
160210792.jpg| 2| Man carries empty Coke bottles on his head across dirt road .
163804372.jpg| 2| A girl with short hair and a white shirt is holding a beer bottle
