image_name| comment_number| comment
1275832390.jpg| 0| The person towards the right is wearing riot uniform while people seem to be filing out .
1373135088.jpg| 3| A man running from riot control .
181618457.jpg| 1| Three men in hats are riding in the back of a truck dressed in patriotic paraphernalia .
2022338217.jpg| 4| A patriotic skydiver with an open parachute and flag .
2446244213.jpg| 3| Two women on the street presenting to a crowd , possibly trying to start a riot .
3064443326.jpg| 3| A man with a red bandanna over his face looks on as police stand in the background wearing riot gear .
3093728951.jpg| 1| Several adults and children rioting for smaller class sizes .
3093747503.jpg| 2| A riot squad forms a line next to an over turned car .
3285552304.jpg| 3| Patriotic team fans have fun while watching the game .
3544573946.jpg| 3| A man takes a picture of a girl with a patriotic outfit .
3578757767.jpg| 2| A young boy in patriotic shorts running on the beach .
3687938978.jpg| 0| A man in an American flag shirt , and a patriotic hat rides a bike while several other bicyclists follow behind him .
3688343105.jpg| 0| A concert band displays patriotism and talent , through dress , as well as their music .
3752991046.jpg| 0| A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger .
3824938721.jpg| 3| Patriotic band is playing music for onlookers .
40261771.jpg| 4| many people stand in a riot .
4115261994.jpg| 2| maybe a riot in a busy city or maybe a fire from a burning building .
4145970273.jpg| 3| A riot breaks out in the streets of an Asian city .
4421766226.jpg| 0| A woman dressed in patriotic colors rides a horse also dressed in patriotic colors in an indoor fenced dirt clearing while holding a large American flag .
4432695449.jpg| 0| Four police officers dressed in riot gear are maintaining a crowd that includes a man dressed as a clown .
4533155215.jpg| 1| A man in a patriotic t-shirt and baseball cap holding up a protest sign .
4571013172.jpg| 1| A man with a colorful mohawk plays patty-cake while riot police stand-by .
4592329357.jpg| 0| Hands are raised by a crowd at the New York Marriott Marquis .
4615485077.jpg| 0| Police in riot gear fill a street lined with spectators in red clothing .
4616045208.jpg| 1| A man with a purple bandanna is clad in police riot gear ," including a helmet and a vest marked "" Police "" ."
4629577937.jpg| 2| Police officer with riot shield stands in front of crowd .
4633260902.jpg| 0| A large group of police dressed in riot gear walk down a street .
4651200817.jpg| 1| Two people riding bicycles are stopped along with cars at an intersection after crossing the bridge in front of Marriott .
4706466713.jpg| 4| People are rioting on the street .
4743644732.jpg| 1| A man in a blue shirt poses on the street in front of police in riot gear .
4765722852.jpg| 4| A group of riot police standing around .
4819912544.jpg| 4| A group of patriotic people are celebrating .
4965314386.jpg| 4| A young boy enjoys riding his patriotic bike down the road .
49718710.jpg| 3| Three kids in a golden chariot being pulled by six little dogs .
5453806694.jpg| 0| People in full riot gear running through a barricaded street led by two people on horseback while a seated crowd watches .
5902806140.jpg| 2| All American man dressed up for the patriotic holiday at the fair .
6010457937.jpg| 1| At the rodeo , a patriotic cowboy and cowgirl prepare to ride with an american flag .
6195608205.jpg| 4| A baseball team is rioting .
7005944799.jpg| 1| There is a man taking pictures of another man being surrounded by police in riot gear .
711785371.jpg| 0| Toddler showing patriotism with an American flag on his shirt and in his hand .
721943065.jpg| 0| Two children are patriotic in their red , white and blue decorated wagon going through a parade .
7513836082.jpg| 1| In what appears to be a patriotic parade , a man riding a vehicle is holding a little girl and American flags abound .
7690660482.jpg| 0| A lady dressed in patriotic American clothing riding in the back of a convertible in a parade .
