image_name| comment_number| comment
101471792.jpg| 1| a man wearing a red coat is outside with his hand over his head to block out the sun .
1043819504.jpg| 0| A group of 11 people in winter wear such as beanies , skiing jackets , gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them .
1080230428.jpg| 0| A male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .
110647073.jpg| 0| Two men pushing wheelbarrows , two men looking at them , they are in the desert near some block construction buildings .
1131883759.jpg| 4| Someone is drilling some plastic on a wooden block .
1144874057.jpg| 0| Six people are standing in a concrete block building with a piece of plastic and a green basket on the floor .
1212131969.jpg| 1| A young boy watching a woman walk though blocks .
127257426.jpg| 0| A young girl jumping off a concrete block , with her arms and hands in the air , above her head .
127488876.jpg| 2| Two golfers look off into the distance with hands blocking the sun .
12904242.jpg| 2| A young female swimmer is getting ready to jump off the block .
1299459562.jpg| 0| Three boys in baggy bathing suits play in splashing water in front of a gray , block wall .
1414779054.jpg| 4| A boy jumping off of a cement block .
1500576335.jpg| 0| A UH football player , ,  15 , stands near the edge of the field ready to throw the ball while his teammate blocks an opponent .
15019062.jpg| 1| Man in straight jacket trying to get loose , standing in front of child with Jenga blocks .
1516714577.jpg| 2| Little girl stands in front of brick wall on cement block .
164622257.jpg| 0| A man in a black jacket and blue jeans carrying a camera walking up to the front of a cave that has the front of it blocked off by bars .
1691038839.jpg| 2| A goalie attempts to block a puck hit by a player at an ice hockey game .
170273913.jpg| 4| A policeman is shown working a block party .
1716219111.jpg| 3| A person , whose face is blocked , is working on a large wooden loom .
1774246825.jpg| 4| A woman is sitting alone on a block .
18638574.jpg| 0| Two kids wearing white robes are practicing martial arts ; boy on the left has blond-hair and is blocking a punch thrown by the dark-haired boy on the right .
1875237930.jpg| 1| A girl spikes a volleyball as two opposing players try to block the ball .
189038731.jpg| 1| Two workers in their hard hats and safety vests stand near a yellow block of concrete .
1897067588.jpg| 0| A man wearing green goggles watches as a woman in green goggles and holding a torch solders some metal on top of wooden blocks .
191375755.jpg| 1| A couple in jeans strolls down a street that is adjacent to an area being blocked off with orange netting .
193657666.jpg| 0| A street blocked off and guarded with one man in a striped shirt standing in the cleared road .
19810652.jpg| 3| A man and woman look upward on a city block .
1991806812.jpg| 0| A fighter attempts to kick another fighter while the other fighter blocks his kick .
2057257734.jpg| 0| Two guys sitting close together in a cluttered kitchen at the butcher-block island counter with their mouths wide open and leaning forward toward a well done turkey in an aluminum foil roasting pan .
2095711097.jpg| 1| Construction masons at work laying concrete blocks on a multistory building .
2126230680.jpg| 1| The man in blue is punching the man with the red gloves while he blocks his face .
2206282062.jpg| 1| 3 women are playing beach volleyball , with one about to spike , one about to block , and the other looking on .
220631119.jpg| 0| Two women , one spiking the ball and another trying to block the ball , playing beach volleyball .
2237436639.jpg| 0| A group of workers cutting cement blocks with electric saws .
226481576.jpg| 0| A female police officer , wearing an officer 's hat and sunglasses , stands in uniform in front of a window-lined street block .
2270490287.jpg| 0| There are several construction workers in an area blocked off from a sidewalk by a orange and white barricade and a metal fence with several construction machines .
227441355.jpg| 3| Man secures a large block of concrete .
2308029439.jpg| 0| There is a woman in a red coat with black pants and a black bag sitting in a place with many big cement blocks .
"230819485.jpg| 0| A man prepares to throw a blue ball at a stack of blocks in a carnival game ; a display with the word "" Blockbuster "" is visible behind the game ", as well as a variety of stuffed animals .
2328550379.jpg| 2| A firefighter is putting wooden blocks under a crushed blue car .
2338791560.jpg| 0| A small boy plays with plastic blocks , cars , and animals with an adult watching closely .
23473996.jpg| 2| A group of men standing by a road block .
2374289148.jpg| 2| A block haired lady wearing a long black coat and high heel boots walking in a city .
2378196105.jpg| 4| The man is jumping over blocks on a track .
239112510.jpg| 1| A game of blocks between two people has ended because the blocks are falling .
241345942.jpg| 3| A man in a Sooners jersey blocks an attempted UW tackle .
2415402073.jpg| 1| The young woman wearing a striped pink shirt is approaching the stone-block stairs .
2416193212.jpg| 4| A woman walking down the block .
2426795961.jpg| 0| Four children playing at a preschool , one looking out the window , one is running , and the other two are playing with wooden blocks .
2435685480.jpg| 3| A woman in a knit cap and green coat its on a stone block , looking out .
2439813616.jpg| 0| its a distorted lens ( almost fish eye ) of a teenage boy skateboarding on a concrete block .
2440309761.jpg| 0| A young soccer player is kicking a goal while the goalie tries to block .
2441815792.jpg| 0| A woman stands on a concrete block taking a picture of a group of people on a sidewalk beside the road .
2442648312.jpg| 0| A man wearing orange earmuffs cuts a block of wood with a chainsaw .
2455800418.jpg| 0| A young toddler is playing with a dinosaur toy and a yellow block while sitting in the bathtub .
2474092890.jpg| 3| The person blocks his face with newspaper to avoid being photographed .
2474776724.jpg| 1| A small girl is blocking a much larger girl in a red and white uniform .
2501548593.jpg| 0| Two women playing beach volleyball with one trying to spike the ball and one trying to block the ball .
250346988.jpg| 0| A woman wearing a hat is using an umbrella to block the sunlight on a crowded street .
2518550484.jpg| 3| A Boy and a Girl relaxing by a block wall .
2526041608.jpg| 0| A boy in a yellow uniform carrying a football is blocking another boy in a blue uniform .
2534352312.jpg| 0| Workers brush off the stops in front of a monument , blocked off with traffic cones .
2536946133.jpg| 1| two emergency response workers are putting blocks underneath a train .
260628700.jpg| 0| Crowd watches as a woman in red shirt goes to break a cinder block with a sledgehammer on a man 's chest .
2640101451.jpg| 0| A child and a woman lay out some papers with children 's drawings on them , on top of some sort of large white block .
264177577.jpg| 3| A blond girl is performing karate and kicking through blocks of wood .
2644277889.jpg| 0| Two women kickboxing , the woman wearing red is blocking a kick from the other smirking woman wearing blue .
2656110989.jpg| 0| A black-haired man is sitting on a bench on grass , and near cement and wood blocks .
2662845514.jpg| 1| A man doing a karate kick on a block of ice .
2668179897.jpg| 1| man wearing a black shirt is using a chainsaw to sculpt a bird from a block of wood .
2705659087.jpg| 1| A woman wearing a salmon and green striped dress is sitting on a cement block with trees in the background .
2710563762.jpg| 0| A girl basketball player wearing blue is blocking another girl player wearing yellow .
2731171552.jpg| 2| One child is pointing to the sky and another is trying to block the sun to look
2752331711.jpg| 1| A man sits on a folding chair on big block of ice , holding on to a rope .
