image_name| comment_number| comment
1077546505.jpg| 0| A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .
1087168168.jpg| 3| A teenage boy is jumping on an inflatable slide .
122958692.jpg| 4| Missed that point by a landslide .
1303335399.jpg| 0| A baby boy wearing a shoulder life saver is at the very edge of an orange pool slide .
1315116409.jpg| 1| The Drayton Manor Theme Park roller coaster on a downward slide with frightened and joyous male and female passengers .
1362794608.jpg| 1| A mother with a blue shirt , chases after her child , who is inside a red slide .
1362987900.jpg| 0| Man wearing a black fedora hat , blue shirt , strumming an electric guitar with rhythm slider on his left pinkie finger .
1443807993.jpg| 0| A child slides down a colorful slide while another child watches
1490670858.jpg| 0| a young boy wearing a blue outfit sliding down a red slide .
1527513023.jpg| 0| A little boy splashes into the small pool at the end of a yellow slip n 'slide .
156021287.jpg| 0| One young child in a swimsuit jumping off a blue inflatable slide with water .
1560281711.jpg| 0| With blue slide in background , a young boy is standing on a swing 's seat at a playground .
1573017288.jpg| 0| A young girl with a heart tank top raises her hands as she slides .
1574401950.jpg| 0| A child jumps over the slide portion of playground equipment shaded by trees .
1670592963.jpg| 4| A collie runs down a slide .
16806669.jpg| 2| A man is intently observing a slide through a microscope .
170100272.jpg| 0| A small girl slides down a spiral slide at the playground .
1733724955.jpg| 0| Two women , one in a dark colored clothing and one in light colored clothing , rides a water slide .
1798215547.jpg| 0| A little boy in black slides headfirst down a tan tube with his mouth open wide .
1925434818.jpg| 1| Two children slide down a slide into a ball pit while another child looks on .
2061354254.jpg| 2| A smiling boy slides down a rope while hanging on .
2097650932.jpg| 1| A girl rides down a slide in a small cart , smiling a toothless grin .
2121357310.jpg| 1| A boy in a swimsuit slides along a stretch of wet plastic .
2127031632.jpg| 1| A child on a red disc sled slides down a small snow-covered hill .
213216174.jpg| 3| A boy dives into a pool near a water slide .
2140182410.jpg| 0| This person , bundled up for the snow , slides down the hill on an intertube .
2141713971.jpg| 0| A woman and a younger girl , both wearing blue jackets and knit caps , slide down a hill on a snow sled , a dog running at their side .
2162367970.jpg| 1| Two children , one in red , one in black , slide down a snow covered hill as they laugh .
2173061319.jpg| 4| A boy slides down a snowy hill in an innertube .
2180731945.jpg| 0| Two men wearing button up shirts standing at a podium with medical slides showing on a screen behind them .
2210339046.jpg| 0| There is a boy wearing a cap , long shorts and slide on slippers sitting in a fold up chair on the dock of a lake or river , fishing .
2276120079.jpg| 0| Little kids are playing outside with a water hose and are sliding down a water slide .
228949397.jpg| 0| A young boy about to enter a pool after sliding down a yellow slide .
2297345744.jpg| 0| A man looking through a microscope and manipulating the contents of the slide .
2298661279.jpg| 0| A boy in red pants getting ready to slide down a metal slide .
2309469243.jpg| 0| A small girl climbs her way up a playground set towards a slide .
2342288990.jpg| 0| A very young boy in a black jacket , jeans , and tennis shoes holds himself at the top of a slide , waiting to go down .
2358447641.jpg| 1| A girl wearing a red snowsuit slides on her back on the ice .
2358554995.jpg| 0| A child is preparing to slide down a piece of playground equipment .
2363540508.jpg| 1| A young girl going down a tube slide .
2385744837.jpg| 1| A child in a red parka slides down a snowy hill .
2392763642.jpg| 3| 2 women in white lab coats looking at slide projection
2396746868.jpg| 0| A little boy is watching another little boy ride on a blue slide .
2407091303.jpg| 0| A little boy stands wide-legged , each foot on each side of the tube slide .
2426781076.jpg| 0| A boy wearing all black is sliding down a blow up yellow slide .
2445654384.jpg| 0| A man with sunglasses is helping a child with sunglasses slide down a slide .
2448793019.jpg| 0| A young child wearing sunglasses is at the base of a blue slide .
2450299735.jpg| 0| A little girl in a white shirt sliding down a green slide splashing into a blue baby pool .
2502935765.jpg| 1| A child slides down a pole on a playground .
2510029990.jpg| 0| A smiling boy with a blue sweatshirt and camouflage shorts on a metal slide in the grass .
2515247156.jpg| 0| A young boy slides down a blue slide with his eyes closed while a woman with sunglasses watches , smiling .
2528489543.jpg| 1| A boy stands in the pool at the bottom of a blue water slide .
2537197415.jpg| 1| A child is playing on a slip and slide game in the grass .
2542037086.jpg| 0| A child laying on their stomach at the bottom of a slide looks up .
2554570943.jpg| 3| Child climbs the inside of a red slide .
2568234923.jpg| 0| A man in a yellow shirt is playing slide on an acoustic guitar on a stage with a microphone .
2576878141.jpg| 0| A little boy in a blue jumper is playing on a red plastic toy that looks like a slide .
2597737483.jpg| 0| A boy wearing a t-shirt with the American flag , goes down a slide with his arms flung out .
2620483456.jpg| 0| A happy little boy bounces down a large balloon slide wearing a red t-shirt and white socks .
262376764.jpg| 3| A toddler and a baby play at the end of a slide .
2642688531.jpg| 2| Boy in yellow shirt sitting in yellow playground slide
2643263887.jpg| 0| A young boy smiling as he rides down an inflatable water slide .
2646540383.jpg| 0| A boy wearing a blue swimsuit begins to slide down a water slide .
2655647656.jpg| 0| A boy leaping on to a slip and slide with his friends watching in the background .
2664103423.jpg| 1| The man slides in the sand while holding on to his hang glider .
2696636252.jpg| 1| A person wearing Rollerblades slides along a handrail .
2699983419.jpg| 0| A man in a white shirt slides through the sand towards a man in a blue uniform and hat holding a sporting glove out towards him .
2708582445.jpg| 0| Little girl with pigtails sliding down a green slide .
2718024196.jpg| 1| A young boy plays outside on a sunny day on his slip and slide .
2718027742.jpg| 0| A child seen from the waist down in a bathing suit standing on a slip and slide with jets of water shooting up
2720167660.jpg| 2| A young man jumps into the water from a floating slide .
2730819220.jpg| 0| a little girl is just reaching the bottom of a playground slide
2736508369.jpg| 0| two fielder are defending the base as a member of the batting team slide towards it .
2766854400.jpg| 1| A young boy in an orange shirt has wild hair after sliding down a slide .
280435773.jpg| 2| A man in a white checkered shirt gives a business presentation with a slide show behind him .
2804374083.jpg| 0| A girl in a pink bikini screaming at the end of a water slide emerging into a pool .
2827589184.jpg| 1| A female softball player dramatically slides into a plate as the baseman stands poised to catch the ball .
289616152.jpg| 1| Skateboarder slides across rail in corridor .
2911245290.jpg| 1| A man carries a little boy down a water slide and makes a big splash .
2918653119.jpg| 0| rollerblader in green shirt and hat , slides down a green handrail next to steps
2944362789.jpg| 3| A man going skating down a slide while two kids look on .
2959941749.jpg| 1| A group of hockey players slide along the ice during a game .
2963573792.jpg| 0| A little girl slides down a green slide with her arms up at a playground .
2988244398.jpg| 0| A little boy in denim overalls slides down an orange slide .
3005512395.jpg| 0| A young male child , wearing khaki pants and a red striped polo shirt , sitting on a steel slide in a public playground .
301608837.jpg| 0| The young , blond-haired child playing on the outdoor play gym is preparing to slide down the firehouse pole .
3030566410.jpg| 0| A woman slides down a purple water slide with a small boy on her lap into a pool .
3044746136.jpg| 1| A group of people are at a conference watching a slideshow .
3047559556.jpg| 0| A young boy in a hoodie climbs a red slide sitting on a red and green checkered background .
3053415073.jpg| 4| A skier slides along a metal rail .
3054200086.jpg| 2| A hockey player wearing black and white slides his stick along the ice .
3060035383.jpg| 0| a woman in a green tank top sliding down a slide with her arms in the air .
3065560742.jpg| 0| Two hockey players slide into each other on the ice
3148193539.jpg| 0| Three boys wearing green shirts and tan pants pose at the top of a slide .
3165943777.jpg| 0| Children playing on a playground sliding down a slide .
3175849727.jpg| 4| A man is sledding on an orange slide .
3188036349.jpg| 0| a child in a blue shirt exits is being deposited from a slide onto a sand in front of palm trees .
3198962089.jpg| 1| The snowboarder does a board slide over a wooden obstacle .
3204686006.jpg| 1| A group of people go sledding on a snowy hill and a dog chases one as he slides .
3250604628.jpg| 0| A man rides a red tray to slide down the snow on a clear snowy day .
3255539705.jpg| 2| A teenage girl in winter clothes slides down a decline in a red sled .
3259579174.jpg| 1| A young child slides down a snow slope while smiling .
3284695268.jpg| 0| A blond child in a jacket is sitting at the top of a slide at a playground .
3319899418.jpg| 1| A snowboarder slides down the side of an A-frame house buried in snow .
3328646934.jpg| 1| A blond boy slides down a sand dune on a skateboard with no wheels .
3335322101.jpg| 2| A woman giving a presentation using a slideshow projection .
3335873796.jpg| 0| A woman wearing a green shirt is giving a slide presentation on the upcoming zombie uprising .
3336065481.jpg| 0| A young girl dressed in yellow sliding down a curvy , red slide at a playground .
33382940.jpg| 3| A man is standing with a backpack on a wooden slide .
3342952175.jpg| 1| A boy wearing a blue shirt is going down a slide .
3346289227.jpg| 3| A man slides a skateboard down a stair ramp .
3366377833.jpg| 0| A baseball player slides towards second base while the short stop throws to ball to try to complete a double play .
3367200276.jpg| 1| A baseball player tries to slide into third base while another player blocks him , as an umpire approaches .
3374223949.jpg| 0| A young girl in jeans sits at the top of a red and yellow slide .
3376659951.jpg| 0| A female baseball player slides in the dirt onto a base while another female baseball player tries to tag her out .
3377344932.jpg| 0| A yellow lab descends a slide , while a mother in a red sweater and a child in a black shirt play with a brown dog .
3377383984.jpg| 3| A girl slides into a base in a softball game and is tagged out by another girl .
3386953179.jpg| 2| A snowboarder in a red jacket slides down a snowy mountain .
3394750987.jpg| 4| A skateboarder slides down a metal railing .
3412822878.jpg| 4| A skateboarder slides down a handrail on his feet .
3436221798.jpg| 2| A woman in a red and white uniform slides on the grass to catch a softball .
3442540072.jpg| 0| Camera looks down inside green tube as child slides away .
3448162992.jpg| 1| A boy in orange shirt and blue jeans is jumping on the slide while others watches him
3448490813.jpg| 2| A boy has climbed to the top of a slide .
3457455611.jpg| 4| A boy emerging from a green slide
3465473743.jpg| 0| Two little girls ride an inflatable dinghy down a purple water slide .
3472270112.jpg| 2| A runner slides into second base while the shortstop waits for the ball
3475005101.jpg| 1| Little league slides into plate where rival player crouches in anticipation .
3484841598.jpg| 2| Women are playing softball and the catcher slides onto base .
3498354674.jpg| 4| A skateboarder slides down a handrail .
3504922522.jpg| 1| A woman in a black shirt gives a presentation while projecting slides onto a screen .
3513265399.jpg| 0| A baseball player slides home in a non professional baseball game in an HDR photograph .
3519815055.jpg| 4| A child jumps off a slide .
3549464203.jpg| 3| An adult is encouraging a young girl to try the slide .
3562169000.jpg| 0| A blue race car slides off the racetrack and hits white median bumpers with its rear .
3574522127.jpg| 1| A baseman catches a baseball while a runner slides to touch the base during a game of baseball .
3588417747.jpg| 1| A man slides down a railing while another shines a light on him .
3613994164.jpg| 0| A boy in a blue shirt , a girl in a white shirt , a man in a black shirt and black cap , and a goateed man in a white shirt stand next to an inflatable slide while a boy in a white shirt and jeans bounces downwards .
3639547922.jpg| 0| A little girl in a red shirt going down a purple slide .
3643666111.jpg| 0| A Texas baseball player catches the ball as the ,  12 player from the opposite team slides into base with an umpire standing by , ready to make the call .
3647446816.jpg| 0| Two girls play softball , one slides into plate as other fails to catch ball .
3670075789.jpg| 0| a little girl is sliding down a short slide into an inflatable paddling pool .
3681324243.jpg| 3| A person playing baseball slides for home .
3687222696.jpg| 0| A young boy wearing a red shirt is jumping off of a blue slide at a park .
3697003897.jpg| 2| A skater slides down a wall beside a long staircase .
3710176138.jpg| 0| A little boy landing with a splash on a very wet slip & slide .
3724759125.jpg| 0| A small boy rides on a playground toy while pointing to a slide .
3758175529.jpg| 0| A young boy splashing in a small blow-up pool with a green slide behind him .
3759230208.jpg| 0| a boy is being splashed in the face whilst riding a blue ring along a yellow water slide
3782716564.jpg| 0| On a grass lawn , a girl comes towards the camera viewpoint on a slip and slide water toy plastic sheet , sending up a splash of water from the small inflated pool at the end of it .
3794595430.jpg| 3| A woman stands at a podium with a slide show behind her .
3821671043.jpg| 2| A boy at a skate park prepares to slide down a ramp .
3849814541.jpg| 0| Two people , one in a green shirt and one in a red shirt , go down a water slide .
3877209225.jpg| 0| One child holds another child 's hand as the second child slides down a blue side face forward .
4033049067.jpg| 0| A man giving a slide show presentation to a group of people .
4033800420.jpg| 1| A person being interviewed for a presentation in front of an audience , with slides in the background .
4373864499.jpg| 4| A snowboarder slides across an icy table .
4459033855.jpg| 1| Men in suits watch a slide show in front of a mural of the Golden Gate Bridge .
4470057820.jpg| 1| Some people standing on a balcony watching a man slide down a slanted rail .
4499553575.jpg| 0| Several adults and children are either sliding down , or waiting at the bottom of a very tall yellow slide .
4500612934.jpg| 4| A snowboarder slides through the freshly fallen powder snow .
4502968133.jpg| 2| Snowboarder slides down a rail tricking over a blue Volkswagen Beatle .
4517839542.jpg| 0| Baseball player number four races to first base while his teammate slides into second , number six of the opposing team is ready to catch the ball at second base .
4525785614.jpg| 1| A presenter in a black shirt is pointing at a slide in a conference .
"4528304009.jpg| 0| A young baseball player wearing a yellow shirt and a blue helmet with "" T "" on it slides into home plate and the catcher ", while teammate watch .
4567208443.jpg| 0| The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .
4621700753.jpg| 0| A musician in a colorful shirt appears to perform a solo on a slide guitar at an crowded outdoor musical event .
4655825812.jpg| 3| A baseball player preparing to slide into base .
4672034241.jpg| 1| A man with a black shirt on put a little boy inside of a toy that he can slide in .
4705913066.jpg| 0| Man in business suit presents slide show to a conference audience .
4744046556.jpg| 3| Two men in a laboratory are peering through microscopes to observe slides .
4776978341.jpg| 0| A man and two young children are swimming in a pool adjacent to two white water slides with a lifeguard watching upon them .
4803944197.jpg| 0| Five children are on a slide , all dressed in different colored clothes .
4839716145.jpg| 1| Three people , all with bags on their shoulders , opening a slide up door .
4845708873.jpg| 3| A man with a slide in the background .
4898694629.jpg| 0| A huge inflatable santa slide with two people selling something on the side of the road
4901197698.jpg| 0| A large group of people riding a green roller coaster on its downhill slide while on a yellow rail while over a green algae ridden pond or body of water .
491564019.jpg| 0| A small blond girl wearing a yellow shirt sliding down a yellow slide with her feet in the air .
4918785879.jpg| 0| An Asian man is standing in front of a desk with a computer on it and next to a projector screen with a slide about the Ford Fiesta on it .
494221578.jpg| 0| Girl in pink coat is sliding down a red slide on her stomach .
497122685.jpg| 0| A girl in a colourful bathing suit being ejected from a water slide into the pool .
5075763701.jpg| 0| A bicycle racer slides down the hill toward a flag while spectators watch along the tree lined route .
5181864944.jpg| 0| Two children are sliding down a water slide on an inflatable raft .
5316470320.jpg| 4| A skateboarder slides down a short handrail as onlookers watch .
532914728.jpg| 0| Small boy holding is arm out to balance himself while he goes down the fairground slide .
537758332.jpg| 0| Two children holding hands going down a large inflatable slide .
5399620276.jpg| 0| A skateboarder does a tailslide down the side of a railing over some stairs
5402872122.jpg| 3| A girl slides down a hill on her red rocket sled .
540604040.jpg| 2| A young girl slides down a bar in a play structure .
542317719.jpg| 3| A smiling child slides down a slippery tube slide
5467111335.jpg| 2| The military woman is examining a slide on her microscope .
5479743540.jpg| 3| A skateboarder at a skate park attempting a rail slide trick .
549520317.jpg| 0| The little boy in the red coat and tan pants is at the top of the slide , holding on to the handles of the slide .
