image_name| comment_number| comment
10010052.jpg| 0| A girl is on rollerskates talking on her cellphone standing in a parking lot .
1012150929.jpg| 0| A little boy plays with a Nintendo GameCube controller inside a McDonald 's .
1014785440.jpg| 2| Two men are out for a stroll with their two young children .
101958970.jpg| 3| A man with his daughter sitting on a stroller in a supermarket .
1022454428.jpg| 0| A couple and an infant , being held by the male , sitting next to a pond with a nearby stroller .
103306033.jpg| 0| A woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller .
104835889.jpg| 3| A man in black wields a sword in front of rolling , green hills .
105335409.jpg| 1| A trolley driver is telling people to move off of the street .
1068427675.jpg| 3| A man stand there after rolling a bowling ball down a lane .
107532584.jpg| 3| A woman in a pink hat strolls along sidewalk .
1078621572.jpg| 1| People cram together in the back of a truck that is heading through green rolling hills while passing a pedestrian along the way .
1082478946.jpg| 0| There are workers laying out the tracks for a trolley .
1099434461.jpg| 1| There is a pancake pan cooking a pancake and a man is rolling it over on its opposite side with a spatula .
1130295306.jpg| 4| A boy strolls by a pond in a park .
1131889107.jpg| 1| A group of people getting ready to rollerskate
113737410.jpg| 1| People strolling in a mall with colorful decorations hanging from the ceiling .
1141643526.jpg| 1| In a crowd of young people at a bar , a man stands displaying the rock and roll sign .
116021030.jpg| 0| The man in the hooded sweatshirt is controlling the large machine .
116862076.jpg| 0| Woman with rolled up jeans throwing a frisbee on the beach .
1172514641.jpg| 3| Two men and a dog are standing among rolling green hills .
118187095.jpg| 0| Twin toddlers dressed alike being pushed in plastic car strollers in a parade
1186391461.jpg| 0| Colored woman rolling a bowling ball down an alley .
1245022983.jpg| 0| A child in all pink is posing nearby a stroller with buildings in the distance .
128395441.jpg| 2| Someone is taking a stroll on their bike .
129662899.jpg| 4| One man is rolling in an anchor for a boat .
1307094208.jpg| 4| A man wandering in the desert as the clouds roll in .
1315116409.jpg| 0| A Drayton Manor Theme Park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .
1332790049.jpg| 3| A marketplace with rolling carts selling fruits .
1336391319.jpg| 1| A person reaches for a fallen item while holding a rolling cart carrying Dole crates .
1342407554.jpg| 1| A man and a much younger boy , both wearing hats , taking a stroll through nature .
1347001782.jpg| 1| Joggers and other pedestrians enjoy an evening stroll across a bridge .
1368108583.jpg| 3| Young couple taking a stroll in a busy city .
137231942.jpg| 1| A man with blond-hair and tattoos strolls behind bleachers on the cellphone .
1374577120.jpg| 1| A man in a blue shirt holding a child while holding onto a stroller at a baseball stadium .
1377428277.jpg| 2| A one man band with a red umbrella stops in front of a woman with a child in a stroller .
1387785218.jpg| 0| A little kid in blue shoes is pushing a toy baby in a stroller .
1395107023.jpg| 1| A brunette , caucasian man stands in a long-sleeved shirt with his cuffs rolled up using a sizable music mixing machine by DX .
1396703063.jpg| 1| A man wearing a white shirt , gold cross , and a cowboy hat is standing in front of a roller coaster .
1397344877.jpg| 1| A large crowd of people walking while being controlled by officers among them .
1402641725.jpg| 0| Four kids rolling and sliding down a sand dune .
1408554531.jpg| 1| A woman wearing rolled up jeans and a black shirt is walking past a bus carrying a shopping bag .
141213544.jpg| 0| Two women with black hair wearing flower leis standing in a store with a baby in a baby stroller .
1414911626.jpg| 0| Red white and blue SUV patrolling the beach and shoreline on a cloudy day while seagulls walk in the sand .
1417031097.jpg| 2| A person is laughing on a roller coaster ride .
1423449879.jpg| 0| People of all ages stroll carelessly through aisles and aisles of kiosks , browsing the variety of random merchandise from vendors at a large flea market .
14252494.jpg| 0| A child in blue jeans with the cuffs rolled up and black socks taking a nap under a plum-colored covering decorated with large white concentric circles .
1454217779.jpg| 4| If this sculpture were real heads would roll .
1459581481.jpg| 0| A sleeping baby is being pushed in a stroller on a walkway next to a large body of water .
146906547.jpg| 1| In front of palm trees , figures ride bicycles while a couple walk and a child wears rollerskates near an older person .
1473080948.jpg| 0| A kayaker wearing a blue wetsuit and black helmet paddles his yellow kayak in murky rolling rapids .
1489529980.jpg| 2| A lady in a scarf placing rice down to roll sushi .
149167610.jpg| 0| A young man with a script tattoo on his right forearm smokes a cigarette and holds a rolling pin while standing in a dirty , compact kitchen .
151198526.jpg| 0| The 4 guys were rollerskating and blading a conga line in the outdoor staking rink with many other people on the sunny day .
156222796.jpg| 0| Many people in a public area , many pushing children in strollers .
157245265.jpg| 0| Asian children dressed in red and yellow , and wearing black knee pads , rollerskate outdoors over vast , shiny tile .
157613268.jpg| 2| Three tall women stroll down a crowded sidewalk .
168131914.jpg| 0| A young lady is being videotaped while she 's sitting in her stroller in front of a Sysco truck on the sidewalk .
170737141.jpg| 0| Woman pushes her two young boys both in red in stroller by the train .
17744613.jpg| 3| A man in a black shirt is rolling a bowling ball towards a set up of spray paint cans .
177591612.jpg| 1| Two guys against a wall , one is in black pants and is upside down , the other man is in khaki rolled up pants holding the other one up .
179620911.jpg| 3| Sun drenched strollers enjoy music on the water .
1812525037.jpg| 0| The two young children are in black and white face paint and costumes while riding in a stroller , they are being pushed by a man also in face paint and a costume
1813266419.jpg| 0| A child in rolled up jeans , a striped shirt , and a helmet frolics in sprinklers .
