image_name| comment_number| comment
10002456.jpg| 2| Two men working on a machine wearing hard hats .
10010052.jpg| 2| A young adult wearing rollerblades , holding a cellular phone to her ear .
1001465944.jpg| 0| An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .
1001633352.jpg| 0| Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .
1001896054.jpg| 1| John Deere tractors cruises down a street , while the driver wears easy to see clothing .
100207720.jpg| 0| A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .
1003428081.jpg| 0| Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument .
100652400.jpg| 1| A man wearing a hard hat and a caution vest is standing in the street waving an orange flag .
1007129816.jpg| 0| The man with pierced ears is wearing glasses and an orange hat .
100716317.jpg| 0| A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
10082348.jpg| 1| A man is wearing a ball cap and holding a coffee cup between to urinals .
1010031975.jpg| 3| A group of men wearing ties talk while standing on the street .
1010087179.jpg| 4| A man wearing a backwards cap at work .
1010087623.jpg| 0| A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .
10101477.jpg| 0| Man wearing a blue and white outfit , holding a broom , with a traditional Asian architecture in the background .
101471792.jpg| 1| a man wearing a red coat is outside with his hand over his head to block out the sun .
10160966.jpg| 0| A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .
101669240.jpg| 0| A person wearing skis looking at framed pictures set up in the snow .
1017675163.jpg| 1| A woman wearing an orange leotard doing gymnastics in front of an audience .
101859883.jpg| 1| A woman inside a building is wearing a headscarf and looking out of a window through a mounted telescope .
10188041.jpg| 2| A man wearing a black jacket is walking towards the street .
102030371.jpg| 0| A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .
1021442086.jpg| 0| A bearded man wearing glasses , a red shirt , and a hat is reading a map while sitting in a car .
102617084.jpg| 0| Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .
1027149103.jpg| 0| A band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm .
