image_name| comment_number| comment
136645716.jpg| 2| One Hispanic mail sitting on the beach under an umbrella in the sun .
1538589805.jpg| 0| Someone is looking out their window watching the mailman deliver their mail and drive on to the next house .
1733825113.jpg| 0| Several people , some with umbrellas , milling about on an urban street near a white building with a mailbox and newspaper boxes in front of it ," and a street sign that says "" Park Ave "" ."
1942789089.jpg| 0| A man in a black sweatshirt covering a mailbox with a trash bag .
2501968935.jpg| 4| A man on the street wearing leather chaps and a chainmail codpiece .
2580870387.jpg| 1| A brown-haired mail in a gray shirt poses for a picture while sitting in a park .
2769270160.jpg| 0| A male in a black jacket and hat sitting inside an opened mailbox holding up an unidentified object .
2830276969.jpg| 3| Nowadays as long as there 's a plug , you can check your email .
2893518092.jpg| 2| Warriors in chain mail holding shields waiting in line .
290764663.jpg| 3| A grizzly postman carries a flower and mail to deliver .
296534972.jpg| 0| A boy in a black sweatshirt and khakis is holding a leaf blower with a gravel road with two mailboxes in the background .
3039099054.jpg| 3| Young people stand in a yard near a mailbox .
330353975.jpg| 1| A man wearing glasses and a white shirt checks his email account .
3382777250.jpg| 2| A man in a rainbow shirt stops to take a look at a mailbox .
3395176505.jpg| 3| A young clerk looking for new emails from clients .
3582920844.jpg| 3| A long-haired mail is swinging his wet hair around in the ocean .
3890223491.jpg| 1| A man stands new a saw with a white mailbox in the foreground .
4093458757.jpg| 4| A man in a black shirt opening his mail .
4418471031.jpg| 0| A man in a black jacket standing beside a green mailbox thoroughly soiled by a group of pigeons that are nearby .
4458142223.jpg| 0| An African-American woman in a tan coat and denim skirt passes to the left of an outdoor USPS mailbox that has graffiti on it .
4461953198.jpg| 0| a flagman holding a stop sing out on a country road with green trees and mailboxes .
4511339699.jpg| 3| A woman in a white coat is standing next to a UPS mailbox .
4622574943.jpg| 0| A man with a backpack standing and resting his bicycle against a couple of mailboxes .
4651826995.jpg| 3| Woman walking behind two mail carrier drops in the grass .
4654264126.jpg| 0| A man with black hair is standing under a mailbox looking down towards the floor .
4841235184.jpg| 3| A woman in a yellow tank top stands near a black mailbox .
5384744603.jpg| 0| Here is a mail carrier delivering mail on a brick sidewalk , it seems as though someone asked him to smile for a picture !
61374980.jpg| 2| A teenager sorts through his mail while sitting in a messy room .
6888808971.jpg| 0| A mailman with a rolling mailbag smiling at the camera in front of a wall topped with an iron decorative fence .
