image_name| comment_number| comment
101001624.jpg| 1| A young boy rides a bike down a snow covered road .
1011572216.jpg| 0| bride and groom walking side by side out of focus on pathway next to brick building .
1015712668.jpg| 2| A man in red on a bicycle rides past a glass structure .
102575576.jpg| 1| A bride and groom are standing in front of their wedding cake at their reception .
102617084.jpg| 0| Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .
1028205764.jpg| 3| A man and young boy ride in a yellow kayak .
1029802110.jpg| 0| During a gay pride parade in an Asian city , some people hold up rainbow flags to show support .
1039637574.jpg| 0| A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants .
1044434135.jpg| 3| A man in a white shirt rides a bicycle on a busy street .
1056338697.jpg| 2| A blond woman in a blue shirt appears to wait for a ride .
1056359656.jpg| 1| A young girl on a train reads a book about train rides .
106027774.jpg| 1| A young man asleep during a car ride wearing his seat belt .
1065831604.jpg| 1| Many men ride their bicycles through some puddles around a curve during a race .
1066252238.jpg| 4| Some young boys ride bikes in the street .
1075716537.jpg| 0| A little boy rides a bike down a hill on a miniature dirt bike .
1077546505.jpg| 4| A boy rides down a slide into a small backyard pool .
107969134.jpg| 0| A mother decides to take her child on a piggyback ride outside their apartment complex .
1087539207.jpg| 4| Children ride a tractor in a field .
109202756.jpg| 0| A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
1092437557.jpg| 3| A happy teenage girl taking a break from her bike ride .
109738763.jpg| 0| A snowmobile rider flies through the air on his or her machine in front of tall pine trees .
109738916.jpg| 2| Several people are taking a break while on a snowmobiling ride .
109823394.jpg| 1| Three people ride their four wheelers through the field .
111390902.jpg| 0| Two Asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders .
112243673.jpg| 2| Three people ride off-road bikes through a field surrounded by trees .
1126137905.jpg| 0| A group of people are standing outside at a carnival , near a ride called the Green Jungle .
11337976.jpg| 2| A shadowy figure watches a shirtless man ride past on a chopper .
1142847777.jpg| 0| A woman in a blue helmet and brown shorts rides her bike on a busy street .
1143373711.jpg| 0| A man in blue and white biking gear rides down a busy street .
1143882946.jpg| 2| A woman in a helmet rides her bike behind a car .
115018808.jpg| 0| A man jogs down a city street , with a line attached to his back that vanishes out of the left side of the picture ; a smiling cyclist rides past .
118187095.jpg| 4| Two children ride in toy cars .
1187252153.jpg| 1| A young guy , probably in his early twenties , shows off his culinary skills with pride .
1188199432.jpg| 0| Several children sit on a carnival ride in front of the face of a clown and several fake balloons .
1188670028.jpg| 1| A man wearing a ball cap and a blue T-shirt rides a white horse down a dirt road through lush , green nature .
1193116658.jpg| 0| A young girl rides a unicycle next to another riding a scooter on a busy street .
1196886054.jpg| 0| A group of people , a wedding party including a bride and groom , are walking down a path lined by benches and surrounded by grass and trees .
1199847613.jpg| 0| Three people dressed in white clothing in caps giving three other people dressed in white clothing and caps a piggyback ride .
