image_name| comment_number| comment
101362133.jpg| 0| A young female student performing a downward kick to break a board held by her Karate instructor .
101362650.jpg| 1| A boy jump kicking over three kids kicking wood during a tae kwon do competition .
1076503761.jpg| 1| A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat .
109380144.jpg| 0| Three young adults are sitting around , with the girl pretending to kick one of the guys in the face while laughing , and the guy behind him looks like he 's in midsentence .
112459543.jpg| 0| A group of young children kick around a ball on a field with a body of water in the background .
1148095714.jpg| 4| A young african boy kicking a ball .
118668756.jpg| 0| A little boy wearing a purple shirt and blue jeans kicking a ball on the grass .
1248953128.jpg| 2| The young girl is kicking a blue and red soccer ball .
1375501091.jpg| 2| A young boy is completing a martial arts kick onto a bag .
1420060118.jpg| 3| A child in a ninja outfit does a jumping kick .
146380493.jpg| 0| The man in black shorts and a green shirt with the number 25 on the back is about to kick the soccer ball .
1517340899.jpg| 0| A young blond girl with a pink shirt on jumps high into the air while kicking her foot out and sticking her tongue out .
1541272333.jpg| 4| Dog kicking up dirt
154871781.jpg| 1| Two boys are kicking a ball to each other in the park .
156246815.jpg| 0| A man wearing a white shirt and red shorts is getting ready to kick a football .
1597319381.jpg| 0| A soccer player dressed in blue and white is kicking the ball to his teammate while other teammates and opponents dressed in red watch .
1680126311.jpg| 4| The boy is kicking a soccer ball .
171822522.jpg| 0| A young boy in a green shirt and blue cap is kicking a soccer ball .
174040619.jpg| 0| During karate practice , one student kicks through a wooden plank while another individual holds it at face-height .
181465013.jpg| 3| Two little boys playing outside and kicking an object around .
1829597760.jpg| 2| A martial arts student attempts to deliver a kick to his sparring partner as fellow students look on .
1865794069.jpg| 1| A blond boy with a navy blue uniform kicks a soccer ball in an open field .
1974336555.jpg| 0| A young man in his mid twenties is kicking his left foot about two feet off the leaf covered ground , with paved asphalt and green plants and trees in the background .
197504190.jpg| 3| Two boys in a field kicking a soccer ball .
1991806812.jpg| 0| A fighter attempts to kick another fighter while the other fighter blocks his kick .
200778628.jpg| 0| A shirtless young boy in shorts kicks a soccer ball in dry yellowed grass beside a picnic table .
200778857.jpg| 0| A young boy wearing white shorts and a blue shirt has just kicked a soccer ball .
2057991743.jpg| 0| A man wearing blue and wearing sandals kicking his leg up in the air .
2069110603.jpg| 0| A man in a blue shirt is kicking a yellow object while other students are practicing karate in the background .
20999014.jpg| 1| A student jumps up to kick his heels together while outside of a school building in the winter snow .
2189721750.jpg| 0| A man in a black uniform is preparing to kick a soccer ball during a game .
2202625355.jpg| 0| The boy with the red trunks kicks and grins as he falls back down after being thrown in the air by the man standing in the waist deep water .
2257238490.jpg| 0| A woman wearing a green scarf on the beach kicks her leg up while a blond small dog stands behind her .
2290122740.jpg| 1| Three guys outside one is jumping in the air , while the other is kicking a soccer ball , outside having a good time .
2295750198.jpg| 1| A warmly dressed girl kicks up her leg outdoors .
2296166785.jpg| 0| Two children jumping in the sand on a beach , the sand is being kicked up and the water is bright blue .
2306254712.jpg| 2| A person kicks snow in a field on a sunny day .
2306603691.jpg| 1| a man and a little blond headed toddler are kicking a yellow ball around .
2310336052.jpg| 0| Two men playing a game of kicking a ball over a net , one man is jumping and the other is in the air on his side .
2319808437.jpg| 4| Two boys watch a third boy kicking some snow .
2320125735.jpg| 3| The dog awaits some to kick the soccer ball so he can retrieve it .
2334045755.jpg| 0| A man wearing jeans and no shirt is midair doing a kick flip on a skateboard .
2337919839.jpg| 0| The little girl sitting by the tree is looking away from the little boy kicking a soccer ball .
2340688349.jpg| 0| A little girl wearing green , white , and black soccer gear kicks her soccer ball .
2341565486.jpg| 1| A girl kicks a ball with three girls doing the same in the background .
2341755936.jpg| 0| A little girt wearing a yellow bracelet and yellow socks with shin guards kicks a bright pink soccer ball .
2354792215.jpg| 1| Boy in a black and white soccer uniform kicking the ball with other players nearby .
2370481277.jpg| 0| A little boy in green is kicking a soccer ball and 6 boys in referee shirts are following him .
2385522475.jpg| 1| A young , well dressed man , kicks his heels in joy after receiving good news .
2402301574.jpg| 1| A motorcyclist with a Puma fanny-pak parked on the sidewalk with the kickstand of his bike up .
2403532277.jpg| 1| A young man air kicking another young man who is in a defensive stance , outdoors .
241346352.jpg| 0| A football player kicks the ball during a game with a red shirted crowd looking on .
241347460.jpg| 1| An Oklahoma football player attempts to kick the ball .
2423085253.jpg| 2| A little girl , running in the grass , kicking a beach ball .
2423118738.jpg| 0| A man standing in shallow water with clothes on kicks his foot up to splash the water .
2424620984.jpg| 3| A young boy in a soccer uniform prepares to kick a soccer ball .
2430234766.jpg| 0| Onlookers watch a group of dancers arms interlocked and synchronized kicks .
243416847.jpg| 0| Two boys wearing black shorts and no shirts kicking a ball over a net .
