image_name| comment_number| comment
1000268201.jpg| 0| A child in a pink dress is climbing up a set of stairs in an entry way .
1007320043.jpg| 1| A little girl in pink climbs a rope bridge at the park .
1014609273.jpg| 0| People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him .
1016887272.jpg| 0| Several climbers in a row are climbing the rock while the man in red watches and holds the line .
102455176.jpg| 0| an ice climber in a blue jacket and black pants is scaling a frozen ice wall .
10602072.jpg| 0| Two young girls are playing in the forest ; the younger one is climbing a short tree and is about 2 feet off the ground .
1075881101.jpg| 0| A child covered in foam is climbing on a black inflatable ramp .
1084104085.jpg| 0| a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .
10863862.jpg| 0| An older , male construction worker wearing a yellow vest climbing down from the roof of a building onto scaffolding .
108899015.jpg| 3| Two people climbing up a snowy mountain .
1091942526.jpg| 0| A woman is laughing as two small boys play around her and a small girl climbs up her back .
109260216.jpg| 0| A person climbs a tall , flat mountain while holding onto a safety rope .
109260218.jpg| 2| Three rock climbers are posing on big rocks .
111497985.jpg| 1| A kid rock climbing against the backdrop of a green valley
111537217.jpg| 1| Man with red shoes , white shirt and gray pants climbing .
111537222.jpg| 0| A climber wearing a blue helmet and headlamp is attached to a rope on the rock face .
1141739219.jpg| 2| A girl climbing down from the side of a bright blue truck while others watch .
114474325.jpg| 1| A guy with five girls out climbing on an old tree in a park area .
1145755142.jpg| 4| A group of men climb ladders outdoors .
1193547352.jpg| 0| Two climbers attempting to climb a steep , snow-covered peak , nearing the top , where two other climbers await them .
1199376686.jpg| 0| A man wearing a blue jacket and glasses holds the handrail while climbing the stairs .
121800200.jpg| 0| Many people are climbing the mountain surrounded by pretty green trees .
121971540.jpg| 3| Two men climb the side of a boat .
1257692349.jpg| 4| A large crown walks by three friends climbing on top of each other .
1263126002.jpg| 0| Baby with blond pigtails in yellow room attempting to climb out of green playpen .
126378326.jpg| 0| Children are climbing and digging in the sand at a makeshift playground , which features a structure made from tires .
126514207.jpg| 0| A child is rock climbing while wearing a white safety helmet , white shirt , blue jacket , blue jeans and white sneakers .
1286408831.jpg| 1| A young boy with his tongue stuck out is climbing onto a wooden platform .
1338523142.jpg| 2| Hiker climbing down a snow and rock covered mountain .
133905560.jpg| 0| One dog climbing on the back of another dog in the snow .
1342766791.jpg| 0| one small boy climbing a pole with the help of another boy on the ground
134283905.jpg| 0| An individual is climbing on an objects while the bottom of his shoes can be seen .
1345907464.jpg| 0| A boy wearing blue swim trunks is climbing on rocks with hotels on the beach in the distance .
1355450069.jpg| 0| There is a rock climber holding on and climbing to the top of a very large rock .
1357689954.jpg| 0| A boy is climbing up an artificial climbing wall whilst attached to a rope .
136639119.jpg| 0| A climber is attempting to climb around an overhang above the woods .
1390268323.jpg| 0| two small boys wearing only their underwear climbing a bench in a van
140377584.jpg| 0| A climber in an orange helmet is ascending attached to a rope whilst climbing a rock face .
140526326.jpg| 1| The male rock climber takes a look over his shoulder at the view of the lake and city .
140526327.jpg| 0| A man looks up at the cliff he is climbing near the beautiful blue ocean .
1410193619.jpg| 1| Baby indoors , climbing on red couch arm , reaching for lamp .
1425069590.jpg| 0| A small girl dressed in yellow wearing flip-flops climbing onto red playground equipment .
1425529973.jpg| 0| A man with a white shirt and rubber boots is climbing on tanks in order to retrieve items from a specific tank .
1428681303.jpg| 1| Small children climb a statue in a park .
1429040704.jpg| 1| A man is climbing on top of some metal poles attached to each other .
143680442.jpg| 0| A climber is suspended on an overhang that overlooks a tree covered hill .
143680966.jpg| 0| A person in an orange helmet climbs up a sheer cliff face .
143684568.jpg| 0| A person stands on the top of a cliff as another attempts to climb it .
143688205.jpg| 1| A person is climbing up a rock with a pink rope .
143688283.jpg| 0| A man in a white shirt and helmet is using climbing equipment .
143688895.jpg| 0| A climber is standing on the rock face next to the pink rope .
1445754124.jpg| 1| A gray dog is climbing up a low tree branch in a park .
146021298.jpg| 2| Mountain climbers on the peak gazing through the fog .
1463638541.jpg| 0| A person is climbing and has nearly reached the sign at the top
1464513701.jpg| 4| A man is climbing up into his boat .
14698352.jpg| 0| Two little boys climbing into the gray van and the third little boy secure in his car set .
1472882567.jpg| 0| four skiers climbing snow drapped mountain .
1478268555.jpg| 0| A bare backed climber is attached to the rock face on a pink safety rope .
1478576516.jpg| 2| A number of people are climbing up scaffolding .
