image_name| comment_number| comment
1765164972.jpg| 0| A profile of a young person with a punk hairstyle and pierced ear and nose in a cowboy shirt .
2076428547.jpg| 2| A hiker 's profile against a blue sky and mountain range .
2229180161.jpg| 0| A side profile of a man with a mustache and goatee wearing a suit and tie .
2354829523.jpg| 3| Group of women in blue and white uniforms , in profile , facing offstage .
256085101.jpg| 1| Closeup of dog in profile with mouth open .
2837480448.jpg| 2| A woman stands in profile observing the lighted face of a tower clock .
3162289423.jpg| 2| A woman snowboarder has a profile photo taken of herself at sunset .
3633396324.jpg| 0| This is a profile shot of an old man in a newspaper boy hat with people blurred out in the background .
4511339699.jpg| 0| A woman in a buff colored jacket with gold buttons stands in profile on a busy city street .
4560565668.jpg| 0| A single man sit in profile looking at something off of camera and a silver car is in the distance .
4560829458.jpg| 0| A woman is walking side profile down the street there is a shoe retailer window in the background and a shadow is cast from her arm .
4590153852.jpg| 0| A young woman with brown hair is captured in profile with a delicate wreath of pink , white , and orange flowers crowning her head .
4603095253.jpg| 3| A blond woman shows her profile in front of a white luxury car .
4677413867.jpg| 2| profile in silhouette of person walking near metal fence .
4763916790.jpg| 0| A picture of a live duck on profile with head turned toward the camera in front of three younger children walking in the camera 's direction .
4805567702.jpg| 1| A group of five people are standing outside a motorhome ; two are turned in profile , two are facing the camera , and one image is cropped off and incomplete .
7510394.jpg| 1| profile view of a man with a brown pipe in his mouth .
