image_name| comment_number| comment
1010031975.jpg| 4| Colleges stop to take a break from there business meetings .
1039637574.jpg| 2| A photographer takes a picture of a group of one girl in a pink dress and 10 boys in suits and hats .
1040426962.jpg| 0| A man is cooking what appears to be green beans in a grill basket on a grill with a yellow lab standing by him while someone takes a picture from above .
1044434135.jpg| 1| This photo takes place in a busy street in an Asian city where people are riding bikes and walking .
1045521051.jpg| 2| A person eats takeout while watching a small television .
104835889.jpg| 0| A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat .
1052358063.jpg| 2| A boy takes a jump on his skateboard while another boy with a skateboard watches .
1055753357.jpg| 2| Two construction workers take a seat on a steel beam .
1065831604.jpg| 3| Bikers in a bike race take a sharp left turn .
107969134.jpg| 0| A mother decides to take her child on a piggyback ride outside their apartment complex .
108503753.jpg| 1| A white and green helicopter takes off from the airfield .
1097463464.jpg| 1| A young man wearing a black shirt takes a folding chair from a large stack .
110671345.jpg| 0| A woman is surprised to have her picture taken on this fall day outside Spaulding 's women 's store .
112719695.jpg| 1| A brunette in jeans is walking down the street , holding a takeout cup of coffee .
1130017585.jpg| 1| Three girls make faces as one takes a drink while they stand in a busy street .
113678030.jpg| 1| Snowboarders sitting in the snow while skiers take the hill .
1143815134.jpg| 1| Two people take in the scene as they stand together looking out over the canyon .
1159574340.jpg| 1| The man takes a leap into the water with his shoes on .
117956563.jpg| 0| Restaurant workers smile as they take a break , gathered around a huge copper bowl in the kitchen .
1181708011.jpg| 2| A woman uses a drill while another man takes her picture .
119805497.jpg| 2| Customers are waiting for service at a takeout window .
120538235.jpg| 3| Golfer takes a swing at the ball as spectators watch .
1213336750.jpg| 0| A man takes a picture of another man in an open area just off of a busy street .
1218091024.jpg| 3| Two men take photographs on either side of their car .
122202217.jpg| 1| A man takes his bike apart on the side of the road .
122868800.jpg| 1| Two men take measurements of a wall at an open construction site .
12770842.jpg| 0| People sit in a crowded stadium watching some sort of event - there is a woman with red-hair in the foreground and in the bottom left corner two people stare directly at the picture taker .
128396150.jpg| 0| A bike riding couple dressed in bike gear and helmets take a minute to site on a bench to talk and park their bikes .
1286805224.jpg| 0| A pretty asian girl smiles from a window next to a neon takeout sign .
1288909046.jpg| 0| A dog takes a leap of faith as he jumps into a pool to grab an orange toy .
1295698260.jpg| 1| A crowd of people look at something out of frame , one man takes a picture .
129891931.jpg| 3| a toddler takes his first glimpse of the wonders of video games .
1299923168.jpg| 0| This picture is taken outside a bus with people of Asian descent riding along with open windows .
132489044.jpg| 0| A young man in a suit and tie leans against a railing to take a nap on public transit .
1334737240.jpg| 1| It takes a real man to clean a bucket with who knows what in it ?
134201079.jpg| 0| A man wearing a Get A Job t-shirt takes a picture of the camera holder with a bright yellow camera while also holding a photo in his left hand .
