image_name| comment_number| comment
110615445.jpg| 0| A couple show their affection on an escalator by embracing and kissing one another .
1140793239.jpg| 0| A girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .
133189853.jpg| 0| A man wearing a tuxedo shirt , vest , and bowtie is kissing another man wearing the same thing on the cheek .
1390254777.jpg| 0| A street musician standing on stilts playing a tuba outside in front of a mural of people kissing .
1429561783.jpg| 0| A happy couple dressed for cold weather kissing each other in front of the mountains as the sun sinks down behind them .
1435242484.jpg| 0| A woman is laying down on her couch with covers making a kiss face while playing with a man 's hair .
1454217779.jpg| 1| A man wearing a gray jacket acts like he is kissing a sculpture of a lizard .
1499581619.jpg| 0| A man with a brown hooded jacket is kissing a girl with sunglasses .
16933558.jpg| 0| Two boys performing what appears to be a kissing scene in lunch room .
19610188.jpg| 1| A young lady gets a kiss on the mouth from her pet dog .
1962729184.jpg| 0| A girl kisses her mother goodbye before she waits with the other children to start school .
2054308369.jpg| 0| A toddler girl puckering up for a kiss from the dog .
207955925.jpg| 4| Two women kissing in a bar .
2151056407.jpg| 2| White fluffy dog kissing sheep through a fence .
2183468990.jpg| 0| A newlywed couple kiss while they cut the wedding cake .
219810920.jpg| 1| A mother is going to kiss a cross invited by her baby .
2208310655.jpg| 0| a boy is kissing a woman on the cheek next to a girl who is wide eyed and sticking out her tongue .
2215331791.jpg| 4| a woman kissing a child in the middle of the street
2273028514.jpg| 0| A man in a leather jacket is kissing a girl in a subway station .
2302336943.jpg| 1| A woman in a long coat passes by a statue of a woman on her knees kissing a child on the top of his head .
230471791.jpg| 0| An individual with cropped hair and a striped shirt kisses another individual with cropped hair , and a gray tank top , on the cheek .
2326730558.jpg| 0| A brown dog kisses the ear of a white dog in the snow .
2360371074.jpg| 2| The women gives the man a hug and kiss while his dog is on the leash .
2363092753.jpg| 0| A blond girl kisses a bow with brown hair while standing outside of a building .
2410906422.jpg| 1| One man stops to give a sweet kiss to a cow near a train on an overpass .
2420730259.jpg| 0| A man wearing a green shirt is trying to comfort his crying child by holding the child and giving him a kiss on the cheek .
