image_name| comment_number| comment
1338219999.jpg| 0| A man in a green tank top wearing a rabbits foot around his neck sits on a small sofa with the window open revealing a man in a white shirt on the other side of the window .
149150776.jpg| 1| A woman in an orange dress opens a numbered briefcase , revealing an image of a hammer .
1510078253.jpg| 1| A dog with fangs revealed is about to bite a ball with paw prints on it .
254555172.jpg| 1| A little cute girl in a white dress is revealing her presents .
2703155733.jpg| 1| A woman taking off a large cloak revealing a extravagant dress
2774554310.jpg| 3| a woman wearing a black tank top revealing a large fairy tattoo .
3327563443.jpg| 1| A woman in a white baseball hat reveals her tan line to her friend , who wears a sunhat
3721584359.jpg| 0| The men wear ear protection as one of them lifts up the outer shell of the race car to reveal the engine inside .
374124237.jpg| 0| A woman is propping her leg up revealing cleavage , a great tatoo , and some kicking boots .
3953235262.jpg| 0| A woman , wearing a blue dress that reveals her abdomen , is holding a sledgehammer in the forest .
4436084437.jpg| 1| A woman in a revealing plaid miniskirt and small blouse is smiling while walking down a street .
4541453490.jpg| 0| A blond woman in heels and a semi revealing dress stands on a sidewalk , distracted by something .
4811469218.jpg| 0| A woman in revealing clothes who wears a black hat and sunglasses walks down a busy street .
4935686055.jpg| 0| A group of young boys have their shirts tied up revealing their midriffs as a man in a blue shirt stands their looking uncomfortable and a woman next to him laughs .
4948943251.jpg| 0| A woman in jeans and a revealing top is jumping in front of a green hoop-like structure .
4979573274.jpg| 2| A red-haired lady reveals jarred food from underneath a blanket .
5191256340.jpg| 0| A man with a grayish blue shirt , red and blue vest , black pants , sunglasses , and earphones is standing beside a red helicopter , while the door is open revealing the inside of the helicopter , with it 's pilot and other earphones hanging in the background .
5296046241.jpg| 0| A woman in a very revealing red corset and black jacket is on stage with a microphone in her hand .
8008888211.jpg| 0| A blond female dressed in a revealing outfit is throwing white shirts into the crowd with her brunette coworker several feet behind her .
8140285876.jpg| 1| A fashion model is posing for the camera wearing a revealing top .
