image_name| comment_number| comment
10002456.jpg| 1| Workers look down from up above on a piece of equipment .
10010052.jpg| 1| A trendy girl talking on her cellphone while gliding slowly down the street .
1001633352.jpg| 1| Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them .
1001896054.jpg| 1| John Deere tractors cruises down a street , while the driver wears easy to see clothing .
1007205537.jpg| 3| A man in green pants walking down the road .
101001624.jpg| 1| A young boy rides a bike down a snow covered road .
101362133.jpg| 0| A young female student performing a downward kick to break a board held by her Karate instructor .
1014785440.jpg| 0| Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .
1029802110.jpg| 1| A group of youths march down the street waving flags showing the color spectrum .
1035019794.jpg| 1| A girl playing softball hits the ball almost directly downwards
1039360778.jpg| 0| A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her .
1042020065.jpg| 0| A young boy wearing a jersey looks down over a ledge at many boats in the water .
1045124251.jpg| 1| A blond man wearing glasses is sitting in the train looking down at something .
1053116826.jpg| 1| A little boy and a girl sitting down in the grass having fun .
105342180.jpg| 0| A girl paddling down a large river , as seen from behind her .
1056359656.jpg| 3| Child sitting down looking at train ride brochure
105685221.jpg| 4| Seven joggers run down a path .
1057210460.jpg| 3| A man stands by an elevator with his head down .
1057251835.jpg| 0| A white dog is running down a rocky beach .
1061887159.jpg| 0| A man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .
106372282.jpg| 0| A man sitting down with this head resting on his fists next to a man with his eyes closed and his together with dough sitting on a table in front of them both .
1066831905.jpg| 0| Elderly man with cane bends down to look at some plants and is steadied from behind .
1067675215.jpg| 1| A shirtless man is laying down in the middle of a busy street .
1068427675.jpg| 0| A man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .
10751489.jpg| 1| Two men are hunched down in front of candles in what appears to be a kind of vigil .
1075716537.jpg| 0| A little boy rides a bike down a hill on a miniature dirt bike .
1077546505.jpg| 0| A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .
1077931201.jpg| 0| A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .
1078621572.jpg| 0| A large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck .
1082223338.jpg| 4| A young woman sands down an old shelf .
1082478946.jpg| 1| Men in orange vests are laying train track down .
10863862.jpg| 0| An older , male construction worker wearing a yellow vest climbing down from the roof of a building onto scaffolding .
108898978.jpg| 2| Two skiers are sliding down a trail in the woods .
1089181217.jpg| 0| A light brown dog runs down a path happily .
1089354362.jpg| 3| A woman sitting down on steps , writing something down with a door behind her .
108970557.jpg| 4| A short-haired woman is sitting down .
109260216.jpg| 2| A person climbing down a sheer rock cliff using a rope
109380144.jpg| 4| A girl sitting down puts her shoe up to a guy 's face .
10951809.jpg| 4| An elderly woman with a can is sitting down .
109544260.jpg| 3| Young boy sitting down outside and blowing bubbles .
109770830.jpg| 1| A girl in a red winter coat walks down the city sidewalk as she speaks on the phone .
110269384.jpg| 3| A lady is sitting down tending to her stand .
1105137588.jpg| 2| People sit down on stools to enjoy a quick bite to eat .
110595925.jpg| 0| A man in aerodynamic gear riding a bicycle down a road around a sharp curve .
1107716222.jpg| 4| A woman in a black head piece , sitting down and reading .
110964272.jpg| 4| A man and a child walking down a beach .
111285749.jpg| 2| A man in a white shirt hangs a painting in a run down store while other men watch .
111390902.jpg| 4| Boys on a motor-scooter riding down a busy urban street .
1118752484.jpg| 1| A woman in Muslim attire is walking with a young boy down the street .
1121416483.jpg| 4| The girl is upside down on a bed
11214370.jpg| 1| A man with a safety vest is kneeling down and cleaning the bricks .
11245644.jpg| 0| A newlywed couple is taking a picture outside on the steps of a building while other people are walking up and down the steps .
112719695.jpg| 0| A woman in a pink shit and blue jeans is walking down a somewhat busy street while holding a cup of coffee .
112945950.jpg| 1| A man and a woman are sitting down overlooking the water and the women is bending over .
113032513.jpg| 1| Little boy wearing a multicolored scarf and hat has a sad look on his face as he is looking down .
1131883759.jpg| 0| Someone holding a piece of , what looks like clear plastic , down on a hard surface while they drill a hole through it .
1131889107.jpg| 4| Some rollerskaters are sitting down .
113678030.jpg| 4| The snowboarder is sitting down .
1138784872.jpg| 3| A girl in green walks down a city street .
114052371.jpg| 3| A female with dreadlocks sits down and holds a pillow .
114164952.jpg| 1| Grownups and small children are walking down a road lined with trees .
1141739219.jpg| 0| A man is helping a girl step down from a colorful truck whilst a woman and three children watch .
1143373711.jpg| 0| A man in blue and white biking gear rides down a busy street .
1144288288.jpg| 0| A woman wearing a white hat and shirt is jogging down a street with a plant store on the corner .
"114715590.jpg| 2| A skateboarder is does an "" ollie "" down a couple of stairs ."
1149179852.jpg| 1| The shirtless man is walking the Shetland pony and carriage down the street .
