Caption,KLD Human to LLM,KLD LLM to Human,Jensen-Shannon Divergence,Human Probs,LLM Probs
a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,0.0,0.0,0.0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a brown dog running on a lawn near a garden hose,45.240771641362,24.242246249659782,0.5220295850923977,"[0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]"
a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,23.025850927637872,23.025850927637872,0.416277304810568,"[0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0]"
a woman sleeps under a blue and white blanket in a car .,1.1507282875045386,22.162804712585114,0.30919668274456596,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,2.772588719867881,46.051701859880914,0.4645014036140257,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
men playing volleyball in the sand .,97.64858115952636,95.39924058332495,0.8325546104626661,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
a little boy playing in the water .,0.0,0.0,0.0,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a blond dog and a black and white dog run in a dirt field .,0.0,0.0,0.0,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,95.39924058105113,95.39924058105113,0.8325546102948703,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
girl wearing blue shirt and black shorts plays trumped outside .,44.66540749876103,2.772588717634611,0.4645014033113394,"[0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
