image_name| comment_number| comment
10101477.jpg| 1| A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .
105335409.jpg| 1| A trolley driver is telling people to move off of the street .
114164952.jpg| 2| Two children move along a gravel path surrounded by trees .
1158255688.jpg| 1| A female swimmer wearing a swim cap and nose clips moves slowly through the water is seen from below .
1167144956.jpg| 1| Young man showing off by performing a karate move for surprised girl .
116976749.jpg| 4| Man using a sander to remove rust of metal .
11914981.jpg| 2| People attempting to move X-ray machine down the street .
123315301.jpg| 1| Two men are showing a fighting move while one man appears not to be enjoying it too much .
1247484195.jpg| 0| A little girl wearing a yellow dress moves frantically in front of a crowded baseball stadium .
128396207.jpg| 2| A hurried bicycler moves along a car in a busy street on an allowed bike path .
130500771.jpg| 2| The camera catches some movement as a man walks in front of the Alpha Dental Group building .
133031387.jpg| 3| A girl removes her eye makeup with an ear swab .
13341510.jpg| 1| A breakdancer in red and black is pictured while in the middle of a complex move .
135916133.jpg| 1| Younger man in a yellow shirt and tan shorts is moving a dry yard or field with a riding John Deere tractor mover .
1415591512.jpg| 0| A young girl in front of a silver car wearing boots , demonstrates some interesting moves .
1420185620.jpg| 1| A young girl moves some suitcases that are near an open window .
1463072715.jpg| 2| Children are contemplating their next move in a game of checkers .
1664475761.jpg| 1| Two young men getting ready to move fruit on their bike .
1698995792.jpg| 2| People gathering for a reform movement that was to be hosted by chief reforms leader .
178045.jpg| 0| Four similarly styled brightly dressed women with long skirts dancing in the sunlight with trees framing their movements in the background .
181702621.jpg| 1| Sisters waiting and contemplating the next move as they wait a turn .
18638572.jpg| 2| a child in a white karate outfit practicing a move
1985706518.jpg| 2| Two swimmers move through pristine , bright blue waters with a bright blue skies overhead .
199604929.jpg| 0| Eight young girls in a school gym are on mats , wearing gym clothes and practicing cheerleader moves while in the background are the backs of two more young girls , not on the mats , who are also practicing moves .
2046222127.jpg| 4| Man with short hair moves wooden structure .
2055214203.jpg| 0| An old woman getting ready to move her belongings after along day auction held at the church compound
215405524.jpg| 4| Many Asian people are standing on the escalators as they move .
217593609.jpg| 2| kid in white and girl in yellow boy is doing what looks like a karate move he has a yellow belt .
2181117039.jpg| 0| Adults , and children in school uniforms , move through a flock of pigeons .
2188535529.jpg| 1| A gray train with purple and blue stripes moves down a rusty track through trees .
2195316844.jpg| 0| A person in a striped gray and white shirt moves his bicycle past another man in a yellow shirt and blue pants .
2225530026.jpg| 4| A group of people preparing for a move .
2225642606.jpg| 3| Two men move dirt around a young tree .
2236016316.jpg| 1| The young basketball player moves into the front court .
2245989501.jpg| 2| Working together , these men move camels through a mountain pass .
2252036322.jpg| 4| A construction crew moves dirt .
2254990707.jpg| 0| Six people are attempting to move a car on a snowy street .
2279906281.jpg| 4| A soccer player removes his shirt .
2285570521.jpg| 3| The skier moves down the hill on a beautiful day .
2311616095.jpg| 0| A man in the kitchen attempting to remove some meat he has cooked from the paper plate .
2316854039.jpg| 1| A group of four young men is posing in a wooded area and three are making guitar playing movements .
2318659263.jpg| 4| A wolf moves over the snow .
