sentence,q1,q2,q3,q4,img_file
several men in hard hats are operating a giant pulley system .,outdoors,man-made,work_education,NA,10002456.jpg
a man with black hair sits in a restaurant with a glass of beer .,indoors,man-made,restaurant,NA,10090841.jpg
"man wearing a blue and white outfit , holding a broom , with a traditional asian architecture in the background .",outdoors,man-made,transportation_urban,NA,10101477.jpg
a person in tan pants is inside a silver mobile object while people watch .,outdoors,man-made,transportation_urban,NA,101093029.jpg
"a man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .",outdoors,man-made,transportation_urban,NA,101093045.jpg
white dog with brown ears standing near water with head turned to one side .,outdoors,natural,NA,body_of_water,1012212859.jpg
two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .,indoors,man-made,recreation,NA,101362650.jpg
a mottled black and gray dog in a blue collar jumping over a fallen tree .,outdoors,natural,NA,field_forest,1015584366.jpg
man on scooter attracts attention from some of those in large crowd .,outdoors,man-made,transportation_urban,NA,1016626169.jpg
a group of people stand in the back of a truck filled with cotton .,outdoors,man-made,work_education,NA,1018148011.jpg
large brown dog running away from the sprinkler in the grass .,outdoors,natural,NA,field_forest,1019077836.jpg
a man and a little girl happily posing in front of their cart in a supermarket .,indoors,man-made,work_education,NA,101958970.jpg
two young men and a young lady walk through a field near the water .,outdoors,natural,NA,field_forest,1024613706.jpg
"five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .",outdoors,natural,NA,mountain,102617084.jpg
"two men , one younger guy with a yellow shirt that has luggage and the other and older guy , are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses .",outdoors,man-made,transportation_urban,NA,1028982826.jpg
the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,outdoors,man-made,transportation_urban,NA,103195344.jpg
a toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio .,outdoors,man-made,domestic,NA,1031973097.jpg
a small boy putting something in his mouth with both hands .,outdoors,man-made,recreation,NA,1034276567.jpg
a person in a green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence .,outdoors,man-made,recreation,NA,1035019794.jpg
a man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,outdoors,natural,NA,body_of_water,10350842.jpg
someone is standing on a long bridge with a cloudy blue sky in the background .,outdoors,man-made,transportation_urban,NA,103953336.jpg
"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",indoors,man-made,domestic,NA,104816788.jpg
"two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .",outdoors,man-made,transportation_urban,NA,1051290485.jpg
a young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,outdoors,natural,NA,field_forest,1051953669.jpg
"several people jogging outside on a sunny day in what seems to be a neighborhood , could be part of a marathon .",outdoors,man-made,transportation_urban,NA,105685221.jpg
pink shirted woman sleeping in a car with blue and white blanket on her .,indoors,man-made,transportation_urban,NA,106027978.jpg
firefighters converse with a man at the scene of an emergency .,outdoors,man-made,transportation_urban,NA,1060605297.jpg
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,outdoors,natural,NA,body_of_water,1061887159.jpg
a large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .,outdoors,man-made,work_education,NA,10637120.jpg
kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .,outdoors,man-made,transportation_urban,NA,1065323785.jpg
a man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .,indoors,man-made,recreation,NA,1068427675.jpg
a little boy rides a bike down a hill on a miniature dirt bike .,outdoors,man-made,recreation,NA,1075716537.jpg
a large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck .,outdoors,man-made,transportation_urban,NA,1078621572.jpg
a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,outdoors,man-made,recreation,NA,1080230428.jpg
a man kneels on the ground doing some sort of project on his own .,outdoors,man-made,transportation_urban,NA,1082223338.jpg
a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,indoors,man-made,recreation,NA,1084104085.jpg
"a girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .",outdoors,man-made,work_education,NA,1089354362.jpg
a woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,outdoors,natural,NA,field_forest,109202756.jpg
"a person climbs a tall , flat mountain while holding onto a safety rope .",outdoors,natural,NA,mountain,109260216.jpg
a group of hikers are resting on the ground in front of some mountains .,outdoors,natural,NA,mountain,1093716555.jpg
a group of african american children with their arms above their heads and happy expressions on their faces .,indoors,man-made,work_education,NA,1093807815.jpg
a young black person wearing a green shirt and a jacket using a sewing machine .,indoors,man-made,work_education,NA,1094606832.jpg
a woman smiles while holding several green peppers at a grocery stand .,indoors,man-made,work_education,NA,1095109931.jpg
a young boy is jumping through water being sprayed up from the ground .,outdoors,man-made,recreation,NA,1095476286.jpg
a yellow dog and a black and white dog are running in the dirt .,outdoors,natural,NA,field_forest,1095590286.jpg
three people on atvs in a brown field turn their heads to look at the camera .,outdoors,natural,NA,field_forest,109823394.jpg
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,outdoors,natural,NA,field_forest,109823397.jpg
three men are riding on an elephant with a shack in the background and two of them are wearing hats .,outdoors,man-made,recreation,NA,110201971.jpg
"a young boy , wearing goggles and a heads-up light , and a young girl , are smiling .",indoors,man-made,domestic,NA,11026590.jpg
"a couple is sitting on the sand with their feet in the water , and they are shaking hands .",outdoors,natural,NA,body_of_water,1104087374.jpg
