image_name| comment_number| comment
1336600636.jpg| 1| A woman in a flower pattern shirt standing in a convenience store-like stand
145558685.jpg| 1| A girl wearing a blue floral patterned dress is sitting on the cement and sorting leaves .
1509274237.jpg| 3| A woman walks on a sidewalk wearing a white dress with a blue plaid pattern .
16630920.jpg| 0| A man selling colorfully patterned rugs enjoys a drink from a coffee cup on a sunny day .
174236758.jpg| 1| Artist adorns wall with a unique blue and white pattern .
1791491934.jpg| 0| An Asian man wearing a blue long-sleeve shirt and patterned pants is working with an old looking machine .
181970350.jpg| 0| A man wearing a shirt with an animal pattern on it and a purple tie is singing in a microphone .
191375755.jpg| 0| A man in a yellow patterned shirt and a woman in a gray hooded sweatshirt are walking along a construction zone .
191488669.jpg| 0| A woman in a black top stands with another man , displaying a group of patterned dresses on hangars .
192475213.jpg| 1| A male security officer stands at his post behind another man in a patterned sweater .
2035511078.jpg| 0| Two older women and a child all wearing white dresses with patterned designs sit in chairs in front of a treeline .
2047182655.jpg| 0| A woman in a purple print dress sews a pattern on a white piece of fabric .
2068556363.jpg| 0| A woman is smiling while the man next to her is focused on a blue object with a pattern on it .
2230885062.jpg| 0| A woman with a ponytail and wearing a floral patterned dress is holding a teacup and saucer while speaking with another woman who is also wearing a floral patterned dress .
2248395289.jpg| 0| A sculptor applies his chisel to a slab of rock , etching a pattern on its surface .
2311401527.jpg| 0| A young woman in a black patterned shirt is taking a picture of herself in a mirror .
2328016702.jpg| 0| A bearded older man is working on a geometric pattern on a painting on a large canvas .
2359100647.jpg| 0| A woman in a floral pattern dress is operating a loom .
246508774.jpg| 1| The girl min the pink top is looking at the man who is wearing orange boots and patterned pants .
2493701633.jpg| 0| From this angle you can see the tile floor pattern in this restaurant very well .
2526412711.jpg| 0| An attractive young woman dressed in blue jean shorts and a gray patterned shirt sits on a railing along side a sidewalk with a pensive expression on her face .
2555039117.jpg| 0| A lady dressed in a vividly patterned dress is speaking via microphone .
2567812221.jpg| 1| Women walk dogs in a circular pattern over grassy terrain .
2572988399.jpg| 2| Several women in brightly patterned skirts sit by a stone wall .
2637909455.jpg| 0| A woman in a brightly patterned shirt uses tongs to tend to meat cooking on a grill .
2682739228.jpg| 0| A lady wearing a black and white patterned dress and velcro shoes with a cane in her hand sitting on a bench .
2786242106.jpg| 0| A little boy running in a pattern created by stones embedded in earth .
2790695352.jpg| 0| A child in a white patterned button up shirt and jeans has his fingers in his mouth .
2810412010.jpg| 1| A woman is throwing her wet hair back creating a pattern with the dripping water .
2814406547.jpg| 1| A person wearing clothes with a floral pattern leans on a trashcan cage .
2821374709.jpg| 0| A woman in a cow patterned apron and faux cheese top hat cuts real cheese .
2876676952.jpg| 0| An old woman with white hair is sleeping in a bed with a floral pattern pillows and blanket .
2929181389.jpg| 2| A lady in a black shirt and floral patterned skirt is walking next to dryers in a laundry mat .
3015863181.jpg| 2| A man in a flower patterned shirt is bowling .
3017220118.jpg| 1| A man in a fancy pattern jacket stands outside a club with two ladies .
3042405316.jpg| 0| A girl in a blue sweater with a white pattern is jumping into a pile of leaves .
3058361320.jpg| 0| Woman is working on a loom weaving a patterned carpet of red , white , and blue .
3100605713.jpg| 0| A woman in a floral patterned blouse takes a photograph with a point and shoot digital camera .
319379660.jpg| 0| A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions , eggs , tomatoes , beans , and many other things .
3226137804.jpg| 0| A woman plays with a baby wearing a blue hooded sweatshirt and lying on a patterned rug .
