image_name| comment_number| comment
1119034454.jpg| 0| A woman is jogging on a sidewalk next to an elevated grassy platform .
1316505120.jpg| 1| a man playing the guitar on an elevated stage in front an audience .
1572286502.jpg| 0| A small child climbing on an elevated net
2215393122.jpg| 0| Two Chicago Police are standing next to each other while looking down at a city street from a elevated white gilded cage .
2343886894.jpg| 1| A man without safety equipment rides a snowboard across an elevated , curved surface
2367949659.jpg| 1| A young boy in a green shirt playing with a miniature train on an elevated train track .
2396669903.jpg| 4| A man is carrying bags nearby an elevated roadway and crosswalk .
2931759630.jpg| 3| A man is elevated cutting steel beams .
2980901328.jpg| 0| A worker , elevated on a piece of equipment , is trying to repair a pole near a window .
3005979237.jpg| 1| A woman in boots sings and plays keyboards from an elevated stage to a seated crowd .
311203232.jpg| 1| People await the arrival of an elevated train in the cold winter .
3596771113.jpg| 0| Two people are wearing bright orange hard hats while working along side a building while elevated in a blue piece of construction equipment .
3775526174.jpg| 3| A man chases a boy down an elevated hallway .
3822469102.jpg| 0| A rollerblader in a red hat is grinding on an elevated metal pole .
4049532274.jpg| 1| A man stands with on foot elevated onto a step in front of a small fire .
4156102515.jpg| 2| A man cutting snowy tree limbs , at an elevated height .
424379231.jpg| 2| A small dog walks along an elevated walkway .
4467403927.jpg| 3| A child runs down an elevated walkway in a city .
4649891200.jpg| 0| A man with a camera and another with a stroller stop and lean against the rails of an elevated walkway .
4793317845.jpg| 1| A large crane demolishes a structure while a person standing nearby on an elevated platform squirts water from a hose .
4858169472.jpg| 1| A person is lying in a hospital bed with the upper portion slightly elevated and smiling .
49482602.jpg| 0| Three men in yellow hard hats , two women , and a young boy are standing on an elevated platform viewing something below .
496723149.jpg| 0| A large crowd of people walk , casually , across an elevated road or bridge .
529821195.jpg| 0| A construction worker in safety gear stand on an elevated walkway of a construction site looking down .
538638526.jpg| 3| A woman is elevated on a trashcan taking photographs .
5969756753.jpg| 0| Rock band Def Leppard , pictured counterclockwise include Rick Savage , Vivian Campbell , Joe Elliot , and Phil Collen , looking up to drummer Rick Allen on an elevated stage platform during a concert performance .
720845413.jpg| 0| Two people at the beach facing the water , both are sitting on an elevated wooden platform , wearing red shirts and their heads almost completely shielded by a mounted American flag .
7972860508.jpg| 0| Performing an illusion in a mall while people watch , completely clothed head-to-toe , one seated man elevates another seated man directly above him with nothing but a vertical pole between them .
