image_name| comment_number| comment
1000523639.jpg| 1| A man in green holds a guitar while the other man observes his shirt .
101093045.jpg| 0| A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .
109380144.jpg| 2| A man sitting on the ground is playfully kicked by a young woman , while a man in the back observes .
127449574.jpg| 3| Groups of people observe fish in a large tank .
1275832390.jpg| 3| Officer in riot gear observes demonstration .
1289352548.jpg| 3| Dog walkers observe their pets on a sidewalk .
1391386453.jpg| 3| The soldier is standing tall as he observes the passing people .
1432411014.jpg| 2| A man in a gray sweatshirt observes the amazing view above him .
146479462.jpg| 2| A man sitting outdoors ironing fabric while three people observe
1577697374.jpg| 4| A little girl observes how tall her adult friend is .
170473787.jpg| 0| A man in military camouflage is working a shepherd type dog in a grassy area while being observed by others in a parking lot in uniform .
2040622503.jpg| 4| A man observes antiques in a store .
2052102628.jpg| 2| A man observes collected belongings that are scattered about the beach .
214597976.jpg| 4| A man repairing a watch while another man observes .
2149434880.jpg| 1| A person wearing a white jacket jumped over a stream of water on a frosty day while being observed by another person standing on the other side .
216778085.jpg| 4| Two men observe a yellow drill in a mine .
2217244400.jpg| 3| Person with umbrella observes flooded streets with cars in the water .
2236851350.jpg| 1| Three males under an umbrella , two sitting and one standing , observe their surroundings .
2248487956.jpg| 0| An elderly woman in burgundy scratches her face as she observes a young man in a blue jacket and white baseball cap .
2267846791.jpg| 4| Adult and child observe fish tank .
231178641.jpg| 1| Kid in a blue jacket jumping in the air while people observe .
233066798.jpg| 0| Whole families , including children , donned hard hats to observe the rig on the edge of town .
2335504881.jpg| 1| Three people in white clothes observe graffiti on the side of a building .
2399586099.jpg| 3| A young man closes his eyes and looks away , as others in a crowd observe a function .
241198768.jpg| 3| Two people observe a man constructing a deck by a body of water .
2445283938.jpg| 0| Little girls sitting in a circle on wooden floor surrounded by observer area .
244587650.jpg| 0| A man in a striped shirt appears to be mock-conducting an orchestra on a crowded street as a couple observes him from behind .
2497747805.jpg| 3| A young African American boy bounces a soccer ball off his head as another beach visitor observes .
2533414541.jpg| 4| A race car is observed by the crowd .
2537592566.jpg| 3| A construction worker observes his equipment .
254475194.jpg| 2| A black dog runs in a yard while a woman observes
2547273673.jpg| 1| An man wearing headphones observes an older man performing his guitar on a public street bench .
2722956572.jpg| 1| A group of children sit on the floor against a brick wall while a woman observes them .
2768401039.jpg| 4| A man makes a coffee drink while he boss observes .
2784073733.jpg| 3| Two people observe the variety of fruits in a market .
