image_name| comment_number| comment
1057089366.jpg| 3| A little kid is jumping off a high dive at the pool .
12904242.jpg| 4| A girl is getting ready to dive into a pool .
1298295313.jpg| 0| A blond boy wearing a blue life vest and camo shorts jumps off a diveboard into a blue lake .
131890223.jpg| 0| A scuba diver who has descended to the bottom of the ocean floor reaches out to pet a large sea turtle .
1479857177.jpg| 0| A yellow gloved diver with a snorkel and mask swims underwater carrying a box with a handle .
1480712062.jpg| 0| Scuba diver under the water holding small crustacean in his hands .
1496935683.jpg| 0| Two scuba divers are diving underwater and meet with a friendly dolphin .
1504104816.jpg| 0| A young man adjusts his clothing while others dive and swim in a lake .
155221027.jpg| 0| A skydiver safely lands while another watches from the ground .
156204899.jpg| 0| Two scuba divers underwater wearing white shirts and scuba equipment along with fins on their feet .
171211612.jpg| 1| A scuba diver surveying the tranquil underwater environment .
200275830.jpg| 4| The boy is going to dive in the river .
2022338217.jpg| 4| A patriotic skydiver with an open parachute and flag .
2022443431.jpg| 2| A skydiver in a yellow parachute prepares for landing .
2054125670.jpg| 2| A snorkeler takes a dive into the sea .
213216174.jpg| 1| A boy in blue swim trunks dives into a swimming pool while two adults look on .
2178306830.jpg| 0| The scuba diver floats underwater looking at the beauty of the sea .
2245551446.jpg| 1| Some laborers in smocks sort some rubbish while diverting their eyes .
2353504999.jpg| 2| A wedding reception decorated in white and gold contains a diverse crowd .
2460823604.jpg| 3| A young boy dives to catch the ball during a baseball game .
2461616306.jpg| 4| A smiling child dives into a pool .
2471525587.jpg| 1| A man wearing a swimsuit dives into a pool surrounded by a screen .
2642247165.jpg| 0| A physically fit man dives into the water , with mountains in the background .
2655647656.jpg| 4| A young boy dives onto a water toy .
2711075591.jpg| 3| Two scuba divers are diving underwater .
2723220367.jpg| 1| This teen is showing off her talent as she dives in a pool .
2788489062.jpg| 1| Three adults and three children are swimming in a public pool with one child ready to dive .
2792195540.jpg| 3| Skydivers in formation .
2796120739.jpg| 0| The tan lady adjusts the goggles on her face before contemplating her dive into the aqua pool .
2819466992.jpg| 2| A man in a red swimsuit doing a back dive into blue waters .
2827549989.jpg| 2| A man and woman dive off the back end of a boat in to crystal blue water .
2827589184.jpg| 2| A woman softball player is out at the plate as she dives head first .
2863848437.jpg| 1| A goalie dives to prevent the ball from going into the goal .
288351324.jpg| 2| Two women stand in the foreground making foolish faces in front of a diverse crowd of young people .
289638061.jpg| 3| Two diverse teams competing in soccer .
2938875913.jpg| 2| Soccer player in red dives toward ball , blocking player in blue .
2959581023.jpg| 4| a man dives headfirst into the water .
2978735290.jpg| 1| A boy makes a jumping dive toward another boy with a soccer ball near .
3014773357.jpg| 0| Two geese in dark blue water one goose has wings outstreached the other is starting a dive .
3023927196.jpg| 2| Two scuba divers underwater , enjoying their time .
3032519316.jpg| 0| A diver in a blue dive suit is sitting on a bench on a side of a boat preparing to go into the water .
3040033126.jpg| 0| A dog is taking a dive into a body of water .
3072611047.jpg| 3| Two people dive headfirst into the water .
3084380974.jpg| 2| A man on surfboard dives over a large wave .
3131990048.jpg| 4| a bird dives for some food .
313238061.jpg| 2| A group of older swimmers with goggles and red and blue dive caps on .
313251305.jpg| 2| A swimmer prepares to dive in with a small crowd around .
3187492926.jpg| 1| A man in black bathing trunks dives into water .
3200958408.jpg| 0| A scuba diver ventures below the surface through countless forms of marine life .
3222250187.jpg| 0| A boy in red shorts takes a dive while playing ball with another boy on the beach .
3245545529.jpg| 3| A man somewhat sky dives into a blue serene pool .
3270691950.jpg| 0| A man dives into the water surrounded by rocks and pine trees .
3312232591.jpg| 1| A market where people can try a diversity of foods from all around the world .
3339140382.jpg| 1| A three person sky dive team in the air performing a stunt .
3361276685.jpg| 2| A baseball player rounds the bases while another makes a leaping dive for the ball .
3395865192.jpg| 0| Opposing basketball players dive for control of the ball as the referee blows his whistle .
3481961837.jpg| 3| A rescue diver just getting out of the dirty water .
3541162969.jpg| 4| a woman dives into the water .
3547647914.jpg| 0| A woman addressing a diverse group of people standing in the street .
3557595549.jpg| 2| A child wearing red swim trunks preparing to dive into a pool .
3565654691.jpg| 0| A scuba diver stands on top of rocks after emerging from the water .
3565655045.jpg| 0| A scuba diver emerges from the water and pulls himself onto the rocks .
3567604049.jpg| 0| The boy in the black swim trunks dives into the pool .
356793404.jpg| 2| A scuba diver is enjoying the view from underwater near a coral reef .
3632225464.jpg| 3| A skydiver flies through the air near a tall building .
3644941648.jpg| 2| A girl is jumping off a high dive in an urban setting .
3666574371.jpg| 2| The young man dives on the field during a sporting event .
3681324243.jpg| 1| Two men on opposite baseball teams dive for a baseball at homebase .
3689727848.jpg| 2| A male dives for a ball that 's flying over a pool .
