Original Sentence,Processed Sentence
['Several hard hated men are operating a giant pulley system.'],['Several hard hated men are operating a giant pulley system.']
['A man with black hair sits in a restaurant with a glass of beer.'],['A man with black hair sits in a restaurant with a glass of beer.']
"['In the background , the man was wearing a white and blue outfit , holding onto traditional Asian architecture .']","['And holding Asian traditional architecture, wearing a blue white outfit.']"
['When people watch people in tan pants are inside a mobile silver object.'],['When people watch people in tan pants are inside mobile objects.']
"['But behind the barrier, many people who look in observe the approaching black man with a strange silver object of containment.']",['But the black man approached.']
['A white dog with brown ears standing near the water which turned to one side of the head.'],['A white dog with brown ears standing near the water which turned to one side of the head.']
"['and jumping over three mat bound youngsters, and two demonstrating martial arts to the crowd.']","['and jumping over three mat bound youngsters, and two demonstrating martial arts to the crowd.']"
"['A blue, gray, black dog was jumping on the bandwagon of a fallen tree.']","['A blue, gray, and black dog jumps on the bandwagon of a fallen tree.']"
['The man on the scooter attracts the attention of some of the people in the large crowd.'],['The man attracted the attention of some of the people.']
['A group of people stand at the back of a cotton-filled truck.'],['The group of people stood.']
['A large brown dog was running away from the grass sprinkler.'],['A large brown dog ran away from the sprinklers.']
['The little girl and the man were happily posing in front of their supermarket cart.'],['The little girl and the man in the cart in front of them were in happy poses.']
['A young lady and two young men walk through a field near the water.'],['The two young ladies walked.']
"['And all five snowmobile firemen wearing helmets and blue from coats (right) in white coats, and people line up in a snowy clearing in a black forest.']",['And all five firemen in snowmobiles in goggles and helmets were in their coats and people were in line to wear them.']
"['Two men were sitting in front of a large building with a billboard for sunglasses and glasses, one older, the other a young guy with a yellow luggage shirt.']",['Two men sit on the floor.']
['A man with a backpack was sitting in front of a reading of an art sculpture in a courtyard of buildings.'],['A man with a backpack sat.']
"['Behind a brick patio, a fenced area, a toddler in a red hat and shorts looks blue.']",['Behind a brick patio looked like a blue and red toddler in a short hat and red hat.']
['Putting something in the mouth of his small boy with both hands.'],['Putting something in the mouth of his small boy with both hands.']
['A person in a helmet and green outfit was swinging a baseball bat in front of the fence.'],['The people in helmets and green outfits were swinging baseball bats.']
['A man in a life jacket and green shirt sitting in a drifting canoe sitting around the lake.'],['A man in a red life jacket and green shirt sits around the lake.']
['Someone was standing on a long bridge with a blue sky in the background and cloudy skies.'],['Someone stood up.']
"['One has to ask for bigger or a sleepy smile, because this little foot-and-foot girl, dressed whimsically in cypress pantaloons, is pictured as a baby.']","['One has to ask for bigger or a sleepy smile, because this little foot-and-foot girl, dressed whimsically in cypress pantaloons, is pictured as a baby.']"
"['And one woman, wearing pink flops and white tops, was wearing black pants and white tops. The two women were leaning on a brick sidewalk path in front of red and green bush.']","['And one woman in pink flops and white tops, wearing black pants and white tops, leans on two separate women.']"
"['Behind a bright house was a young girl walking on green grass, her right hand holding an orange ball.']","['A young girl, her hands holding an orange ball, walked behind a bright house.']"
['Maybe several sunny days outside the neighborhood will have a marathon.'],['Maybe several sunny days outside the neighborhood will have a marathon.']
['A shining woman with a white and blue blanket sleeping in a car.'],['The shining woman with her sleeps.']
"['On the emergency scene , a man and firefighters converse .']",['The man was conversing with firefighters.']
['A man with a child was kneeling on a beach where red and blue boats were stationed in the background.'],['The man on the knees with the children.']
['A large earthmoving machine created the track by watching a man closely what looks like survey equipment.'],['A large earthmoving machine created the track by watching a man closely what looks like survey equipment.']
"['The kids on bicycles in front of them, honing on a backhoe, were riding near a mound of dirt.']",['The kid on the bicycle in front of the hovel was riding near a mound of dirt.']
['A man in all black outfit just threw a bowling ball down the lane at the center of the pins.'],['A man in all black outfit just threw down a bowling ball down the lane.']
['The little boy rides the bike on a miniature dirt bike down a hill.'],['The little boy rides the bike on a miniature dirt bike down a hill.']
"['A large group traveling along a rural road in the back of a small truck, along the back of a person walking along with one another.']","['And people walked one by, a large group traveled in the back of a small truck.']"
"[""In a professional volleyball game, a male player in red trunks tries to block the opposing player's shots.""]","['In professional volleyball games, male players in red trunks tried to block shots from opponents.']"
['A man doing some sort of project on his knees on the ground.'],['A man doing some sort of project on his knees.']
['Climbing an artificial red wall while a woman in green shorts and yellow shirt was wearing a safety harness.'],['Climbing an artificial red wall while a woman in green shorts and yellow shirt was wearing a safety harness.']
"['And the girl, feet sat in a purse, wearing a purse in flip jean blue jeans and short sleeves green shirt, was writing a journal and holding a cup, sitting on the steps of the building.']","['And a girl with her feet in a purse sat on the steps of the building, writing a journal and holding a cup.']"
['A woman dressed in blue jeans and a blue jacket rides a brown horse near a snow-covered mountain and a frozen lake.'],['A woman dressed in blue jeans and a blue jacket rides a brown horse near a snow-covered mountain and a frozen lake.']
"['When a person climbs a flat, tall mountain, holding a safety rope,']","['A flat, tall mountain climbs while being held by safety ropes.']"
['A group of fishermen sat on the ground in front of some mountains.'],['A group of fishermen sat down.']
['A group of American children with happy faces and arms above.'],['A smiling American armed group of faceless children expressing happiness.']
['Young black person wearing a sweeper jacket and green shirt.'],['Young black people in sweeping jackets and green shirts.']
['A woman smiles as she holds several green peppers at a grocery stand.'],['Smile as several green peppers were held.']
['The young boy was jumping from the water that had been sprayed up on the ground.'],['The young boy was jumping from the water that had been sprayed up on the ground.']
['White and black dogs running in the dirt.'],['White and black dogs run.']
['Turn to look at the camera three television heads in a brown field.'],['Turned on the camera to look at the three TV heads.']
"['A person dressed in a tan jacket jumps into the quad, over a harvested cornfield, in front of a small outbuilding.']",['Dressed people jump on quads over harvested cornfields.']
"['And wearing hats, two men riding one of the background elephants.']","['And wearing hats, two men riding one of the background elephants.']"
"['A young girl and a young boy, wearing head-up lights and goggles, were smiling.']","['A young girl and a young boy, wearing head-up lights and goggles, were smiling.']"
['And the hands of a couple of feet were shaking and sitting in the sand.'],['And the hands of a couple of feet shake and sit.']
['And the boy in a white shirt walks on the grass carrying a soccer ball.'],['And a boy in white shirt carried a soccer ball as he walked.']
['A man with aerodynamic gear riding down on a bicycle around a sharp curve.'],['A man with aerodynamic gear riding down on a bicycle around a sharp curve.']
"['In the desert, near some block construction buildings, they were looking at two men pushing wheelbarrows.']","['Near them, two men looking on and pushing a wheelbarrow.']"
['A small child and an adult walk on the beach in front of ocean waves.'],['The adults and small children walked.']
"['A younger man playing with a young boy in the sand in dress slacks, a yellow shirt and a hat, in dress slacks and a hat.']","['A younger man playing with a young boy in the sand in dress slacks, a yellow shirt and a hat, in dress slacks and a hat.']"
['Two Asian men were riding a motorcycle in the midst of a crowd full of other riders.'],['Two Asian men were riding a motorcycle in the midst of a crowd full of other riders.']
['People were eating in a cafeteria with glass ceiling and a wood beam.'],['People eat.']
"['And you can see the building in construction from a distance, a man crossing the street.']","['And you can see the building being constructed, a man crosses the street.']"
['The young girl does handstands in a bed with blue sheets.'],['Young girls do handstands.']
['The purple-haired woman and the two long-haired girls were smiling.'],['The purple-haired woman and the two long-haired girls were smiling.']
