image_name| comment_number| comment
116734115.jpg| 1| Man slices food next to a gas oven in a dimly lit kitchen .
162967671.jpg| 0| Sitting at a table with beer empty beer mugs on it one brother is has a birthday cake sliced with sprinkler lit up while the younger brother is smiling with his eyes closed .
183502317.jpg| 0| A man in an office boardroom is cutting slices of cake for everyone .
2381926946.jpg| 1| Deli man slicing meat thin and weighing the sliced pieces .
2550646414.jpg| 3| A man in a gray shirt cutting up meat into thick slices .
2799871904.jpg| 1| An older woman sits under a sign advertising a 3 slice special .
2833820456.jpg| 0| a little girl is sitting at a table with a jug of juice and some watermelon slices .
2860430876.jpg| 1| A factory worker uses an automated saw to slice through an object .
2913097619.jpg| 2| A child looking at a cake while a slice is being served .
291565639.jpg| 2| Three children wait at a table for a cake to be sliced .
3081395629.jpg| 1| A man has collected coconuts on the beach and has started to slice them .
3087237078.jpg| 2| A woman offers a tray of watermelon slices to a man in a party setting .
3743169025.jpg| 0| A young girl in a ponytail eating a slice of watermelon while in a body of water .
389643437.jpg| 0| A girl in a white cap eats a slice of fruit next to a girl in a blue cap who is eating chocolate .
4380486458.jpg| 1| A man is tossing an onion in the air as he prepares to slice it .
467864644.jpg| 3| Young boy eats a slice of pizza
4705094483.jpg| 1| A man wearing black shirt with devil looking eyes , holding two big slices of meat .
47082665.jpg| 3| A man in a white jacket and hate slices pork for sandwiches .
4770851749.jpg| 1| A young girl in a renaissance type outfit slices food on a green cutting board .
505222650.jpg| 0| A woman wearing a gray sweater slices into a light brown celebration cake as she sits next to a much older woman holding a plate .
5536289343.jpg| 0| Two women with aprons are dipping slices of bread in mixture and putting them on a pot while another one looks at the process .
5605133486.jpg| 0| A chef is carving slices off of a giant chunk of rotisserie meat .
69514091.jpg| 1| A gray bearded man slices blade into some poultry on a cutting board .
7325903094.jpg| 0| A surfer wearing a black and red wetsuit on a white surfboard , slices through the waves on a bright blue ocean .
7436111546.jpg| 2| A racing catamaran slices through the waters .
86112730.jpg| 1| a chef taking a slice of pizza out to be sold
944424269.jpg| 1| A Lady with a variety of produce vending in the shade and weighing a slice of fruit .
