image_name| comment_number| comment
1022454332.jpg| 0| a large lake with a lone duck swimming in it with several people around the edge of it .
1057089366.jpg| 0| A kid jumps off the diving board and into the swimming pool below .
106490881.jpg| 0| A young boy in swimming trunks is walking with his arms outstretched on the beach .
1076460267.jpg| 1| A group of people in swimsuits enjoy themselves on a cruise ship .
1077546505.jpg| 0| A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .
1094283901.jpg| 1| A man wearing swimming trunks jumps off a concrete platform into a large body of water .
10957138.jpg| 2| A girl in a swimsuit is jumping high , near water .
1095980313.jpg| 0| A little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach .
1096165011.jpg| 0| A smiling boy swims underwater in a pool .
1113186657.jpg| 0| A blond child is wearing blue goggles and a green Speedo tank top while swimming underwater .
1119463452.jpg| 0| A little girl in a pink bathing suit swimming in a pool .
1122357785.jpg| 1| A man joyfully throws his son while swimming .
1130369873.jpg| 0| A brown dog swims through water outdoors with a tennis ball in its mouth .
113109101.jpg| 2| A girl blowing bubbles in the swimming pool .
1131155939.jpg| 0| A black lav runs into the water on the beach , with swimmers in the distance and sea kelp in the foreground .
1151321278.jpg| 1| A young boy in hawaiian style swim trunks holds a plastic bucket and shovel on the shore of the ocean .
1158255688.jpg| 0| A woman in a red swimsuit and blue swim cap swims underwater while wearing a pair of yellow nose plugs .
1178705300.jpg| 3| A dog in the air above the swimming pool .
1179226886.jpg| 0| Five girls and one boy are in their swimsuits all in the middle of jumping into the pool .
1189977786.jpg| 3| Two dogs jumping into a swimming pool .
1199847613.jpg| 1| Men and women wearing white swim caps giving each other piggyback rides .
1235455146.jpg| 1| A family sits at the beach while swimmers can be seen in the background .
1236951314.jpg| 0| A swimming person is watching a child jump into a pool with blue water .
1236964638.jpg| 1| A child jumping into a swimming pool from the diving board .
1242603438.jpg| 0| A group of 11 smiling kids and young teens are divided into two groups , in a large , indoor swimming pool , with the back person in each group holding their arms up .
1255599434.jpg| 0| Two young boys in swimming trunks are in the water looking at each other .
128391889.jpg| 0| A beach scene with three boys in swim shorts each holding paddle ball racquets but no ball in sight .
1287475186.jpg| 2| A young boy in a swimming suit sits in water .
1288909046.jpg| 1| A brown , fluffy dog jumping into a swimming pool after a red toy .
12904242.jpg| 0| A female swimmer in a black bathing suit about to jump off the racing platform into a pool .
12904363.jpg| 0| Two swimmers race in a pool with a red line between them .
1296740217.jpg| 0| A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .
1299459550.jpg| 0| The boy in swim trunks is laying face down on a watery pavement .
1303335399.jpg| 1| A very young boy sliding down a slide into a swimming pool , wearing blue floaties .
1304296861.jpg| 1| A young boy wearing blue swim trunks and goggles is jumping into a swimming pool .
1306145560.jpg| 0| A black dog , with a tennis ball in its mouth , swims through water .
131632409.jpg| 1| A young woman wearing a blue swimsuit top is standing on a sandy beach .
1317292658.jpg| 1| A boy wearing black swimming trunks is standing in a fountain .
131890223.jpg| 1| A SCUBA diver swimming deep underwater with a turtle .
1332867233.jpg| 0| A young girl and boy in swimsuits happily play in the sand on a beach .
1333788342.jpg| 1| A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand .
1334403090.jpg| 0| A tanned woman and man in swimwear paired together in a colorful kayak with river water splashing all around them .
1343426964.jpg| 1| a young man wearing swimming goggles wearing a blue shirt with a pirate skull on it
1345907464.jpg| 0| A boy wearing blue swim trunks is climbing on rocks with hotels on the beach in the distance .
1348113612.jpg| 1| A dog jumps into a swimming pool to retrieve some floating tennis balls .
1349095760.jpg| 4| A young boy in swim attire steps into the waves .
1350948838.jpg| 1| A black and white dog jumping into a swimming pool .
1351500610.jpg| 0| Two male friends in swimming trunks jump on the beach while people in the background lay in the sand .
136645716.jpg| 0| A man sits on a beach wearing swim trunks and a lei , holding a blue umbrella over his head .
1390268323.jpg| 4| Two children in swim trunks climb through a car
1397737225.jpg| 0| Four dancers dancing in a swimming pool during a performance .
1398606571.jpg| 0| Young girl in pink and green bikini , swimming with a rubber ring .
1408958345.jpg| 0| A little girl in a flower swimsuit running across the beach with waves in the background .
1414820925.jpg| 3| A man in red swim trunks playing volleyball .
1439046601.jpg| 0| A boy is smiling whilst standing in front of a swimming pool .
1439282131.jpg| 4| Two dogs swimming with a stick .
1465666502.jpg| 2| A black dog is swimming in green water with something in its mouth .
146577646.jpg| 1| Man in a kayak swimming in rough waters .
1468962616.jpg| 0| a little boy is squirting a yellow water pistol in the swimming pool .
1479857177.jpg| 0| A yellow gloved diver with a snorkel and mask swims underwater carrying a box with a handle .
147992532.jpg| 1| A dark-haired woman in black swimwear in shallow waters at a beach .
1496935683.jpg| 4| Two men in scuba gear swim with a dolphin .
149882790.jpg| 0| A man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .
1501985304.jpg| 1| The little boy is in the swimming pool with an adult woman .
1504104816.jpg| 0| A young man adjusts his clothing while others dive and swim in a lake .
1534613774.jpg| 1| Some people are standing alone on the beach in their swimsuits .
1534920819.jpg| 0| Many people are sitting on the edge of a rocky beach , watching others swim in the glistening water .
156021287.jpg| 0| One young child in a swimsuit jumping off a blue inflatable slide with water .
156967462.jpg| 1| Two dogs running near a river while one dogs in swimming in it .
157308126.jpg| 0| Three people in various stages of swimming strokes race along colorful lane markers .
15874606.jpg| 0| A young boy is swimming in an underground pool right next to the 3.5 ft . sign .
15875060.jpg| 0| A young boy in swimming trunks holds a white ball in a park .
162161519.jpg| 0| A man and a smiling young boy in a float vest are swimming together .
16437914.jpg| 3| A young girl swimming in a pool .
171211612.jpg| 0| An underwater photographer swims under the beautiful sea , yet above the white sand in the clear water with a large camera as she takes photo 's from underneath the water .
172097782.jpg| 1| A man wearing swimming trunks is waterskiing backwards using only one hand .
172097783.jpg| 0| A young man dressed in blue swimming trunks and a red life jacket waterskiing in a blue lake .
173621789.jpg| 0| A little girl , about three-years-old and wearing colorful swim goggles , stands ankle-deep on the stairs of an in-ground pool or hot tub while gripping the metal handrail above her head with both hands .
176673870.jpg| 0| An older , white woman stands along a crowded street wearing a swimsuit , holding a yellow sign with black letters that states ," "" Secure Borders "," Legal Immigration . """
1772859261.jpg| 4| A dog swims .
1783147941.jpg| 1| A female with a swim cap and goggles swimming in a pool lane .
1785138090.jpg| 2| A woman in a swimsuit walks along the street next to three trees .
1796608106.jpg| 1| Young women wearing a brown two piece swimsuit building a sand castle on a beach .
1799188614.jpg| 1| A boy in a swimsuit walking in the sand towards the water
1801063894.jpg| 2| Wet girl in yellow swimsuit looks over cliff to a swimmer in the water .
1805677013.jpg| 1| A fully dressed young woman runs a pole down into a swimming pool .
1808370027.jpg| 0| The dog swims through the water toward the waterfall .
1814372530.jpg| 0| Four young men , one fully dressed and seated , and three in black swim trunks - two standing , one seated - are on a pier with brightly painted railings .
1818403842.jpg| 0| Two dogs are leaping into a swimming pool trying to fetch the yellow toy that is floating in the water .
185368429.jpg| 0| Two boys in black swimming trunks are holding another boy by his arms and legs on a beach .
186758532.jpg| 2| Young boy in a red swimsuit jumps in excitement at the beach .
186890605.jpg| 0| A guy in swimming trunks flying on a rope swing above a lake .
187011497.jpg| 3| A young boy in swimming trunks stands by a grate in a crowd of people .
1931690777.jpg| 1| Four boys in swim trunks jump into a swimming pool .
194935702.jpg| 2| A man holds his hands over his mouth in a swimming pool .
1968453344.jpg| 1| A young shirtless man in swimming trunks lies on a ramp next to a marble wall .
1985706518.jpg| 0| Two people are swimming in a large body of clear blue water , and there is a large red item behind them in the water .
199809190.jpg| 0| Three young men wearing colorful swim trunks are diving into the water .
1998457059.jpg| 2| Four swimmers in the crystal blue ocean with yellow surfboards .
200269546.jpg| 0| Two boys , one with blue swim trunks and one with red swim trunks are standing on the beach .
200276116.jpg| 0| A boy in blue and red goggles is swimming .
203792206.jpg| 0| A man in black swim trunks is in the middle of diving off of a diving board into a swimming pool .
2066271441.jpg| 1| A black dog swims in water with a colorful ball in his mouth .
2073756099.jpg| 2| A dog is jumping into a swimming pool after a duck .
2081141788.jpg| 0| Three children are jumping into the air into a swimming pool at a resort .
2089350172.jpg| 0| three black dogs are swimming through some murky brown water , one with a yellow object in its mouth .
2099852435.jpg| 1| Young children , in swim trunks , relax atop of and fish over a seawall , near a rack of fishing poles .
2114126343.jpg| 0| Five women in identical swimsuits hold on to a rope near the ocean .
2120469056.jpg| 0| a boy in green shorts swims past a boy in black shorts in an outdoor pool .
2121234287.jpg| 0| A young boy in swimming trunks is running on the shore overlooking a city skyline .
2121357310.jpg| 1| A boy in a swimsuit slides along a stretch of wet plastic .
2121436056.jpg| 2| A young boy in a swimsuit and sandals is standing in a doorway .
213216174.jpg| 0| A young boy wearing a blue bathing suit flies through the air above a swimming pool .
2133650765.jpg| 3| The boy is jumping into the swimming pool .
2139519215.jpg| 0| The girl in the aqua two piece swimsuit is in front of the aqua pool .
2140305708.jpg| 4| A young girl wearing a blue bikini swimsuit .
2166417615.jpg| 3| Various people in swimsuits and shorts climb large rocks near the water .
2170187328.jpg| 0| A girl in a swimming pool looks on while a boy in a mask jumps in from a diving board .
2172526745.jpg| 0| A young boy at a water park pouring a bucket water on a young girl in a swimsuit .
217460891.jpg| 0| Two young ladies in swimsuits stand in the ocean next to some mountains .
2178064851.jpg| 3| A small girl with a necklace is swimming .
2178306830.jpg| 1| A person wearing scuba gear is swimming underwater water .
2180886307.jpg| 0| A brown dog is swimming and splashing in the water .
2189181027.jpg| 0| A black dog running along the sandy shoreline of a body of water while two ducks swim nearby .
2189995738.jpg| 0| Children are playing and swimming in a boy of water with a footbridge in the background .
2192026581.jpg| 0| Many children are playing and swimming in the water .
2202625355.jpg| 2| People swimming and jumping into a lake .
2209496328.jpg| 0| A Golden Labrador is swimming through water with a red toy in its mouth .
222369445.jpg| 1| Man in green swim trunks carrying a surfboard along a rock wall to the ocean .
2226587791.jpg| 3| A young child is being taught to swim in a pool .
2244594614.jpg| 0| A little girl wearing a pink swimsuit and cap is laying by the edge of the water at the ocean .
2267846791.jpg| 0| Mother holds her young son while they look on as fish swim in an aquarium .
2276120079.jpg| 4| Children in swimming clothes in a field .
2278490028.jpg| 3| Eight people enjoying the rafts and waterfall in this swimming hole .
2280354512.jpg| 3| A black and white dog swimming in clear water .
2281768510.jpg| 1| A man in red swimming trunks stands in the snow on a cliff above the water .
228949397.jpg| 2| A kid slides down a yellow slide into a swimming pool .
230486268.jpg| 3| A little boy in a red shirt and swim trunks plays at the beach .
2305437797.jpg| 0| A dog is swimming in the water with a stick in his mouth .
2307451605.jpg| 3| A black dog swimming in water near rocks .
2318502106.jpg| 0| A young man in swim trunks is juggling on the beach .
2325808609.jpg| 0| Nine men in their swimming gear are in a large pool performing swimming exercises .
233270519.jpg| 0| A man in swim trunks hits a ball with a paddle , while on the beach .
2339946012.jpg| 0| A brown dog swimming for a stick in the water .
