image_name| comment_number| comment
1013536888.jpg| 0| Women are seated at a picnic table eating , while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .
105493603.jpg| 2| A man and woman seated at a table together .
1055753357.jpg| 2| Two construction workers take a seat on a steel beam .
1056359656.jpg| 0| A young girl sits on a seat and looks at a train pamphlet .
106027774.jpg| 1| A young man asleep during a car ride wearing his seat belt .
106372282.jpg| 1| At the bakery , the fat old baker sleeps while his apprentice rubs the flour out of his eyes , seated beside him .
110201971.jpg| 3| Three men seated on an elephant in a small village .
1105137588.jpg| 0| A man is eating alone at a table near another table where a man and woman are seated .
1146490295.jpg| 3| A man shakes his arm at a group of people seated on a bench .
1163297375.jpg| 0| Blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .
1167144956.jpg| 0| A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .
118939861.jpg| 0| Two bald men in a bedroom with one man working on a desktop computer and the observing while seated on the bed next to him .
120286774.jpg| 0| Two toddler boys , one in a plaid shirt , the other wearing a t-shirt and bib , are seated in yellow chairs embedded in a table .
1220027979.jpg| 1| Two little boys and a baby girl sit on a striped seat outside .
1253095131.jpg| 4| Two women have a seat in a busy metropolitan area .
1266359954.jpg| 0| A woman seated on the subway wearing blue jeans and a black shirt with small designs has her head bent down to her knees .
1271210445.jpg| 2| girls seated at table with a candle covered with lit candles
127685074.jpg| 0| A woman is reading a newspaper and a boy is resting his head on a seat in a rail car .
12770842.jpg| 2| A man in a white shirt , standing with his hands over his head in a seated crowd .
1280221720.jpg| 1| A father and his toddler are sitting next to a giant Jelly Belly mascot seated on a bench .
128128618.jpg| 1| A man playing a xylophone is seated next to a man playing the guitar .
1294578091.jpg| 0| Standing man on phone with seated woman writing , near artist 's outdoor display .
130500771.jpg| 0| A man in a white shirt and black pants looks on as other people are seated at tables beneath green umbrellas .
1315116409.jpg| 2| While everybody else is having fun on a roller coaster ride , one lady at the very front seat seems too scared .
1332208215.jpg| 0| A man in glasses and an Asian woman are seated across from each other in a subway train .
