image_name| comment_number| comment
1045309098.jpg| 0| Juggling her shopping bags and Betty Boop backpack and young woman crosses a city street .
107532584.jpg| 2| An Asian couple walks in the shopping district .
110269384.jpg| 4| A woman in an apron shopping at a market .
1104881373.jpg| 0| A woman is at an ice cream shop and she is waiting for the man to scoop her ice cream .
110671345.jpg| 1| A young woman in jeans and a gray sweater walks on the sidewalk in a shopping district .
110671448.jpg| 1| A woman in a gray sweater and black baseball cap is standing in line at a shop .
111285749.jpg| 4| A man is putting up a poster in front of a shop .
112411540.jpg| 4| A man is standing behind a counter in a shop .
112719695.jpg| 2| A trendy woman walks with her coffee past theaters at a large shopping complex .
113291048.jpg| 1| A man carrying an electric saw and a square board inside of a shop .
1136758631.jpg| 0| A woman in a black top with a shopping bag standing near the train tracks while others read .
113737410.jpg| 0| Many people are walking around shopping in a brightly lit and colorful shopping mall .
11610969.jpg| 2| People are shopping outside surrounded by a metal fence .
1184340890.jpg| 0| A family coming back from shopping and a gentlemen is reading his newspaper to the side of the street .
119082045.jpg| 3| A man and woman wearing sunglasses are window shopping .
122427967.jpg| 0| A group of people in a coffee shop at night have coffee and juice together .
12335073.jpg| 3| A woman shops at a farmers market .
123416768.jpg| 0| Three women at a shopping mall , one has a dog , one is on her cellphone , one is playing with her necklace .
12393802.jpg| 1| Two men work in a butcher shop ; one cuts the meat from a butchered cow , while the other hoses the floor .
1242394484.jpg| 0| A young boy watching and admiring puppets in a puppet shop at the downtown convention center .
1245194315.jpg| 4| A man and woman enjoy a cigarette outside of a shop .
125272627.jpg| 4| A family eating lunch after shopping .
1287704027.jpg| 0| A woman wearing a short-sleeved striped shirt and carrying a green shopping bag examines fish in an open air market while a vendor in a white apron over a gray t-shirt hands her an empty plastic bag .
1292715668.jpg| 0| A woman in a long black burqa walks toward a shopping area while a short-haired man with a beard walks beside her .
"1295698260.jpg| 0| A woman with a shopping bag labeled "" sale "" stands in a crowd next to a young man with a camera ."
1303727828.jpg| 2| A woman with a crazy hairdo is shopping outside .
132099100.jpg| 2| A woman in a white shirt standing in a bread shop looking at the Italian loaves .
1332790049.jpg| 4| A crowded shopping area .
1336600636.jpg| 2| A woman smiles at the register of a small shop .
1339866098.jpg| 3| a small child with a bike outside of a shop
1342780478.jpg| 2| A man stands among cement fixtures in front of a donut shop .
1370615506.jpg| 1| A wine shop with an open sign in the window and two people out front .
138235288.jpg| 2| A blond woman with glasses shops at an outdoor market .
1389323170.jpg| 3| A woman sits on a flower pot at a crowded coffee shop .
1395410911.jpg| 0| Many people are walking along a sidewalk with a variety of little shops .
140468532.jpg| 1| A woman with a pink coat and three girls all with blue bags are shopping .
1408554531.jpg| 1| A woman wearing rolled up jeans and a black shirt is walking past a bus carrying a shopping bag .
141186473.jpg| 1| An Asian woman poses on a bench with shopping bags .
1418257247.jpg| 0| A view of several shops in an Asian country , complete with several bikes and people .
1463864223.jpg| 0| In the middle of a shopping center , there is a man who is painted gold with a gold bicycle .
1472653060.jpg| 0| Asian man is preparing breaded shimp with diners visible at a counter behind him , at a food court in a shopping mall .
1478414349.jpg| 0| A city street of Tudor-style buildings , with shops on the ground floor , featuring five window washers on ladders .
1483574454.jpg| 0| Two asian children working on bicycles at a shop in front of their mother .
1508599000.jpg| 0| A man sitting down eating , and a woman with a black shirt walking outside with shopping bags .
151853983.jpg| 1| A man in a checkered welder 's helmet is working in a workshop .
1547883892.jpg| 0| A seated young woman in a hat is reading at a coffee shop .
154873964.jpg| 2| Group of women standing in front of a shop wearing a blond wig and black jacket .
1558042903.jpg| 3| Girl with sunglasses and shoppers in a trinket shop .
1577632685.jpg| 4| A man walking down the street carrying a shopping bag .
1598809111.jpg| 3| Three asian women purchasing and shopping for postcards in a modern store .
1614180289.jpg| 0| A young boy is standing in front of a register often found in supermarkets , and a woman is handing him a green item from a shopping basket that has other items in it .
1614698671.jpg| 4| A man is working in a shop with donuts .
1615608252.jpg| 0| A woman in yellow and red smoking a cigarette and walking down the street with a shopping bag .
165984091.jpg| 1| People shopping for vegetables at an outdoor market .
1690043294.jpg| 3| Downtown shoppers passing by homeless man .
1708957026.jpg| 3| A woman walking down the street past a jewelry shop with a red dress in the window .
174385510.jpg| 3| Two friends next to a closed shop door embrace .
175077366.jpg| 0| A woman in a skirt and cowboy hat and a woman in pink pants with an exposed midriff are walking down the street looking at the shops .
1754775147.jpg| 0| A woman wearing a kerchief on her head and long checked skirt sleeping in a flower shop .
1784309115.jpg| 0| A woman in a small pink bikini chats on a cellphone while a man looks on outside a city shop .
1794856976.jpg| 0| A man walks along a sidewalk outside of a record shop while a person sits nearby taking pictures .
180146696.jpg| 0| The man in the red , hooded sweatshirt looks back and construction is taking place on a shop with Hebrew lettering .
180476372.jpg| 1| Many people walk down street of inner city street with record shop .
182503906.jpg| 1| A younger looking man stands behind the counter of an Israeli shop that sells cigarettes and cashews .
183647966.jpg| 1| A woman dressed in black with shopping bags is waiting on the sidewalk .
184457569.jpg| 0| tattooed man in a sleeveless shirt stands in the doorway of a pawn shop with a mop .
1859726819.jpg| 1| a woman wearing heavy makeup and a pink jacket is walking past a clothing shop at night .
1873155511.jpg| 0| An adult raises his hands towards a child outside a barber shop .
189233427.jpg| 0| A woman handing a white cup to a man with a newspaper box and a shopping cart between them .
1916832697.jpg| 0| A man in a black shirt and blue jeans stands in front of a shop window next to a open cellar .
1925838315.jpg| 0| A guy with a red shirt and black apron on working standing with his hand in a shopping cart .
1931018353.jpg| 0| Three People shopping in an isle in a foreign grocery store .
19366040.jpg| 2| people sit in front of a shop window talking on a sunny day
1945370692.jpg| 2| People taking a walk on a path in a shopping center .
194730600.jpg| 2| Two boys with unicycles stand outside of a street shop .
195226258.jpg| 3| A man and women are inside an ice cream shop .
1957683077.jpg| 3| A happy woman is preparing a refreshment at a coffee shop .
1980882959.jpg| 0| People transport multiple large trash bags on bicycles and in shopping carts .
200875615.jpg| 2| Elder man is working on a project in his home workshop .
2033696343.jpg| 1| A bicycle is parked in front of a shop that has a large orange sign .
2040622503.jpg| 3| Man holding grocery bags window shopping .
2045928594.jpg| 2| Woman standing on the street with a shopping bag and a purse .
2047030603.jpg| 1| A man with glasses grasps his shopping cart filled with orange plastic bags .
204886976.jpg| 1| In the middle of a shopping center , there are two statues of men on bicycles with skeletons by them .
2074146683.jpg| 1| A woman wearing a white hat is carrying a baby whilst shopping in a market for groceries .
2078665663.jpg| 0| Asian shoppers pass by the Carpintaria , all carrying shopping bags filled with items .
2083434441.jpg| 0| Older woman wearing glassses riding a bicycle with a shopping bag on the handle , yellow car is in the background .
2096485764.jpg| 1| Man reading a book in a barber shop at night .
2101413509.jpg| 1| A small child in a red coat points to a handbag in a shop window .
210765316.jpg| 0| People shop in a farmers market that 's decorated for Christmas .
2123838998.jpg| 1| A five-piece band , four of the men in red outfits and one of them in a leather jacket and jeans , perform on the sidewalk in front of a shop .
2127166904.jpg| 0| A man in a gray sweater speaks to two women and a man pushing a shopping cart through Walmart
2182488373.jpg| 0| A woman in a hat holding a handbag smiles away from another woman wearing sunglasses and holding a shopping bag .
2190966429.jpg| 4| An older couple are standing by a Fairway shopping cart .
2201951953.jpg| 0| Four people are in the process of creating colorful lanterns in their lantern shop .
2206060803.jpg| 0| A painting of a marketplace with a man pushing a cart full of buckets , some customers at a shop , and a black woman with two children .
220689305.jpg| 0| A woman , viewed through a window , sits at a restaurant table and puts down a red shopping bag .
221510405.jpg| 1| A man wearing an orange shirt has his hands on a row of shopping carts in a parking area .
2215305500.jpg| 1| A woman wearing a gray scarf and carrying shopping bags walking down the sidewalk .
2215767852.jpg| 1| Women are shopping at an outdoor market with oranges on display .
2220274048.jpg| 0| Blue scooter with white helmet and two women sitting on bench looking at phone next to small shop .
22215229.jpg| 0| African American man with shopping bag standing in a blue phone booth .
2245918465.jpg| 2| Bishop making the cross with ashes on a man 's forehead
224663185.jpg| 1| A young boy carefully shaving a gentlemen in a barber shop .
2249094622.jpg| 2| A man in white shops for oranges and other fruits at an outdoor market .
2249783869.jpg| 2| A knitting group meeting in a coffee shop .
225110635.jpg| 2| Street crews resurface a road next to a fish and chips shop .
2254913901.jpg| 0| Woman on the street window shops in front of the store , Louis Vuitton .
