image_name| comment_number| comment
1000268201.jpg| 1| A little girl in a pink dress going into a wooden cabin .
100577935.jpg| 0| A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
1010470346.jpg| 2| A man on a bicycle watching a row of cars waiting to go through a checkpoint .
102268204.jpg| 3| police questioning the driver of a black wagon at nighttime .
102617084.jpg| 0| Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .
103106960.jpg| 0| A young male kneeling in front of a hockey goal with a hockey stick in his right hand .
1034276567.jpg| 4| A child biting into a baked good .
1039637574.jpg| 1| A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown .
105223874.jpg| 2| A little boy with a blue shirt on sitting on the ground playing with legos .
1054620089.jpg| 2| A woman in a red jacket , with a blue and gold handbag is jumping while smiling on a cobblestone street .
1076503761.jpg| 1| A young woman in a bikini holding a bottle is goofing around and kicking a man in a straw hat .
1078621572.jpg| 4| Many men on the back of a pick up truck going down a road .
1084527029.jpg| 0| Looks like everyone is getting good gas mileage here with all these beautiful scooters !
109202801.jpg| 0| Two golden brown horses pull a sleigh driven by a woman in a blue coat .
109738916.jpg| 1| People pose with helmets and goggles on while riding snowmobiles .
1099434461.jpg| 4| A man makes a perfect , golden crepe .
11026590.jpg| 0| A young boy , wearing goggles and a heads-up light , and a young girl , are smiling .
110615445.jpg| 3| A couple kissing while going up the escalator .
110802332.jpg| 0| Two hockey teams are shown at the goal where the white team is stopping a goal being made by the blue team .
1113186657.jpg| 0| A blond child is wearing blue goggles and a green Speedo tank top while swimming underwater .
1122177096.jpg| 0| A man wearing a yellow shirt and tan pants plays golf outside while being watched by other people .
1122944218.jpg| 4| A baby wearing a white gown waves a Muslim flag .
1131804997.jpg| 1| Two men are sitting on the ground and going through their backpacks .
11391827.jpg| 0| A man in a brown uniform reaching out from an industrial doorway , as if he is going to shut the door .
1145781754.jpg| 0| Four men with baseball caps and logo t-shirts laughing together at a table .
1149179852.jpg| 0| A man without a shirt on is guiding a large brown horse pulling a green and yellow wagon .
115018808.jpg| 1| A young man runs with goggles above his eyes and a bungee cord tethered to him as a man on a bicycle with a white helmet laughs .
115125072.jpg| 0| Five Asian doctors in green hospital scrubs and masks having a discussion over what appears to be an ongoing operation .
115903799.jpg| 0| A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll .
116382784.jpg| 2| A young village girl is making a funny face while buying goods at a market .
1172514641.jpg| 1| A man , his little son and their dog going for a walk in the mountains .
117919518.jpg| 0| A man leans against a rock pillar with his back to an ongoing parade decorated with white and pink balloon arch .
11808546.jpg| 0| A little boy with a pacifier in his mouth stands in a park with a goose .
118647903.jpg| 1| A soccer player in a red uniform goes after the ball , fending off a player in white .
118717792.jpg| 0| A festival is going on right outside a lake , with several drummers in red shirts and a man on stilts playing the drums .
1196602179.jpg| 0| A woman ventriloquist is playing with her colorful green and red dragon in a beautiful garden backdrop .
1199847613.jpg| 3| The people dressed in all white are having a good time .
120474559.jpg| 2| A man sitting , wearing a San Diego Padres hat plays on a keyboard .
120538235.jpg| 0| A man in a striped red polo shirt , tan khakis , and a Nike visor is surrounded by a crowd of onlookers as he finishes a golf swing .
122634567.jpg| 1| A woman and man interested in an event going on downtown on a busy walking street .
1228304869.jpg| 4| A man in a red plaid shirt playing Frisbee golf .
1235580648.jpg| 0| The two men are wearing tall hats , one hat is a red print and the other is gold colored .
1236951314.jpg| 3| A boy with goggles jumping into a pool containing a man .
123997871.jpg| 2| Several female lacrosse players are going after a ball .
124145159.jpg| 4| Two men in a club playing bongos and singing karaoke .
124390903.jpg| 2| A woman holds a plate of goodies for her little princess .
1247484195.jpg| 2| a young girl in a yellow dress and no shoes dancing on the dugout at a baseball game .
124880336.jpg| 1| Three people sitting in front of stone statues wearing a monkey and goblin mask .
1252396628.jpg| 1| A man in a red biker suit on a red dirt bike going down a muddy road .
1253275679.jpg| 1| The boy is wearing a black t-shirt with an AD parody of the AC logo .
"1254659.jpg| 0| A sign that displays "" Mongolian BBQ "" shines above two employees in white shirts and caps and green aprons ."
126772535.jpg| 3| man with goggles and robe pouring items from glass and boy looks on
127146749.jpg| 2| A man is sitting on a green train that is about to go through a tunnel .
127257426.jpg| 1| A girl in cargo pants and a green shirt jumps in front of a square stone .
127488876.jpg| 0| One man in red shirt and black pants with a man in white shirt and tan shorts , golfing .
127489408.jpg| 0| A woman in a blue shirt and pink sweater , with a slightly goofy expression , is sitting at a table where a game with miniature players and dice is being played .
127490019.jpg| 0| A woman in shorts and a blue sleeveless shirt leans over a golf club .
12830823.jpg| 0| There are several people and children looking into water with a blue tiled floor and goldfish .
128396207.jpg| 0| A bike rider with khaki green shorts , a blue shirt , backpack and helmet is riding on the street near a red station wagon that is missing a hubcap on the back drivers side .
1283974580.jpg| 4| kid about to go on bike ride with parent
128479788.jpg| 2| Sisters on a red four wheeler wanting to go for a ride .
1287768104.jpg| 0| A lady standing wearing black and has a black mohawk has her arm around a guy with a brown bucket hat , green cargo pants and black shirt .
1290285741.jpg| 3| Three women wearing white gowns are dancing .
129462636.jpg| 2| A white person allowing a dog to go outside through a barred door .
1303335399.jpg| 4| A little boy has gown down an orange slide .
1304296861.jpg| 0| A goggled boy leaps from the edge into a shimmering pool with someone watching on in the background .
13042995.jpg| 1| People are working on the factory floor while yellow stacks of paper go by .
130508055.jpg| 0| People are going up towards a man in a white shirt .
1306038218.jpg| 0| Two soccer players , one from a team wearing red and the other wearing white , are both going for the soccer ball , while people on the bleachers watch .
1306755031.jpg| 4| A crowd of people fills a square in front of a pagoda .
131090759.jpg| 2| A man pulls a wagon full of chairs behind him down a city street .
131156353.jpg| 0| A man wearing a gray shirt , blue jeans , glasses , and sneakers is teeing of a golf ball with a golf clove .
1315116409.jpg| 3| Several people are riding on a roller coaster while reacting to going through a loop in various ways .
131624221.jpg| 0| A man in jeans and sandals sits outside near trees and a goose and plays a string instrument .
1321723162.jpg| 4| Two people go ice skating in a rink .
1323858296.jpg| 4| A man works on weaving a cloth good for sale at the market .
1324816249.jpg| 1| A golden dog walks on a trail through tall grass with mountains in the background .
133010954.jpg| 4| We have to go there to look into the machine .
1335617803.jpg| 0| Two boys wearing matching blue polo shirts strike a goofy pose .
1341077576.jpg| 0| A man in a red shirt and blue pants is going into a building while a dog watches him .
1343426964.jpg| 1| a young man wearing swimming goggles wearing a blue shirt with a pirate skull on it
1346529555.jpg| 4| A dog retrieves a golf ball .
134829866.jpg| 1| A man wearing a white cap , sunglasses , and red vest is playing a gold sousaphone .
1351635108.jpg| 0| A man wearing shorts is preparing to hit a golf ball with his golf club .
1356895715.jpg| 1| A motorcycle is parked along side a mountain road while another goes down the road .
135911244.jpg| 2| Two officers in uniform chatting in a golf cart .
1361790462.jpg| 0| Two people are wearing a Chinese dragon costume in front of an ornate Chinese gazebo with red pillars and the gazebo has two large red lanterns hanging from the roof .
1365040902.jpg| 2| The man with the goatee and black shirt is walking along the street .
137453677.jpg| 2| People going through a buffet style line to design dyed eggs .
1374577120.jpg| 0| There are people mulling around and going about their business at what appears to be a street fair , or a ballgame .
1384292980.jpg| 2| Two asian females go walking .
1389264266.jpg| 2| Two girls wearing goth trendy clothing while one looks back at the camera .
1389651420.jpg| 0| A little boy in a red shirt is making a face into the camera while waiting at a go-cart track .
1394319096.jpg| 4| Beach goers look at a heart left in the sky by a sky writer .
1396703063.jpg| 1| A man wearing a white shirt , gold cross , and a cowboy hat is standing in front of a roller coaster .
1400421768.jpg| 0| A man dressed in all black is holding a stick and wearing black goggles .
1403414927.jpg| 2| White dog and black dog going down trail in wooded area
1404832008.jpg| 3| A man on a tag line going into the water .
1405383834.jpg| 0| Caucasian couple , both with red-hair , bride wearing a white wedding gown , groom wearing light blue shirt and silk blue tie , sharing a piece of white wedding cake with chocolate frosting .
1409702228.jpg| 1| The man in a dark blue shirt is squeezing a bottle filled with a gold-colored substance .
1409969752.jpg| 2| a demonstration of how good KitchenAid products are .
1410585992.jpg| 1| A man is holding a baby and the baby is petting a goat .
141186473.jpg| 0| An Asian woman sitting on a bench going through a pink laptop bag .
141736784.jpg| 3| A group of people that appear to be having a good time .
1425366395.jpg| 0| A young child and an older man are both petting a goat .
1436661786.jpg| 4| A man in a taxi waiting to go .
1443807993.jpg| 4| A girl going down a slide .
14559446.jpg| 4| Two men playing golf near water while the sun is setting .
145645390.jpg| 1| A man is going upstairs in a museum or archaeological area .
1457162537.jpg| 3| A white man going for a walk .
145721498.jpg| 0| The kayaker braces himself as he goes down the river .
1457898867.jpg| 0| A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother 's wagon down a dusty dirt road .
1462460316.jpg| 0| A woman wearing a blue dress and gold belt sings with a microphone .
1463864223.jpg| 0| In the middle of a shopping center , there is a man who is painted gold with a gold bicycle .
146479462.jpg| 0| A man ironing a tribal looking piece of attire as a woman watches and two others go about their business .
146577645.jpg| 0| A kayaker goes through the waves holding his paddle .
1468741099.jpg| 1| A man in brightly colored clothing playing what appears to be a bongo in a city with onlookers .
1468962616.jpg| 3| A child wearing yellow goggles uses a squirt gun .
1470061031.jpg| 0| Two light golden colored dogs playfully wrestle together on the brick area .
1472053993.jpg| 4| A skier going down the snowy hill .
1472882567.jpg| 4| a group of skiers going up a mountain
1476592333.jpg| 0| People going under a gazebo as the walk to the beach one is holding a surfboard .
1499554025.jpg| 0| Two light-colored female goats in an indoor arena with handlers dressed in white .
1501811302.jpg| 3| The dog is chasing the goat around the yard .
150387174.jpg| 1| A man is going between two red flag markers on a dirt bike .
1508599000.jpg| 1| A couple of people in white sit in a subway car going through a bright orange station .
1522787272.jpg| 0| A golden retriever has on a collar and a harness and has a muddy lower body .
1523800748.jpg| 4| Two children run towards the lagoon .
153963868.jpg| 0| An operator in a gold hard hat and orange vest sits hunched over on a large piece of John Deere equipment .
154653766.jpg| 0| A group of teenage boys is standing in front of a Wells Fargo Bank .
154656621.jpg| 2| Two boy put their hands together while another boy goes under their hands .
154871781.jpg| 0| Two boys have made a goal out of two jackets in order to play soccer .
1558848564.jpg| 0| An intricate gold design is the backdrop to a middle-aged woman in a blue outfit playing a long , brass instrument with a sliding piece as she stands by a another middle-aged woman in a blue outfit who is playing a long , wooden flute-like instrument .
1571528274.jpg| 4| People having a good time dancing
1573017288.jpg| 4| A girl with extended arms goes down a slide .
157616263.jpg| 2| A woman is sitting in a chair , while a man is going through the sport utility vehicle .
157747588.jpg| 4| Sprinkler goes off in the middle of a crowd .
1579291454.jpg| 0| Three men , two dressed in white and another in black vestments with a gold cross , address a crowd .
1580359117.jpg| 2| A man in a red apron displays a gourmet plated entree .
158388874.jpg| 1| A representative of the Museum of Modern Art discussing something with a tourist or benefactor , while a woman in the background goes toward the exit .
1590016063.jpg| 4| People walking in a beautiful golden cathedral .
1595300147.jpg| 1| A horse pulls a wagon with a bale of hay on top , while a man sits on top of the bale with his hand in the air .
1596758323.jpg| 0| Two brunette ladies walking wearing white flowing dress passes by a huge billboard of a father and son playing golf .
1597557856.jpg| 0| A golden retriever is excitedly greeting a woman as a little dog walks towards the camera .
160417285.jpg| 1| Two football players become entangled while they are both going for the ball .
