image_name| comment_number| comment
1128230658.jpg| 0| A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm .
1303727828.jpg| 0| A woman in a floral print dress and a shaved head at a store .
133189853.jpg| 4| A man with a shaved head is kissing another man on the cheek .
1365040902.jpg| 1| An unshaven man with a serious look is standing in front of a parking meter on the sidewalk .
1499554025.jpg| 2| People dressed in all white are looking at some shaved lambs .
154789578.jpg| 2| A man with a shaved head and a button-up shirt looks into a microscope near a poster about red blood cells .
155515294.jpg| 2| A young man shaves his face , while a girl behind him takes a picture in the mirror .
156204899.jpg| 1| Two men with shaved heads , both wearing white shirts are practicing underwater diving .
15859665.jpg| 0| A small child with a shaved head is riding a bouncy sea-horse in the park .
1801283994.jpg| 0| A Father is observing his son , Kurt to see if his teaching prevents Kurt from cutting himself as he shave with a razor for the first time .
197688193.jpg| 2| A man shaves his neck but not his beard .
2040122955.jpg| 3| A man shaves his face while somebody else watches .
2201877660.jpg| 1| A shirtless man shaves outside a garage while someone to the side holds up a mirror for him to see from .
222310878.jpg| 0| A person with a shaved head , umbrella , and red robe is attempting to jaywalk in the rain .
224663185.jpg| 3| A young boy is giving an older man a shave .
2274021471.jpg| 0| A shirtless man wearing glasses is looking into a mirror as he shaves his face with a razor and shaving cream .
2311881432.jpg| 0| A man with a shaved head is sitting on a sandy beach holding an electric razor close to his face .
2333643699.jpg| 0| A hirsute man looks in the mirror as he shaves his lathered face .
2384754746.jpg| 4| A man in a striped shirt is looking in the mirror while he shaves .
2424716158.jpg| 1| A man in a red cap is speaking to a man in a black shirt and a man in a pink shirt with a shaved head .
244073535.jpg| 0| A man is tilting his head back in a barber 's chair , while his beard is lathered up before a shave .
244910130.jpg| 3| An unshaven man sits in front of an evergreen tree .
2524831824.jpg| 3| An elderly man shaves carrots while onlookers watch .
2553089098.jpg| 2| A young shaved head man is tuning his guitar .
2575372856.jpg| 2| A man shaves his face with a green razor in closeup .
2699125097.jpg| 1| The man with a shaved head and nipple piercings is wearing sunglasses .
2715155329.jpg| 2| A man with a shaved head and sunglasses smiles broadly .
2832610852.jpg| 0| A man with a gray hair and wearing glasses is getting ready to shave a gray-haired man .
284251489.jpg| 0| a man with a shaved head , wearing an aids walk shirt , is looking at a laptop .
2894893895.jpg| 1| A shaven head young man wears headphones and works with a mixing board .
3027936866.jpg| 0| 2 children jointly carry a water bucket , one is wearing an orange polka dot dress and one is wearing a yellow , blue and red dress , both have shaved short hair .
3103292929.jpg| 0| An unshaven man looks down at a blanket wrapped baby in his arms .
3105929913.jpg| 2| Four people with shaved heads and white robes pose their hands in prayer .
3171020648.jpg| 1| A man with a pensive look on his face shave off his beard .
3188802591.jpg| 0| A man focuses on the reflection of his head in the mirror as he shaves it .
3219475925.jpg| 1| An older man having his beard shaved by a younger man in front of a crowd of people in a lecture hall .
3318927181.jpg| 1| A man with a shaved head and a beard wearing a gray sweater holding his hand in front of his mouth .
3367579796.jpg| 2| A man uses a cartridge razor to shave his cheek .
3428985247.jpg| 2| A carpenter shaves off a board while in the rain .
350938953.jpg| 2| A man uses a straight razor to shave his neck .
3520617304.jpg| 2| One soldier throws another soldier with a shaved head onto the ground .
3582914905.jpg| 1| A man with a shaved head and something in his mouth is holding on to a red rope .
3594822096.jpg| 1| A man with a shaved head riding a mountain bike .
3597294140.jpg| 2| Man waits in his chair for a barber to shave his face .
3599780784.jpg| 2| A guy is getting his hair shaved off by another guy , while a third guy takes a picture .
3698928767.jpg| 1| The view of a man with a shaved head and blue shirt through a chain-linked fence .
371121323.jpg| 0| A young man with a shaved head and glasses is sitting at a kitchen table using a computer .
3851415674.jpg| 1| A younger boy trying to shave while an older man in the background is watching him .
3855396443.jpg| 0| An overweight elderly woman is waiting in line behind a man with a shaved head with a gray shirt and black pants and there is a man looking through a newspaper on a stand that says Echo in the background .
3857131306.jpg| 0| A man with a shaved head , smoking a cigarette , holds up a piece of a beehive .
3908659741.jpg| 1| A bald man shaves the chin of another man using a straight razor .
3985151779.jpg| 3| Man with entire face lathered in shaving cream , preparing to shave .
4056875847.jpg| 0| A man with glasses and no shirt looks in the mirror as he shaves .
4077598908.jpg| 1| Five black men wearing white coat and their heads shaved are working in a laboratory , looking under the microscope .
4107478984.jpg| 2| A man with glasses and a beard shaves his beard with a shaver .
4145725151.jpg| 0| One African-American male in a white and red T-shirt is using an electric shaver to shave another , seated , African-American male 's head .
4322110026.jpg| 2| An asian man in a gray ' station 18 ' t-shirt shaves his beard .
4445461480.jpg| 2| A man with a shaved head getting out of his car .
4455946038.jpg| 1| Man with a shaved head and beard poses on a expansive beach with an orange sand bucket on his head .
4483932274.jpg| 0| A man with a shaved head , wearing a red shirt , is urinating in an outdoor area while another person walks nearby .
44904567.jpg| 0| A middle-aged man is getting his head completely shaved by another middle-aged man with hair .
450688968.jpg| 0| A man with a shaved head is getting ready to kick a soccer ball while other players run on the field behind him .
4525740976.jpg| 1| A well-dressed , shaven-head young man strides through railings past a restaurant .
