image_name| comment_number| comment
100444898.jpg| 2| A man in a gray coat is standing on a washed out bridge .
1051205546.jpg| 1| Two women , one in green and the other in purple , washing a sidewalk .
1159425410.jpg| 0| A female washes her medium-sized dog outdoors in a plastic container while a friend secures it with a leash .
1434874674.jpg| 0| A young boy wearing a red shirt and tan pants mops the area around his washer and dryer .
143572368.jpg| 1| A woman washing her laundry in the river , beating her clothes on a rock .
1464513701.jpg| 2| A man in shorts is washing his boat in his driveway .
1478414349.jpg| 0| A city street of Tudor-style buildings , with shops on the ground floor , featuring five window washers on ladders .
1499928560.jpg| 0| A woman in red uniform washing windows from outside of a building .
154501143.jpg| 2| A band with a washboard playing for a crowd .
17095593.jpg| 1| Two male workers whitewash a brown bench .
174180610.jpg| 1| A man and a woman are sharing a dishwashing task in a kitchen at the sink .
1807463181.jpg| 3| Window washers cleaning off huge glass window .
2015953389.jpg| 1| Three window washers in blue uniforms work on scaffolding .
2045109977.jpg| 4| A man smiles while he washes windows .
2085078076.jpg| 0| A small boy standing near muddy water with something in his hand while someone beside him washes clothing in buckets .
2095949968.jpg| 0| A toddler , dressed in white , is intently looking at the glass door of a front loading washing machine .
2244594614.jpg| 2| A small child lays on the beach while the surf washes back into the ocean .
2253052296.jpg| 0| A toddler is washing a window with cleaning spray and paper towels .
2254100058.jpg| 3| Kids washing and playing in the sink with water sprayer .
2328210895.jpg| 0| A woman wearing a blue and white dress washes a man 's hair while he sits in a barber 's chair .
2350565030.jpg| 0| A woman in a green plaid coat is standing in front of a bank of washers in a laundromat .
2371988553.jpg| 3| A street washer washing the street .
2382117842.jpg| 2| A woman wearing a tank top and gloves washing the windows on top of a train .
2390400553.jpg| 1| A window washer dressed in blue overalls is suspended high in the air washing windows .
2402549000.jpg| 2| A man seated in a chair has his hair rinsed and washed by other men .
2407214681.jpg| 0| Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
2479652566.jpg| 0| A little girl is sitting on the counter dangling one foot in the sink whilst holding a dish jet washer .
2485788356.jpg| 3| 2 girls washing a floor covered in soap .
2536863537.jpg| 1| A construction worker in a white hard hat and bright orange vest is washing a wall .
2603743747.jpg| 4| Two men without shirts are washing a roof .
2664091531.jpg| 3| A young boy stands by a car that 's being washed .
2705104779.jpg| 0| A red pickup truck is being washed by several people , one of whom is standing in the bed of the truck wearing a red shirt and blue shorts , washing the back window .
"2705923970.jpg| 0| A younger girl holds up a yellow "" Free Car wash "" sign along the edge of a road ."
2716680617.jpg| 0| A young boy washes himself off with water form an orange bucket at his feet .
2743046728.jpg| 2| Two small girls are looking at seaweed that has washed up onto the shore .
28144507.jpg| 0| A bald man in a blue shirt washing a window . The window is covered in suds .
2875605750.jpg| 2| Woman wearing black and washing windows .
2914936417.jpg| 1| A group of people put laundry detergent into a top loading washer .
2915400809.jpg| 0| An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake .
291613911.jpg| 0| Looks as if the man in a blue shirt with white strips on the arms is pressure washing the kitchen deep fryer .
2923086298.jpg| 0| A girl in black shorts and a black shirts is vac-cumming beneath the dishwasher in a kitchen .
2929181389.jpg| 0| Multiple people , most prominently a woman in a skirt and black top , stand in front of a row of orange laundromat style clothes washers .
2938523789.jpg| 0| A young man and mother in the kitchen washing and drying the dishes .
2956061205.jpg| 0| Two white girls holding up signs advertising for a car wash fundraiser .
299309703.jpg| 2| Woman washing a infant with wash cloth and water .
2997939824.jpg| 0| Three soldiers are washing cooking tins in red buckets with two women with yellow vests standing behind them .
3039200576.jpg| 0| Two girls are walking by a car wash that has two cars and two men outside it .
3042612760.jpg| 0| A woman dressed in a red sweatshirt , wearing a white apron , and washing a large pan in a sink .
3067824182.jpg| 0| Two men , both have glasses , are wearing striped shirts are in the kitchen preparing a meal and washing up .
3073482341.jpg| 4| A window washer scales a building .
3091683349.jpg| 4| A small boy washes the dishes .
317943067.jpg| 0| A young infant is bathed in a small tub filled with sudsy water while the hands of its parents gently wash it .
3208032657.jpg| 1| A man power washes some steps beside a swimming pool .
32473949.jpg| 1| Six men , five in blue shirts and one in white , wash a red , four door car .
3249619521.jpg| 3| Three window washers perform their job .
3275575996.jpg| 1| A man is up on a scaffold and appears to be washing the windows of a building .
3280050128.jpg| 4| A woman is washing something in a sink .
3280644936.jpg| 0| At a laundromat a woman rummages through her purse while customers wash clothes in the background .
3289474362.jpg| 2| Man in all white clothing washing the windows on the outside of a chinese restaurant .
3300369373.jpg| 1| Kids , toddlers and women taking a bath and washing clothes , probably near a riverbed and one girl is carrying a container of water .
3327761688.jpg| 0| An expensive car is parked in what looks like a car-wash with a man standing at the open passenger door side .
3373615534.jpg| 0| A young teenage girl washing off a car with a hosepipe .
3388096008.jpg| 1| A man washing windows in a harness and a dark blue shirt .
3446299757.jpg| 4| An elderly lady washing a glass door .
3525978606.jpg| 4| A woman is washing her vehicle .
3614269018.jpg| 1| Here we have a guy using a pressure washer on the sidewalk .
364282261.jpg| 3| A man washes a floor next to a yellow ladder .
3656030945.jpg| 1| Three white puppies are being washed in a bathtub with handheld shower .
3660303751.jpg| 0| A man wearing blue jeans and blue shirt sitting on a windowing washing swing washing a window .
3664988259.jpg| 1| A man wearing a black shirt and headphones is recording his voice in a white-washed studio .
3668244651.jpg| 1| Two women , a man reading a red shirt and two children washing a baby doll .
3677329561.jpg| 0| Two little girls in summer clothes are washing a brown dog .
367975972.jpg| 0| A woman squats washing pots , pans , and bowls in a river , along side a cluttered trashed-filled area .
3686889377.jpg| 2| A woman with a red tank top and colorful head wrap washing dishes .
3711340791.jpg| 2| A worker is power-washing while hanging from a wire on the outside of a building .
3711352975.jpg| 0| A very young naked baby with a feeding tube in it 's nose is being washed by a female in a Rubbermaid type container filled with soap suds .
3721368299.jpg| 2| A woman standing next to a washing machine holding a large polka dot sheet .
3753939.jpg| 0| An uniformed man leaned out of a side pilot 's window of a large American Airline aircraft to wash the cockpit 's window .
381014058.jpg| 0| Two people hanging on the building wall are washing the windows .
3810544310.jpg| 0| A little girl in glasses and little boy wearing a blue shirt are standing at a sink while the little girl is helping the little boy put soap on his hands to wash them .
