image_name| comment_number| comment
1570723692.jpg| 2| Three dogs greeting each other in a field of green grass .
1597557856.jpg| 0| A golden retriever is excitedly greeting a woman as a little dog walks towards the camera .
1799165532.jpg| 4| A woman greets a little boy .
1873155511.jpg| 2| A man is greeting a child in front of a barber shop .
2230983294.jpg| 1| An elderly woman and another younger woman greeting each other .
226653504.jpg| 2| A bride in a wedding dress , greeting her guests .
230105501.jpg| 2| The girl in a black shirt is reading a greeting card that was given to her by a friend of hers .
2354064281.jpg| 3| Two dogs greet each other in a snowy grass field .
250892549.jpg| 3| The two tan dogs greet each other in the green grass .
26217061.jpg| 2| Two men greet each other with a hug .
2710281519.jpg| 0| A young couple in the front seat of a car offer a friendly greeting to the individual who is taking the picture .
2865376471.jpg| 2| Two large dogs greet other while their owners watch .
2917465129.jpg| 3| A foreign sailor greeting people as they board a ship .
3041785224.jpg| 0| Two women in a embrace of greetings , one of them is holding flowers and they are greeting each other of a kiss .
3413244848.jpg| 1| An Asian female tennis player preps for return of volley on a greet and purple court .
3720932219.jpg| 2| A startled person is greeted by a set of interesting twins .
399212516.jpg| 2| The man in the military uniform greets children waving American flags .
4024023598.jpg| 0| A man dressed as a pirate greeting a young boy in front of a crowd while underneath a bridge .
4303790425.jpg| 0| Two horses greet a man in red pants and a black shirt , while a dog on a leash attempts to jump the fence .
4614813437.jpg| 0| There are two men on a stage with guitars greeting each other .
473113241.jpg| 1| a hotel concierge with a top hat and black coat greets at the front door of a building .
4733158624.jpg| 0| A Japanese woman with a banner with in Japanese characters looks out into the audience and raises her hand in greeting .
4762673638.jpg| 3| A man and a woman wearing old Victorian era costumes greet each other .
4788431048.jpg| 1| A man and a woman greeting each other on bikes in front of a building .
4795292403.jpg| 1| Man in wheelchair and two men pushing him greeted by monk .
4838928834.jpg| 2| An older woman is having drinks while being greeted by a small bird standing on the table .
4977952490.jpg| 0| Two black friends greet each other outside by kissing each others cheeks .
5005726260.jpg| 4| A greeting between old friends .
5519356488.jpg| 2| A clown takes the time to greet children attending a performance .
5849278148.jpg| 0| a woman in a blue shirt is about to enter a tour train with other and the tour guide greets her .
6148543097.jpg| 0| group of people walking down the street greeting the crowd .
6451734361.jpg| 1| A person in a Santa outfit is greeting children outside a building while the parents watch on .
