image_name| comment_number| comment
102575576.jpg| 0| A couple in their wedding attire stand behind a table with a wedding cake and flowers .
109741554.jpg| 0| A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place .
11245644.jpg| 0| A newlywed couple is taking a picture outside on the steps of a building while other people are walking up and down the steps .
1179086155.jpg| 0| A man , a woman and a little girl stand on the beach by the water 's edge dressed in formal attire suitable for a wedding .
1196886054.jpg| 0| A group of people , a wedding party including a bride and groom , are walking down a path lined by benches and surrounded by grass and trees .
1253275679.jpg| 0| a young boy wearing a clever black and white shirt with his head bowed down
125382282.jpg| 0| The blue SUV was completely totaled in the accident and was towed away promptly .
126824259.jpg| 3| A woman is being interviewed at her dining table .
128396207.jpg| 2| A hurried bicycler moves along a car in a busy street on an allowed bike path .
1368383637.jpg| 3| People stand inside a windowed structure .
1396064003.jpg| 0| A wakeboarder performs a flip while being towed at high speed .
1397344877.jpg| 0| Four police officers are swallowed up by the large crowd of people on the street .
1405383834.jpg| 0| Caucasian couple , both with red-hair , bride wearing a white wedding gown , groom wearing light blue shirt and silk blue tie , sharing a piece of white wedding cake with chocolate frosting .
1414570503.jpg| 0| A gathering of people is viewed under a tent listing a Northern Michigan Regional Wine & Food event .
142786312.jpg| 0| A little girl is performing her role as a flower girl in a wedding as she holds a white basket with rose petals .
1428578577.jpg| 3| Two people stand on the edge of a recently snowed on cliff .
1437408671.jpg| 2| A man and a woman get married in a wedding ceremony .
1453011588.jpg| 3| Newly wedded man and woman jump for joy on the Great Wall of China .
1538738682.jpg| 1| A child sleeps viewed through a window of a car which is cracked slightly .
161975117.jpg| 1| A choir , consisting of young people , viewed from behind .
16396193.jpg| 2| Two men grilling outside on a half mowed lawn .
170007535.jpg| 0| A man and a woman in wedding clothes in back of a limo with others of a wedding party
1748132477.jpg| 3| Two people carrying bag or red objects , followed by woman in red .
1816224182.jpg| 0| A young woman with long dark hair is followed by a costumed person with a mask and cape .
192786590.jpg| 1| A newly wedded couple pose for a picture while an unseen man fiddles with the groom 's hair .
192807051.jpg| 0| A newlywed couple , still wearing their wedding outfits , prepare to enter a car .
200767661.jpg| 0| A shirtless roofer at work is viewed through the weather vane of an adjacent building .
200778628.jpg| 0| A shirtless young boy in shorts kicks a soccer ball in dry yellowed grass beside a picnic table .
201214645.jpg| 4| A Swedish carpenter working on a shed .
2039918946.jpg| 0| A group of random people are walking around in a town that has been recently plowed .
2048850427.jpg| 0| A bride and someone from her wedding party , wearing a darker dress , are walking on the beach .
2068556363.jpg| 2| A man and woman are opening their gifts at a wedding shower .
2076428547.jpg| 1| A hiker is shadowed by the time of day near an open and tree-lined body of water .
2088460083.jpg| 3| A broken down hummer gets towed on a truck bed .
214417276.jpg| 0| A woman wearing a wedding dress , holding a bouquet of purple flowers and standing next to a man wearing a black kilt and suit jacket while standing in front of a building .
2183468990.jpg| 0| A newlywed couple kiss while they cut the wedding cake .
2199793371.jpg| 2| The pitbull returns the chewed up soccer ball in the snow .
2206501278.jpg| 0| A groomsman at a wedding is showing off hula-hooping skills in front of the cameras and the bridesmaids .
220689305.jpg| 0| A woman , viewed through a window , sits at a restaurant table and puts down a red shopping bag .
2234018985.jpg| 0| A small dog on a chain leash stands in a shadowed hallway alone .
2237153173.jpg| 0| A man in a winter coat walks along a deeply shadowed area of a sidewalk , by the broad wall of a building .
226653504.jpg| 2| A bride in a wedding dress , greeting her guests .
226659133.jpg| 3| A man in sunglasses sits with his girlfriend at a wedding .
226664962.jpg| 3| Pictures being taken of a wedding party .
226680398.jpg| 0| A man in an tuxedo and a woman in a wedding dress standing by each other holding hands with a windmill in the background .
226685261.jpg| 0| A woman in a wedding dress and a man in a suit are walking with arms linked .
226687996.jpg| 3| Woman in a wedding dress holding red flowers .
2268601066.jpg| 0| A teenager in a white shirt and gold hat with his head bowed and eyes closed .
22764427.jpg| 2| Two elderly people being interviewed by a camera crew standing near a green metallic van .
22779916.jpg| 0| guest of a wedding sitting in bleachers near a pond .
2281075738.jpg| 0| One black dog chases another on grass nearby a road that was recently snowed on .
2286235203.jpg| 0| A woman is looking down and wearing a white hair piece that looks like a wedding veil .
2288929515.jpg| 1| Viewed as a mirror reflection , a woman applies a mascara pencil to her left eye .
2317271.jpg| 1| A family gathers for a photo after a wedding where the bridal party wears red capes
2326177720.jpg| 0| A bride is being helped into her white wedding dress by one of her bridesmaids , who is wearing a red dress .
233327292.jpg| 4| Man removing garter during wedding
2334933083.jpg| 1| A woman with a bowl on her head being followed by a child walking in front of a large white wall .
2339966133.jpg| 0| Two men with suits attending a wedding , one of them is standing behind a video camera .
2353504999.jpg| 2| A wedding reception decorated in white and gold contains a diverse crowd .
2354925198.jpg| 2| A bride and groom on their wedding day with an array of guests standing behind them .
2355098740.jpg| 0| A young newlywed couple cuts their wedding cake that their reception .
2380093030.jpg| 0| A bridesmaid with a smile holding a vase and bouquet of flowers looking towards the newlyweds dancing in the lobby .
2385034500.jpg| 1| People riding mopeds on a small road being followed by a white van with streamers on it .
239175477.jpg| 0| Several young Asian guests at a seaside wedding , including two bridesmaids in pink dresses , wait in anticipation as the bride tosses her bouquet .
240101066.jpg| 1| Woman in a black skirt decorating chairs for a beach wedding .
2442648548.jpg| 0| A person wearing dungarees at the top of a wooden staircase viewed from below .
2446839286.jpg| 3| Five people jump for joy in a wedding photo .
2481116473.jpg| 2| A wedding party is ascending the steps to a building entrance .
2503996814.jpg| 3| Everyone attends a wedding of a loved one .
2524768589.jpg| 0| A group of people including a woman in a wedding dress are posing for a photograph .
2525552286.jpg| 3| A bridesmaid is toasting at a wedding .
2526989006.jpg| 0| Man and woman kissing at their wedding while crowd watches .
2538477523.jpg| 3| A girl in a dress runs followed by a man in jeans .
2539603374.jpg| 0| A bunch of people stand in wedding attire posing for a picture .
2541901399.jpg| 0| a toddler in a green and yellow jersey is being followed by a wheelchair bound woman in a red sweater past a wooden bench .
2547137089.jpg| 0| A woman in a wedding gown and a man wearing a tuxedo dance while a crowd of people looks on .
2547956926.jpg| 3| A young girl dressed for a wedding amongst the bridesmaids .
2549933281.jpg| 0| An Asian bride , wearing a white wedding dress , is holding a bouquet of flowers while her bridesmaids are standing in the background .
2550756380.jpg| 0| A woman in a white wedding dress tosses a bouquet behind her to a group ow women while people at tables look on .
2584020755.jpg| 1| A little boy is standing in front of a wedding party laughing .
2610182024.jpg| 2| Bridesmaids in green dresses holding the train of the bride 's white wedding dress .
2610182170.jpg| 3| A woman in a beautiful wedding dress .
2610183206.jpg| 3| A bride and her wedding party stand in front of a lighthouse and water .
2610183392.jpg| 2| A young couple , in wedding attire , standing at the top of a knoll .
2610183526.jpg| 4| Newlyweds gaze off into the distance .
2636930201.jpg| 2| 2 woman getting ready for a wedding one is in a wedding dress
2644719500.jpg| 0| The newlyweds cutting their wedding cake at the reception with leis around their necks .
2665586311.jpg| 0| The girl dressed in purple walks through the alley , followed by a girl in pink .
2667078298.jpg| 1| A woman in a blue dress and a man in a suit walk down the aisle together at a wedding ceremony .
2667092132.jpg| 1| A bride and groom dance at their wedding reception .
2667108760.jpg| 4| Bride eating wedding cake from her new husband 's shirt .
268654674.jpg| 0| The couple pushed the strollers across the wood bridge and the dogs followed .
2772928973.jpg| 4| Two people shaking hands next to a young woman in a wedding dress .
2773744784.jpg| 2| Two men are having a discussion after a wedding .
2773844590.jpg| 0| A bridge hugs someone while wedding guests stand in the background .
2799209740.jpg| 0| A man in a dark suit is kissing a woman in a wedding dress on a sidewalk just beyond a wall of green shrubbery .
2807437579.jpg| 1| A man kisses his bride on the forehead during their wedding .
2807437977.jpg| 0| A woman in a white wedding dress is being walked down the isle by an older man and woman while other people watch from pews .
2808286426.jpg| 2| A ring bearer carrying a rung on a pillow at a wedding .
2862481071.jpg| 0| trucks race around a racetrack , the yellow truck with the number five leads , followed by number 22 and number 29 .
2899622876.jpg| 1| A water boarder being towed down a water rail .
2908391223.jpg| 4| A wedding party laughs during the reception .
2908391335.jpg| 3| A woman and man dance on their wedding day .
2909237928.jpg| 4| A Newlywed man and women sitting by a tree .
2915389480.jpg| 1| A bride and groom cut their wedding cake with a white flower topper .
2916012955.jpg| 0| On a wooden structure before a yellowed grassland , youths open garbage bags .
293879742.jpg| 4| A dog jumping over a gate followed by another dog .
2942514377.jpg| 3| Someone being interviewed .
2954840987.jpg| 1| A wedding that is being held in a beautiful wooden church .
2955694690.jpg| 2| The man in the blue shirt is kissing a woman in front of a wedding cake .
2980982753.jpg| 0| Builders wearing orange vests , white hard hats , and black coats stand near the top of an escalator , viewed through an office window .
2992226950.jpg| 3| A man bicycling through a street , followed by a truck .
300765528.jpg| 3| A group of men and women are in wedding attire .
3016244153.jpg| 0| Person in red-checked jacket with fur collar and dark stocking cap with head bowed .
301746402.jpg| 1| A girl in a pink checkered coat walks down a hallway followed by another younger girl .
3020714541.jpg| 0| A man wearing a tuxedo is kissing his bride , who is wearing a white wedding gown .
3036261575.jpg| 3| newlywed couple is posing with their marriage certificate .
3037060954.jpg| 0| A couple is a standing together the woman is adjusting a flower on the man 's lapel and they are dressed in wedding apparel .
3037108254.jpg| 1| A man in a black tuxedo and a woman in a wedding dress pose with a bouquet of orange and red roses .
3048380686.jpg| 2| The goalie with the white jersey allowed a goal by the player on the red team .
3051598721.jpg| 2| A man in a suit and a woman in a wedding dress walk down a damp pier .
3051600747.jpg| 0| A bride and groom are kissing on a balcony or stairwell with a line of wedding participants standing behind them on the same balcony looking on .
3052435954.jpg| 1| A just married Asian couple are wearing wedding attire and leaning against a lamp post on a boardwalk .
3052436578.jpg| 0| The groom has just kiss the bride after they were pronounced man and wife , as she worn her white wedding gown carrying her white and pink bouquet , and as he worn his black tuxedo and white shirt .
3052440036.jpg| 0| A man and a woman at what looks like a wedding ceremony dancing with money attached to their clothes .
3052440932.jpg| 4| A bride and groom are playing games at a wedding reception .
3056569684.jpg| 2| Recked ambulance being towed by a large tow truck .
3088074124.jpg| 4| A scene at an Indian wedding .
3098707588.jpg| 0| Two men dressed for a wedding laugh at the camera , with beverages in hand .
3098714492.jpg| 2| A bride and groom pose with their wedding party .
3098824948.jpg| 3| A bride and groom leaving after the wedding .
3117883079.jpg| 0| During this wedding family tries to find the solution to a problem .
3159092624.jpg| 0| A smiling little boy runs on freshly mowed grass between a row of trees .
