image_name| comment_number| comment
101669240.jpg| 0| A person wearing skis looking at framed pictures set up in the snow .
1028982826.jpg| 3| Two men sitting on a bench in front of a sign with a picture of man and a lady .
1039637574.jpg| 0| A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants .
1040426962.jpg| 0| A man is cooking what appears to be green beans in a grill basket on a grill with a yellow lab standing by him while someone takes a picture from above .
1042590306.jpg| 4| A multiracial couple posing for a picture
1045521051.jpg| 4| A television with a picture of a girl on it .
104816788.jpg| 0| This little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .
1093737381.jpg| 0| A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .
1105959054.jpg| 3| A young girl painting a picture .
110671345.jpg| 0| A woman is surprised to have her picture taken on this fall day outside Spaulding 's women 's store .
111285749.jpg| 0| Five men , one wearing a white shirt standing on something , hanging up a picture of a child .
11245644.jpg| 0| A newlywed couple is taking a picture outside on the steps of a building while other people are walking up and down the steps .
1141644104.jpg| 3| Blond-haired couple posing for picture .
114722877.jpg| 0| a man wearing a blue shirt , standing on the railroad is taking picture of the bridge .
115018808.jpg| 0| A man jogs down a city street , with a line attached to his back that vanishes out of the left side of the picture ; a smiling cyclist rides past .
115275671.jpg| 1| A man in a hat and coat is holding a pitchfork and posing for a picture .
115275821.jpg| 0| A man and dog concentrating on a camera taking their picture in the street .
115452730.jpg| 0| A woman with a small child in her lap reading a picture book .
116569042.jpg| 2| A blurry picture of a man in a blue shirt and hard hat .
1167662968.jpg| 0| closeup picture of a man with a nose ring and a brown shirt
1170586898.jpg| 1| man in orange shorts builds a sand castle , combining multiple pictures into one resulting in four copies of him .
1181708011.jpg| 2| A woman uses a drill while another man takes her picture .
1187077747.jpg| 0| This picture of a man reading is tilted .
1207159468.jpg| 2| A boy poses for a picture and in the background a man is hanging by a rope .
1213336750.jpg| 0| A man takes a picture of another man in an open area just off of a busy street .
1218091024.jpg| 2| Two men are taking pictures while standing beside an automobile .
1231348815.jpg| 3| An Asian man posing in front of a cart hes pulling for a picture .
1232148178.jpg| 3| A young boy poses for a picture in front of a playground .
1234206849.jpg| 0| Two women donning hats adorned with flowers pose for a picture .
1235580648.jpg| 4| The hatted males pose for a picture .
1239262721.jpg| 4| A female drawing a picture on the ground .
1242603438.jpg| 1| In this picture we have about 11 girls posing for a picture in a pool .
1244306891.jpg| 0| A group of friends smile for a picture at the beach .
124881487.jpg| 0| Blurry picture of mountain biker descending rocky trail .
125319704.jpg| 1| Two bicyclists pose by a stream for a picture .
126238618.jpg| 0| Man dressed in coat , scarf , and hat painting a picture of a building on an easel in the streets .
12637806.jpg| 1| A man on a cellphone stands outside of a building with pictures of women in black shirts behind him .
12770842.jpg| 0| People sit in a crowded stadium watching some sort of event - there is a woman with red-hair in the foreground and in the bottom left corner two people stare directly at the picture taker .
129474628.jpg| 1| Someone took a blurred picture of a pizzeria restaurant .
1295671216.jpg| 1| A crowd of people are standing together on a sidewalk , while one man is taking a picture .
1295698260.jpg| 1| A crowd of people look at something out of frame , one man takes a picture .
129790261.jpg| 0| One guy wearing a blue shirt and a cowboy hat is painting a picture , as tourists in the background walk .
1299923168.jpg| 0| This picture is taken outside a bus with people of Asian descent riding along with open windows .
130211457.jpg| 2| A man has his arms around two women who are posing for a picture with him .
1306824952.jpg| 0| One adult and three children gathered on the floor looking at a picture on a digital camera .
131114016.jpg| 2| Here is a picture of a young boy crying inside a playhouse .
1312440023.jpg| 0| Young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .
1313987366.jpg| 2| These two women are having fun while taking pictures .
1316458112.jpg| 4| Two men not looking at pictures .
1318029076.jpg| 0| A child in white briefs is pictured jumping in midair above the water of a rive , with trees in the background .
1329832826.jpg| 0| This is a picture of a Broadway Rite Aid Pharmacy that has a bright neon sign and people are prepared to cross the street in front of it .
13341510.jpg| 1| A breakdancer in red and black is pictured while in the middle of a complex move .
133868556.jpg| 0| This picture is of a young girl practicing gymnastics in a gym .
134201079.jpg| 0| A man wearing a Get A Job t-shirt takes a picture of the camera holder with a bright yellow camera while also holding a photo in his left hand .
1347519824.jpg| 0| Two woman wearing statue of liberty hats get their picture taken in a subway .
1359765497.jpg| 0| A man in a security vest is smiling for the picture .
1368512916.jpg| 3| A woman poses for an old-fashioned picture .
137430875.jpg| 0| A group of people posing for a picture in front of a tree and building .
137431037.jpg| 0| Three different people , all wearing light colored tops and dark pants , are taking pictures with their cameras .
137444523.jpg| 0| A man in a green shirt and backpack is standing under cover along with a woman behind him taking a picture .
1385492203.jpg| 1| A group of friends stand in front of art they have sprayed for a picture .
1386973587.jpg| 0| A man in a brown shirt and tan shorts is taking a picture of a napkin as he sits on blanket .
1394756978.jpg| 0| A city sidewalk scene consisting of two men with dreadlocks sitting on the ground , a punk rocker holding books , a woman with a camera walking away , and a man wearing a long coat , scarf , hat , and sunglasses looking away from the picture .
1401351228.jpg| 4| People looking at pictures on a display .
1402489103.jpg| 1| A woman in a formal suit takes pictures as the crowd waits patiently for unfolding events .
1409001204.jpg| 1| The youthfully dressed man takes a picture of himself as he jumps in the air and spilling his coffee .
141213544.jpg| 4| A picture of some people and a baby in a store .
14153510.jpg| 2| A group of runners and walkers posing together for a picture .
142258955.jpg| 0| A man is working on the wheel area of a black mercedes while another man is standing and taking a picture of something that is in front of the car .
1428578577.jpg| 1| Two people pose for a picture amidst a snowy , rocky landscape .
1449692616.jpg| 1| A girl takes a picture with her hand over the camera lens .
1450150621.jpg| 4| Two people posing for a picture .
1454841725.jpg| 2| Four young girls pose for a picture at school
148407193.jpg| 1| A woman paints a picture of a large building which can be seen in the background .
1487016591.jpg| 0| Here is a picture of a band performing living at a concert .
150582765.jpg| 1| Woman with red curly hair taking pictures outside .
1509542787.jpg| 3| People on a concrete area taking pictures .
1510669311.jpg| 3| A group of partying girls gather for a picture .
151215569.jpg| 3| A blond girl with braids taking pictures in a crowd .
1512770347.jpg| 0| A woman with a hammer watches as a man levels a picture of a tree being hung on the wall .
15305247.jpg| 3| A woman drawing a picture of two children .
1539166395.jpg| 1| A young girl with curly hair with a white shirt with a skull and bones picture on it .
154656621.jpg| 4| three men posing for a picture .
1547575241.jpg| 3| Here is a picture of a people in a sports stadium .
155515294.jpg| 0| A man is shaving his face in the mirror while a girl stands behind him and takes a picture .
1568700473.jpg| 0| A young boy with a red hat is taking a picture with a high-end camera .
1568723169.jpg| 0| A child wearing bluish baggy shorts and shirt with a striped baseball hat , taking a picture with a camera placed on tripod stand in a grassy mountainous region .
1569687608.jpg| 3| Two little girls on a boat pose for a picture together .
1571528274.jpg| 0| A group of people in what appears to be traditional Scottish clothing are pictured midair during some kind of dance .
157192048.jpg| 3| A man takes a picture of someone on the sidewalk dressed in a silver costume .
1577632685.jpg| 0| The picture is of a downtown area with people crossing the street , and walking on the sidewalk .
157912479.jpg| 0| A man in blue shirt pausing to have his picture taken finishing his barbecue meal .
15965185.jpg| 1| Group of men sitting at a table turn to have their picture taken .
1596758323.jpg| 3| Two women in white dresses are walking past a picture of people golfing .
160128865.jpg| 0| There are two men here at the center of the picture wearing red tie dye shirts and metal helmets topped with lit burners .
1614698671.jpg| 0| A picture of different kinds of donuts on display with a man wearing a bandanna and a red shirt working in the background .
1616016569.jpg| 1| A man and his female partner smile for a picture .
1616220830.jpg| 0| A man with white shirt and blue jeans pushing a truck with a picture of a woman Edwards saying real colors never dye
161948711.jpg| 0| Over a dozen people surrounding and taking pictures of two people in all covered head to toe in all silver , in an artistic pose .
1634058639.jpg| 1| Here is a picture of a woman getting helped by a man in climbing a tree .
1680409989.jpg| 1| A lady in a purple shirt is painting a picture of a person on a curved wall .
1681253990.jpg| 0| A girl is outside painting a picture of a lady on the side of the wall using chalk
170525554.jpg| 1| Two photographers in a crowd are taking pictures in different directions .
171211612.jpg| 2| A snorkeler is under the water taking a picture .
1717077532.jpg| 0| A young woman and older woman wear traditional saris as they spin textiles , three people are pictured at only the waists , and wear modern clothes .
174487818.jpg| 1| A few tourists taking pictures of their dogs with the cloudy sky as the background .
1783147941.jpg| 0| The picture is of a woman competing in a race doing the backstroke .
179009558.jpg| 0| A child in a red sweatshirt , jeans , and black bike helmet and a dog pose for a picture outdoors .
179214616.jpg| 2| A man gets his picture snapped while explaining about his recent computer purchase .
1794856976.jpg| 0| A man walks along a sidewalk outside of a record shop while a person sits nearby taking pictures .
1799256185.jpg| 1| A man in a purplish colored top , gray hair and glasses seems to be the center of this picture .
1802092493.jpg| 3| Four young children pose in formally for an informal picture .
180312736.jpg| 1| A baby in a ball pit and a toddler playing near the feet of the person taking the picture .
180476372.jpg| 2| A picture of people walking in the street in front of shops .
1809476783.jpg| 1| The Happy bride and groom waited for the photographer to take their picture .
182396080.jpg| 4| A clown is smiling for a picture during a parade .
18284727.jpg| 0| A woman paints a picture with two of the same picture on the wall in front of her .
1850910604.jpg| 0| A young girl , wearing a red shirt and with an animal painted face , painting her own picture .
186346360.jpg| 0| A girl in a bikini top and shorts poses for a picture on a mountain overlooking a lake .
