image_name| comment_number| comment
1002674143.jpg| 1| A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
104669470.jpg| 0| A woman with flowers in her hair balances a large bowl of assorted fruits on her head .
1056198351.jpg| 0| A smiling little boy holds a hand mixer in a bowl .
1068427675.jpg| 0| A man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .
1082250005.jpg| 3| A woman holding a bowl of food in a kitchen .
117956563.jpg| 0| Restaurant workers smile as they take a break , gathered around a huge copper bowl in the kitchen .
1186391461.jpg| 0| Colored woman rolling a bowling ball down an alley .
12142391.jpg| 3| man wearing bowler hat and red flannel shirt holding juggling pins
12252043.jpg| 0| Four young Asian boys hold bowls and chopsticks as they stand around a barbecue .
124106477.jpg| 0| A woman in a brown shirt is about to release a blue bowling ball into the aisle .
126438084.jpg| 4| A man in a white tank top is sitting among bowls of vegetables .
129602216.jpg| 1| A man in a red sweater sitting at a table with plates , bowls and glasses of water on it .
131122346.jpg| 0| Four men and women in blue aprons strand in front of a table where there are many white plates and small blue bowls .
13301546.jpg| 0| A man wearing jeans swings back his arm in preparation to release the bowling ball down the lane .
1334737240.jpg| 0| A man in an orange shirt smears something in a large white bowl .
1348517063.jpg| 0| A woman in a black shirt , jean shorts and white tennis shoes is bowling .
1348517311.jpg| 0| A person about in the middle of throwing a green bowling ball down a bowling lane .
135200870.jpg| 0| A young girl standing next to a bowl holding an egg .
136581487.jpg| 0| A toddler grasping the handle of a tool to stir food in a bowl along with another person whose arms are seen holding the bowl and tool .
1390654687.jpg| 0| An older gentleman dressed completely in white is eating from a white bowl while sitting in a large overstuffed chair .
1415147666.jpg| 2| An older lady in a black shirt is adding ingredients to a KitchenAid mixing bowl as a crowd looks on .
14264287.jpg| 0| A young boy with flour on his nose and cheeks is dressed in overalls and an apron has his hands in a bowl while he smiles for the camera .
1434128388.jpg| 1| A man in a gray T-shirt is zesting lemons into a turquoise-and-olive-green bowl .
1434151732.jpg| 0| An asian woman eating something from a tiny bowl .
1472653060.jpg| 2| A man is cutting up food to put in bowls of food at a food court .
1576185717.jpg| 0| a girl in a red top bowls a cricket ball at a boy in a yellow shirt who is in front of the wicket holding a bat .
158982617.jpg| 0| A man , which is in his kitchen , beats a batter inside a bowl beside empty pans and a spatula .
15950702.jpg| 1| The lady is licking chocolate mix from a bowl .
166779879.jpg| 1| A family and friends sit to eat at a table filled with many bowls of great food .
174217492.jpg| 0| A man with a blue and yellow bowler hat on is speaking into a headset microphone , while holding a rope .
17744613.jpg| 0| A man in a black shirt is playing bowling where the pins are replaced with spray paint cans and there is a graffiti filled wall in the background .
1864566210.jpg| 0| A pregnant woman and a man eating out of a bowl sit across a metal table with red chairs .
195084264.jpg| 0| A man in a checked shirt stands next to a large wooden bowl .
1961696686.jpg| 0| A woman in a green shirt is getting ready to throw her bowling ball down the lane in a bowling alley .
19786858.jpg| 1| A group of children , riding bikes , wait on the edge of a skateboarding bowl , while a woman in a white shirt pushes a child in a stroller and a man in a woman sit in brown lawn chairs .
2029546318.jpg| 0| An asian man in a camouflage jacket and another in a black jacket are filleting a fish on top of a bowl in a stainless steel tub .
2034553054.jpg| 0| A child in period costume looking at a table with a bowl , cup , and a basket of apples .
2057257964.jpg| 0| A man is preparing two bowls of a yellow food with white in the center .
2126242287.jpg| 0| A smiling young man with glasses and wearing a t-shirt sits at a table eating what appears to be a salad , with a red bowl of salad , a drink , and other food nearby .
2146530566.jpg| 0| A man takes salad out of a bowl while he sits at a table with other plates , a woman , a glass of wine , and a decorative curtain behind him .
2158625230.jpg| 0| Blond man with chin-length hair is staring at the camera , while the man in the black cap is looking down and scooping something in a bowl .
2203224077.jpg| 0| With a cellphone off to the side , a young white girl is eating cereal from a white bowl on a white table in the kitchen .
221062338.jpg| 1| A gathering of people around two long tables set with different colored bowls and plates .
2228619706.jpg| 0| A child at the bowling alley throwing a small orange ball down the isle with another child in the background .
2241328814.jpg| 1| A man in an apron stands in a kitchen working an industrial mixing bowl .
225157506.jpg| 0| A young girl in pink pants is holding a bowl of grass on her head and standing in front of a blue wall .
2254100058.jpg| 1| One kid holding a bowl while another kid sprays water into it .
2270097521.jpg| 3| Children feeding Sun Conure fruit from a bowl .
227701311.jpg| 3| A man in a bowler hat sitting next to a speaker and a figure playing a saxophone .
2285664.jpg| 1| A guy is juggling bowling pins on the sidewalk while three young boys watch .
2304191667.jpg| 3| A man using a mixing bowl as two young children look on .
2306799249.jpg| 0| A young man standing on one foot in colorful bowling shoes after throwing the ball .
2334774767.jpg| 0| A man dressed in black is bowling in an attempt to knock down the last pin at a bowling alley .
2334933083.jpg| 0| A person wearing a striped skirt and head covering is walking with a bowl on her head while a child follows behind .
2341254813.jpg| 0| a boy in a green shirt is jumping with his arms in the air at the end of a bowling alley .
2344969116.jpg| 4| two young male kids carrying black bowls .
2419186511.jpg| 0| A little baby is taking a bath in a large Tupperware bowl filled with water .
