image_name| comment_number| comment
"101001624.jpg| 0| The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood ."
101654506.jpg| 0| The white and brown dog is running over the surface of the snow .
101669240.jpg| 0| A person wearing skis looking at framed pictures set up in the snow .
1021293940.jpg| 0| Two men are hiking in a forest where snow is partially covering the ground .
102351840.jpg| 1| A person in the snow drilling a hole in the ice .
102520526.jpg| 0| A man in black attire shovels snow into the street , disregarding all public safety .
102617084.jpg| 0| Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .
103205630.jpg| 1| Two men are about to enter an ice fishing tent on a snow covered lake .
1043819504.jpg| 0| A group of 11 people in winter wear such as beanies , skiing jackets , gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them .
106514190.jpg| 0| A skier is overlooking the beautiful white snow covered landscape .
108149945.jpg| 0| Two men shoveling snow off a railroad track dressed in bright orange snowsuits .
108898978.jpg| 3| Two men are skiing in the snow in a wooded area .
108899015.jpg| 1| Skiiers at the top of a snow covered hill .
109202756.jpg| 0| A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
109202801.jpg| 1| Two horses pull a carriage driven by a woman over snow covered ground .
1094462889.jpg| 0| A brown dog plays in a deep pile of snow .
109738763.jpg| 0| A snowmobile rider flies through the air on his or her machine in front of tall pine trees .
109738916.jpg| 0| Two helmeted men sit on yellow snowmobiles while another man stands behind watching .
109741554.jpg| 0| A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place .
112178718.jpg| 0| Man is standing on white sand and holding a snowboard .
1131800850.jpg| 1| A brown and white dog stands outside while it snows .
113678030.jpg| 0| A snowboarder sits on a slope with skiers and boarders nearby .
115684808.jpg| 0| Three people are standing in the snow preparing an ice fishing boat .
116409198.jpg| 0| A mountaineer sits in the snow in front of a yellow tent under clear blue sky .
1190083977.jpg| 0| A young boy , wearing shorts and a red tank top , is sliding down a mountain of snow , riding a board on his belly .
1193547352.jpg| 0| Two climbers attempting to climb a steep , snow-covered peak , nearing the top , where two other climbers await them .
122156386.jpg| 0| People in black coats walk slowly through deep snow to approach a bridge in winter .
1263801010.jpg| 0| A person in a red and black ski outfit is looking over a snowy , mountainous landscape .
127450902.jpg| 1| Beautiful snowy landscape with people treading through the snow .
1287064529.jpg| 1| A dog wearing a blue harness stands in the snow and pants .
128706814.jpg| 1| A woman with a chinese hat on leaning on the wall standing behind a cut out of snow white in front of some store windows .
1287073593.jpg| 0| Five sled dogs are pulling a person on a sled , through the snow .
1287920676.jpg| 4| A snow dog in a red harness .
1287931016.jpg| 0| Two dogs , one black and one white , face the camera in a field of snow .
1312227131.jpg| 0| A group of dogs is pulling a sled over snow as the sun sets .
1338523142.jpg| 2| Hiker climbing down a snow and rock covered mountain .
133905560.jpg| 0| One dog climbing on the back of another dog in the snow .
1358089136.jpg| 0| A young man in shorts and t-shirt is snowboarding under a bright blue sky .
1383698008.jpg| 0| a snowboarder wearing green pants doing a trick on a high bench
1397923690.jpg| 0| A man is carefully skiing down a snow covered hill wearing a backpack .
1428578577.jpg| 0| Two people standing on top of a rock in the middle of snow and cloud .
146019208.jpg| 0| Two men on a snowy and rocky mountainside cook a meal while their teammates sit a little way away .
1472053993.jpg| 1| A skier in a red jacket and yellow backpack skis down a snow slope .
1472882567.jpg| 0| four skiers climbing snow drapped mountain .
