image_name| comment_number| comment
10637120.jpg| 0| A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .
106372282.jpg| 0| A man sitting down with this head resting on his fists next to a man with his eyes closed and his together with dough sitting on a table in front of them both .
1084040636.jpg| 1| A closeup of a white dog that is laying its head on its paws .
1094671386.jpg| 2| A woman wearing a white t-shirt has her right arm extended with her fist closed .
1099034049.jpg| 2| A young woman , sitting in the sand , has her eyes closed .
1110208841.jpg| 3| An agile dog catches a Frisbee while a crowd of onlookers watches closely .
1118168796.jpg| 3| A man under the black hood of a camera , standing close to vehicles and an RV .
1124448967.jpg| 2| A shirtless man in a white cap relaxes in a deck chair , close to three parked bicycles .
11391827.jpg| 2| A man in a brown shirt prepares to close the door .
1167662968.jpg| 0| closeup picture of a man with a nose ring and a brown shirt
1211015912.jpg| 0| a girl in yellow dress is standing with her eyes closed in a busy park .
1215804065.jpg| 3| A person soars in a parachute close to a beach .
1232148178.jpg| 1| A closeup of a child on a playground with adult supervision .
123866385.jpg| 2| A closeup of a person walking across the street .
1248734482.jpg| 1| A closeup of a young girl with a pink shirt laying on grass .
1279422342.jpg| 0| A boy wearing a blue shirt is outdoors and is closely examining a found object with yellow tentacles pointing upwards .
1294940311.jpg| 1| A closeup of a woman drinking something with a green straw .
1316247213.jpg| 3| The little girl smiles at the camera with her eyes closed .
135992929.jpg| 0| A woman with red-hair and a black shirt has her eyes closed and a mirror behind her .
1364148789.jpg| 3| A man in a blue shirt is standing close to a construction area .
1410849159.jpg| 3| A closeup of a man holding his hands up in the air .
141559699.jpg| 0| A little girl playing with a knob on a closet in a room and a little boy jumping on someone on a bed .
1424237335.jpg| 3| Two children hang from a metal bar close to the ground .
1425485485.jpg| 1| A girl with her eyes closed is touching a boy 's cheeks .
1427822472.jpg| 0| A man in a suit and dirty dress-shoes is lying on the street on pieces of cardboard with his eyes closed .
1429561783.jpg| 1| A couple stand close together observing the sun setting .
1463732130.jpg| 3| A young girl jumping on an enclosed trampoline
1463732807.jpg| 0| Boy in green shirt sitting in swing with eyes closed and making gesture with hands .
1478294229.jpg| 3| A closeup of a bicycle rider 's leg .
1480467399.jpg| 0| A young woman is laying in the grass with her eyes closed .
149934002.jpg| 2| Five cowboys are sitting on horses inside an enclosed space .
