image_name| comment_number| comment
1051290485.jpg| 0| Two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .
106039369.jpg| 0| One man wearing a white shirt is flipping a pancake by flinging it into the air .
1089354362.jpg| 0| A girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .
1099434461.jpg| 2| A man 's hand is shown helping a spatula to flip a pancake from a square frying pan in a messy kitchen .
1101291373.jpg| 2| A bald man in flip-flops sits on a green bench and talks on a cellphone .
114715590.jpg| 3| A person doing a skateboard flip next to a black trashcan .
114939325.jpg| 0| A girl wearing flip-flop sandals swinging on a swing set in a park underneath fluffy white clouds .
1159381599.jpg| 0| Person in a brown sweatshirt does a flip in midair over a trampoline with a river and electrical lines in the background .
1163282319.jpg| 2| A young girl wearing yellow flip-flops is sitting on a large boulder .
122634567.jpg| 0| A man wearing glasses holds a flip phone in his hand while a woman wearing earrings stands behind him .
1236964638.jpg| 0| Child flips off pool diving board , man and another tumbling child at poolside .
1239262721.jpg| 0| A blond woman waring a straw hat , black halter top , gray shorts and black flip-flops sitting on the ground drawing on the sidewalk .
1262808368.jpg| 1| A woman in blue wearing flip-flops touches a passing car while walking beside a young man in a green striped shirt .
1280147517.jpg| 0| A waterskiing man does a flip behind a speedboat .
128479785.jpg| 1| A young girl wearing a blue helmet and flip-flops is sitting on a red four-wheeler .
1296740217.jpg| 1| A boy in swim trunks does a backflip into the ocean while mountains show through the fog behind him .
1328411383.jpg| 0| There is a man in shorts and sandals and a woman in blue jean shorts and flip-flops out walking together .
1330981138.jpg| 1| Man in a red shirt trying to flip food in a frying pan .
1353009866.jpg| 0| A cat sitting next to a person who has black pants and pink flip-flops on .
137231942.jpg| 4| A young tattooed man in shorts and flip-flops on a cellphone .
1396064003.jpg| 0| A wakeboarder performs a flip while being towed at high speed .
1425069590.jpg| 0| A small girl dressed in yellow wearing flip-flops climbing onto red playground equipment .
1433924222.jpg| 0| Street performer does a flip for a crowd in neon yellow pants .
1493598687.jpg| 1| A young man flips up a welders ' mask as a young girl looks on , a six-pack , barbecue , and chalk message in the background .
1507563902.jpg| 2| a child is doing a back flip whilst jumping on a trampoline .
181967064.jpg| 1| An older gentleman , wearing a t-shirt and shorts , is flipping burgers on a large stainless steel gas grill .
1925066432.jpg| 0| A brown-haired woman wearing glasses , a black long-sleeved shirt and pin striped pants flipping through a book and smiling as a blond woman wearing a white sweatshirt and a white shoulder bag on her right shoulder watches smiling .
1957701886.jpg| 1| A blond-haired woman walks a dog down the street in flip-flops .
