image_name| comment_number| comment
10002456.jpg| 0| Several men in hard hats are operating a giant pulley system .
109202801.jpg| 0| Two golden brown horses pull a sleigh driven by a woman in a blue coat .
1096305461.jpg| 0| A Little boy in a red striped shirt on a blue couch pulling out all the pillows .
1141739219.jpg| 1| A very colorful bus is pulled off to the side of the road as its passengers load .
1149179852.jpg| 0| A man without a shirt on is guiding a large brown horse pulling a green and yellow wagon .
1163297375.jpg| 1| A girl wearing a striped shirt , plaid shorts , and a baseball hat is on a bike , pulling a man in a red cart with a black top .
1167669558.jpg| 0| The man in the yellow t-shirt is pulling a large grin on his face .
1190951807.jpg| 0| A man wearing an orange construction hat wipes his face , while another man in an orange construction hat hoists something up on a chain pulley , while standing in front of some fire .
"1231348815.jpg| 0| A rickshaw puller in an Asian country smiling and making a "" thumbs up "" sign at the photographer ."
1255846277.jpg| 0| A big green tractor pulls a red attachment along a weeded area .
1269844288.jpg| 2| A woman pulling up her socks underneath her gum boots .
12736326.jpg| 0| Blond-haired woman pulling apart a watermelon , sitting atop a marble table .
1280320287.jpg| 0| A man is pulled behind a boat on a knee board while another doing the same begins to fall .
128452798.jpg| 0| A kid is pulling a man trying to get him to do something in front of a crowd of people .
1287064529.jpg| 3| A husky dog wearing the gear to pull a sled .
1287073593.jpg| 0| Five sled dogs are pulling a person on a sled , through the snow .
129462636.jpg| 3| A woman pulls a dog through a door .
129846884.jpg| 1| A boy pulling a red ride-on toy car on a grass field .
131090759.jpg| 0| A man selling many wicker chairs is pulling a cart of them through the street .
1312227131.jpg| 0| A group of dogs is pulling a sled over snow as the sun sets .
1352398363.jpg| 2| A young boy in a pullup is covered in marker ink .
136310496.jpg| 1| two animals yoked together pulling a plow , with a man behind them .
137861003.jpg| 1| A horse walking by the side of the water pulling something .
1394599090.jpg| 1| A frightened little boy being pulled up and out of a pool by his father .
1394673080.jpg| 3| Mimes trying to pull one another .
140738818.jpg| 2| A baby manages to pull himself to his feet with the help of a couch .
1418503947.jpg| 1| A man in an orange hat pulls a cigarette out of a box .
1446933195.jpg| 1| A young brown puppy pulls a leafy branch in his teeth in a backyard .
1450150621.jpg| 0| A man wearing a blue collar shirt with pull-overs and a woman in a white shirt wearing a straw hat .
1457898867.jpg| 1| Local African boy doing his daily work guiding the animals that are pulling a cart .
1466307485.jpg| 0| A man in an orange vest trying to pull a vehicle which is attached to another vehicle out of a rocky area .
1466307489.jpg| 0| Three man in hi viz jackets are pulling attempting to pull a trapped four wheel drive car from a ditch .
1469107065.jpg| 3| A man driving a tractor pulls along two young children for a ride .
1474240647.jpg| 0| There is a man behind a white minivan , police car driving down the street as a white car pulls onto the street .
151970521.jpg| 2| An old woman is sitting on a bench , while behind her a limo pulls up and two people in white are walking by .
1558872760.jpg| 0| A man in a pullover sweater is smiling as he holds a violin .
1581304802.jpg| 1| A policeman on a motorcycle is stopped behind a car he pulled over .
1594038143.jpg| 1| A young boy in a blue jacket pulls something black out of a fabric bag .
1595300147.jpg| 0| A man wearing a blue shirt and red hat riding on the back of a cart filled with hay and pulled by a white horse .
1714316707.jpg| 0| Child standing in a snowy landscape pulling down a snow-covered tree branch .
17186135.jpg| 0| a man with long hair pulled into a ponytail and thick framed black glasses stands at a stove stirring a pot of boiling water .
1788886557.jpg| 0| A woman in black stand in a train station as a train pulls up on the other side .
1795151944.jpg| 0| Six huskies are pulling a three wheeled vehicle through the grass .
179686172.jpg| 0| Everyone is looking at the man who is trying to pull something up with a stick .
179829865.jpg| 0| a waterskier wearing a red life jacket is holding the line waiting to be pulled up in the water .
1809476783.jpg| 0| A man in a suit stands next to a white carriage pulled by two white horses while a bride sits inside .
181157221.jpg| 0| Two dogs try to reach each other as their human companions pull them in opposite directions by their leashes .
1827560917.jpg| 0| A dog with a few leashes and a vest on pulls at something with its mouth .
185006469.jpg| 1| Good Samaritan pulling an extremely drunken man out of the street onto the sidewalk to avoid him from being run over .
189022647.jpg| 3| A woman in a blue outfit pulls a cat off the roof of a car .
1937262236.jpg| 0| Two dogs both pull on the same orange ball while playing in the sand .
