image_name| comment_number| comment
1034276567.jpg| 4| A child biting into a baked good .
106372282.jpg| 1| At the bakery , the fat old baker sleeps while his apprentice rubs the flour out of his eyes , seated beside him .
117956563.jpg| 1| Two bakery employees wearing red aprons are preparing food .
1187252153.jpg| 2| A blond man shows off his freshly baked bread with a wide smile .
1296144016.jpg| 0| A baker looks at the camera while leaning on his spatula at the oven door .
132099100.jpg| 0| Two young women examine the wares at a well-stocked outdoor bakery booth under a yellow umbrella .
1338243125.jpg| 2| Two workers work in an industrial bakery .
1370293802.jpg| 2| A skinny baker retrieving fresh bread from the oven .
1448065625.jpg| 1| A woman is showing off a fresh baked pie by holding it over her head .
1944940887.jpg| 0| Two men sitting down and wrapping baked goods in plastic wrap .
2057257734.jpg| 2| Two guys are sitting at a table with a bake chicken .
2072268965.jpg| 2| A husband and wife preparing to bake an apple pie .
2241328814.jpg| 4| The baker is working on machine .
2260537673.jpg| 2| A man and his dog are dressed up in colorful costumes in the street in front of a bakery .
228447922.jpg| 1| A man in a white shirt showing a young boy how to make bread in a bakery .
2338798208.jpg| 0| Three young women embrace while displaying baked goods in kitchen .
2399665042.jpg| 3| Two boys leaning against a car , with baked goods on a tray on one boy 's head .
2552419863.jpg| 2| A baker is making food at a kitchen counter .
2599100984.jpg| 0| A female chef examining her freshly baked bread , in what appears to be a kitchen .
2715746315.jpg| 0| a man wearing a red hat and blue top carries a tray on his head filled with some sort of baked goods .
278002800.jpg| 2| A man in black is eating a baked good near two elderly men .
3015273947.jpg| 2| It seems like this man is preparing to bake something .
3202213467.jpg| 1| An elderly woman rolls out and bakes flat breads in a small kitchen corner .
3203897487.jpg| 1| A man wearing a jacket places cookie dough on a sheet to be baked .
333214858.jpg| 1| A man with dark hair and a white t-shirt is baking bread in a bakery setting .
3497256800.jpg| 0| Oriental looking young man in bakers outfit looks like he is selling his wares to young children .
3510402371.jpg| 0| A lady standing near the counter of a bakery smiling at the camera .
3611603026.jpg| 0| A girl in a short dress carrying a silver purse looks at food in a bakery .
3830027232.jpg| 2| Two people selling baked goods at a booth .
3938498023.jpg| 2| A baker lines up his pretzel racks as he prepares to board them on the back of the truck .
3959371388.jpg| 1| A man on a mobile device standing outside a cafe and bakery .
4003793942.jpg| 0| People marching down a street playing band instruments , a man in foreground is dressed like a baker .
4039390335.jpg| 4| Street vendors sell baked goods .
4107496324.jpg| 2| A chef seasoning newly baked popcorn by the window .
4166168198.jpg| 0| A woman in an apron standing in front of shelves of bread in a bakery .
4169592656.jpg| 1| Two children are enjoying baked goods while sitting in chairs next to one another .
428093901.jpg| 0| A young woman in a print and black colored top is utilizing flour and other ingredients to bake in the kitchen .
4324933848.jpg| 2| A little kid is admiring the display in a bakery shop .
4354222843.jpg| 0| A male baker dressed from head to toe in white cotton clothing rolls out a giant sheet of dough .
4355004642.jpg| 1| A surly man pulls a piece of freshly baked bread from a stone oven .
4410008455.jpg| 0| A man in a beret and a woman in a pink coat visit a woman selling baked goods from her tent .
442987551.jpg| 4| A little toddler learning how to bake .
4497207612.jpg| 2| A woman looking into the window of a French bakery .
4506868550.jpg| 4| A man in a brown cloak looks at baked goods .
4614953559.jpg| 2| A baker in a blue shirt is preparing the bread .
4643831103.jpg| 3| A master chef bakes in front of his student .
464998457.jpg| 1| A baker that is surrounded by several pastries and holding a white box to put them into .
4652063424.jpg| 2| The chef is taking a baked item from the oven .
4718120804.jpg| 1| People trying out foods from a local bakery at a local potluck .
4718157654.jpg| 3| Two women buying baked goods from a man at a market .
4725674022.jpg| 1| The preparation and bakery areas of a commercial retail bagel shop .
479545053.jpg| 0| A man reads inside of an Asian bakery , and another man is working behind him .
4809578695.jpg| 0| A little girl in pink shirt looking at the camera while helping the woman in blue shirt bake .
4825459857.jpg| 4| An Asian man pushing crates of baked goods .
4963075437.jpg| 2| A woman in a white sleeveless t-shirt is ordering food at a bakery .
5218106811.jpg| 0| Three man around a wheeled cart with baked goods while a man with a cane walks away .
5476674072.jpg| 0| Two men in a bakery , one in a black cap and one in a white cap , are rolling dough out on a wooden table .
5483599902.jpg| 2| A man wearing a Pabst hat is selling baked goods in a market .
5645857612.jpg| 4| An older woman rolling out dough to bake with .
5897266539.jpg| 3| A pastry chef preparing some baked goods .
6175408029.jpg| 2| A male is working in a bakery shop is taking out the pastries .
6888801884.jpg| 1| Two men , one wearing a blue shirt and the other wearing a red and blue striped shirt , are flattening out pita bread and laying it in the sun to bake .
6917402231.jpg| 4| Someone is cracking an egg so they can bake .
7088933987.jpg| 2| A woman working in a bakery is showing the camera the bread they sell .
7445213794.jpg| 2| A man is lifting cookies off of a baking sheet at a bakery .
7702108102.jpg| 1| A woman wearing an apron and plastic gloves is lifting the lid off of a baked good .
