image_name| comment_number| comment
10010052.jpg| 0| A girl is on rollerskates talking on her cellphone standing in a parking lot .
1003420127.jpg| 3| People gathered in a room to talk about their favorite tunes .
1010031975.jpg| 1| small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking .
1010470346.jpg| 1| A man leans into a car to talk to the driver , as a man on a bicycle looks on .
1028982826.jpg| 2| Two men sitting on a bench talking , with a billboard advertisement for glasses in the background .
1051290485.jpg| 1| Two women squatting on the sidewalk looking at plants , one in black shirt , shorts and pink sandals , the other in a white shirt , black shorts talking on a cellphone .
105335409.jpg| 0| Man talking on a microphone and a crowd of people in front of him .
1056415186.jpg| 1| Two women are sitting and talking and laughing together .
1061467336.jpg| 4| Four on-duty firemen talk in front of a firetruck .
1063866640.jpg| 0| Four men are sitting near a tree talking while another stands looking at a body of water and another is rowing a boat .
1071201387.jpg| 2| A man and woman talking are interrupted and a man covers his face .
1073444492.jpg| 0| A guy sitting at a desk talking on a phone with books laying everywhere .
1096800382.jpg| 1| A man in a black shirt talking to a woman in a black shirt in a yellow room .
109770830.jpg| 0| Two buildings beyond a concrete wall facing a walkway with a woman talking on a cellphone .
1101291373.jpg| 0| A man in sandals and white cardigan sits on a green bench while talking on his cellphone .
111061041.jpg| 0| Two men in a tennis court in a city are standing on either side of the net talking to each other .
111419142.jpg| 4| A gathering of people drinking beer and talking
1126403094.jpg| 1| An older woman smiles on as two pink-haired women talk .
1126450961.jpg| 0| A man in a business suit talking on the phone and carrying a briefcase walking by a mirrored building .
1144885633.jpg| 0| Three young men read the plaque on a wooden cross in a rocky landscape , one young man is talking on his cellphone .
1145781754.jpg| 2| Four men in white T-shirts , blue jeans , and hats talking .
1146490295.jpg| 0| A man in a white shirt is talking with two men and two women sitting on a bench .
1146938063.jpg| 0| Two men talk while the one on the right holds in his left arm , and the one on the right holds a notebook behind him , they are in a field .
11536856.jpg| 0| Two ladies are cooking & talking and two gentlemen are talking in the opposite site of the kitchen .
1153857697.jpg| 0| A man in tan shorts talking to a young girl in a red shirt .
1186128541.jpg| 1| A busy street with lots of people standing around talking and two are holding bikes .
