store,original, edited
101958970.jpg, 1, "A man sitting with his daughter in his daughter 's pink car in a grocery store.","A man sitting with his daughter in his daughter 's pink car ."
1082250005.jpg, 4, "Women in store happily holding some food","Women happily holding some food ."
110671345.jpg, 0, "A woman is surprised to have her picture taken on this fall day outside Spaulding 's women 's store","A woman is surprised to have her picture taken on this fall day outside."
110671448.jpg, 0, "A woman standing with 3 other people in a store with two tables , some shelves with coffee and tea for sale , and a refrigerated drink case", "A woman standing with 3 other people with two tables , some shelves with coffee and tea for sale , and a refrigerated drink case ."
110983128.jpg, 0, "Grocery store employee , dressed in a red apron & a baseball cap , sits on a ledge in front of the store", "Grocery store employee , dressed in a red apron & a baseball cap , sits on a ledge."
111285749.jpg, 2, "A man in a white shirt hangs a painting in a run down store while other men watch", "A man in a white shirt hangs a painting while other men watch ."

kitchen,original,edited
1000366164.jpg, 2, "Two men in a kitchen cooking food on a stove", "Two men cooking food on a stove ."
1056198351.jpg, 2, "A child has fun with a blender in the kitchen", "A child has fun with a blender ."
106039369.jpg, 1, "Man is flipping an omelet or pancake in the air , while in his kitchen .", "Man is flipping an omelet or pancake in the air."
1079013716.jpg, 0, "Two people are preparing food in a restaurant kitchen", "Two people are preparing food in a restaurant."
1082250005.jpg, 1, "Woman wearing a yellow hat , pink shirt , and red apron is holding food in a kitchen", "Woman wearing a yellow hat , pink shirt , and red apron is holding food" 
1088385559.jpg, 0, "An older woman stir fries vegetables in a home kitchen , with a counter crowded with jars and bottles in the background", "An older woman stir fries vegetables in a home, with a counter crowded with jars and bottles in the background ."

hockey,original,edited
103106960.jpg, 0, "A young male kneeling in front of a hockey goal with a hockey stick in his right hand", "A young male kneeling in front of a goal with a stick in his right hand ."
110802332.jpg, 0, "Two hockey teams are shown at the goal where the white team is stopping a goal being made by the blue team", "Two teams are shown at the goal where the white team is stopping a goal being made by the blue team ."
123997871.jpg, 1, "These girls are in uniforms and are playing field hockey", "These girls are in uniforms and are playing.""
1691038839.jpg, 0, "A kid in a blue and black hockey jersey has just scored a goal on a kid in a white and tan hockey jersey", "A kid in a blue and black jersey has just scored a goal on a kid in a white and tan jersey ."
1693115528.jpg, 0, "A woman sitting in a booth at a restaurant watching hockey on a flat screen TV", "A woman sitting in a booth at a restaurant watching on a flat screen TV ."
1797436026.jpg, 0, "A hockey goalie and two other players are in front of the goal , with the puck in the foreground", "A goalie and two other players are in front of the goal , with the puck in the foreground" 

drinking,original,edited
10090841.jpg, 3, "A dark-haired man sitting drinking .", "A dark-haired man sitting ."
1088767354.jpg, 0, "The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop", "The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit ."
1096097967.jpg, 2, "A black and white dog drinking water from a water spray", "A black and white dog" 
111413806.jpg, 0, "A man and two women are playing a board game at a wooden table while drinking alcohol", "A man and two women are playing a board game at a wooden table."
111419142.jpg, 0, "Several young people are standing around drinking beverages at some kind of outdoors gathering with food", "Several young people are standing around at some kind of outdoors gathering with food" 
1130017585.jpg, 3, "Three women on the street drinking and posing", "Three women on the street posing"

subway,original,edited
1045124251.jpg, 3, "A 30 somethings man playing with his phone on a subway train .", "A 30 somethings man playing with his phone on a train ."
1191338263.jpg, 4, "A woman sits in a subway station", "A woman sits in a station ."
1265501253.jpg, 0, "A woman in jeans and a hoodie on a subway sleeping while others ride along", "A woman in jeans and a hoodie sleeping while others ride along ."
1266359954.jpg, 0, "A woman seated on the subway wearing blue jeans and a black shirt with small designs has her head bent down to her knees",  "A woman seated wearing blue jeans and a black shirt with small designs has her head bent down to her knees ."
1274268203.jpg, 3, "A group of people are walking toward a subway door", "A group of people are walking toward a door ."
1301532463.jpg, 3, "Two women on a subway talking while standing .",  "Two women talking while standing ."

house,original,edited
1000268201.jpg, 2, "A little girl climbing the stairs to her playhouse .","A little girl climbing the stairs ."
1010087623.jpg, 3, "A warehouse manager assisting an employee .", "A manager assisting an employee ."
10287332.jpg, 0, "Two men sitting on the roof of a house while another one stands on a ladder .",  "Two men sitting on the roof while another one stands on a ladder ."
1043819504.jpg, 0, "A group of 11 people in winter wear such as beanies , skiing jackets , gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them .", "A group of 11 people in winter wear such as beanies , skiing jackets , gloves and backpacks are standing in snow paddles outside while a person in front of the door seems to be leading them ."
1044764620.jpg, 0, "A man on a ladder is painting a brick wall in a warehouse",  "A man on a ladder is painting a brick wall."
1051953669.jpg, 0, "A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house", "A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass"

football,original,edited
112459543.jpg, 2, "Some children are playing football with a seacoast in the background", "Some children are playing with a seacoast in the background ."
118647903.jpg, 4, "Two football players chase after a the ball", "Two players chase after a ball ."
1269470943.jpg, 0, "The little boy fell face first into the grass while playing football", "The little boy fell face first into the grass while playing ."
135235570.jpg, 0, "A man tries to catch a football on grass surrounded by American flags", "A man tries to catch a on grass surrounded by American flags ."
1500576335.jpg, 0, "A UH football player , ,  15 , stands near the edge of the field ready to throw the ball while his teammate blocks an opponent .",  "A UH player , ,  15 , stands near the edge of the field ready to throw the ball while his teammate blocks an opponent ."
1501438486.jpg, 0, "A football player in a red jersey is tackling a football player in a white jersey who is attempting to throw the ball", "A player in a red jersey is tackling a player in a white jersey who is attempting to throw the ball ."

street,original,edited
10010052.jpg, 1, "A trendy girl talking on her cellphone while gliding slowly down the street", "A trendy girl talking on her cellphone while gliding slowly."
1001773457.jpg, 0, "A black dog and a white dog with brown spots are staring at each other in the street", "A black dog and a white dog with brown spots are staring at each other."
1001896054.jpg, 1, "John Deere tractors cruises down a street , while the driver wears easy to see clothing", "John Deere tractors cruises, while the driver wears easy to see clothing ." 
100197432.jpg, 1, "Several women stand on a city street with tall buildings", "Several women stand on a city with tall buildings ."
1005216151.jpg, 2, "A group of people are walking through a city street", "A group of people are walking through a city ."
100652400.jpg, 1, "A man wearing a hard hat and a caution vest is standing in the street waving an orange flag", "A man wearing a hard hat and a caution vest is standing waving an orange flag ."

grass,original,edited
1002674143.jpg, 0, "A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it", "A small girl plays with fingerpaints in front of a white canvas with a rainbow on it ."
1009434119.jpg, 0, "A black and white dog is running in a grassy garden surrounded by a white fence", "A black and white dog is running in a garden surrounded by a white fence ."
1010673430.jpg, 0, "A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass", "A little girl in a pink shirt and a little girl in an orange shirt sitting."
1019077836.jpg, 0, "Large brown dog running away from the sprinkler in the grass", "Large brown dog running away from the sprinkler ."
1020651753.jpg, 0, "A white dog is trying to catch a ball in midair over a grassy field",  "A white dog is trying to catch a ball in midair over a field ."
1022454428.jpg, 4, "A couple sit on the grass with a baby and stroller", "A couple sit with a baby and stroller ."

ocean,original,edited
1024613706.jpg, 1, "Three people walking through a beautiful meadow towards the ocean","Three people walking through a beautiful meadow."
104669470.jpg, 3, "A woman is carrying a bowl full of fruit on her head near the ocean side","A woman is carrying a bowl full of fruit on her head ."
1053804096.jpg, 0, "a girl with pigtails is playing in the ocean by the beach", "a girl with pigtails is playing by the beach ."
106490881.jpg, 1, "The boy is playing on the shore of an ocean","The boy is playing on the shore."
1079742005.jpg, 2, "A woman leaning against a white cross looking at the ocean below ", "A woman leaning against a white cross looking below ."
10956999.jpg, 2, "Two men stand behind a grill near the ocean ","Two men stand behind a grill ."

 snowy,original,edited
101001624.jpg, 3, "A person riding a bike on a snowy road", "A person riding a bike on a road ."
1021293940.jpg, 1, "Two men hiking in the snowy wilderness",  "Two men hiking in the wilderness ."
102617084.jpg, 0, "Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat", "Five snowmobile riders all wearing helmets and goggles line up in a clearing in a forest in front of their snowmobiles ; they are all wearing black pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat ."
103205630.jpg, 2, "Two people standing outside a blue tent structure on a snowy surface", "Two people standing outside a blue tent structure on a surface ."
108899015.jpg, 3, "Two people climbing up a snowy mountain ","Two people climbing up a mountain ."
109202756.jpg, 1, "A young blond woman sitting atop a brown draft horse in the snowy mountains"," A young blond woman sitting atop a brown draft horse in the mountains ."

piece,original,edited
10002456.jpg, 1, "Workers look down from up above on a piece of equipment","Workers look down from up above on an equipment ."
100759042.jpg, 1, "A young man traveling on bus with a piece of flower in his hands",  "A young man traveling on bus with  flower in his hands ."
101362133.jpg, 1, "Girl about to kick a piece of wood in half while karate instructor holds it", "Girl about to kick wood in half while karate instructor holds it"
101471792.jpg, 0, "A man with a red jacket is shielding himself from the sun trying to read a piece of paper" , "A man with a red jacket is shielding himself from the sun trying to read a paper" 
1021439420.jpg, 0, "two guys sitting on the floor , with the guy in the green jacket reading a piece of paper",  "two guys sitting on the floor , with the guy in the green jacket reading a paper" 
1044764620.jpg, 4, "A man is panting a piece of wood .", "A man is panting wood ."


family,original,edited
105335409.jpg, 4, "a man in a vehicle behind a family crowd", "a man in a vehicle behind a crowd"
1087539207.jpg, 2, "A family playing on a tractor on a beautiful day", "Playing on a tractor on a beautiful day"
10951809.jpg, 1, "The elderly woman is enjoying an afternoon on the porch with family .", "The elderly woman is enjoying an afternoon on the porch."
114164952.jpg, 0, "Family taking a winter walk in a park path while two of the children run ahead of the family", "Taking a winter walk in a park path while two of the children run ahead."
1425069308.jpg, 0, "Two dogs in a family room are playing , one is catching a ball in its mouth", "Two dogs in a room are playing , one is catching a ball in its mouth ."
2055646179.jpg, 1, "A child is playing with a water spout outdoors while the rest of his family watches", "A child is playing with a water spout outdoors while the rest watches ."

female,original,edited
1010673430.jpg, 4, "2 female babies eating chips ", "2 babies eating chips ."
101362133.jpg, 0, "A young female student performing a downward kick to break a board held by her Karate instructor", "A young student performing a downward kick to break a board held by her Karate instructor ."
1024613706.jpg, 3, "Two males and one female walking on a path",  "Two males and one walking on a path" 
103031977.jpg, 0, "Four college-aged individuals - two males and two females - sitting on the concrete steps outside of a brick building","Four college-aged individuals - two males and two - sitting on the concrete steps outside of a brick building"
1047921035.jpg, 2, "Two individuals , a male and a female , standing in a forested area around a tub", "Two individuals , standing in a forested area around a tub ."
1104881373.jpg, 3, "A man scoops out ice cream for a female customer in a cafe .", "A man scoops out ice cream for a customer in a cafe ."

uniform,original,edited
1001896054.jpg,2, "A man in a neon green and orange uniform is driving on a green tractor", "A man in neon green and orange is driving on a green tractor ."
1010031975.jpg, 0, "Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van", "Five men , dressed in white shirts , tie and black slacks converse at the back of an open van ."
101362133.jpg, 3, "A girl in karate uniform breaking a stick with a front kick", "A girl in karate breaking a stick with a front kick"
1043910339.jpg, 1, "A boy in a red uniform is attempting to avoid getting out at home plate , while the catcher in the blue uniform is attempting to catch him" , "A boy in red is attempting to avoid getting out at home plate , while the catcher in the blue uniform is attempting to catch him ."
1060605297.jpg, 1, "Firefighters wear reflective uniforms and stare upwards", "Firefighters stare upwards ."
1072439304.jpg, 0, "A young helmeted man , in his team uniform , is swinging his bat at an incoming baseball" ,"A young helmeted man , in his team, is swinging his bat at an incoming baseball ."

walk,original,edited
104180524.jpg, 0, "A group of tourists is crossing a bridge that connects a walking path to a trail of nature", "A group of tourists is crossing a bridge that connects a path to a trail of nature" 
1144288288.jpg, 4, "A woman walks on a street wearing headphones", "A woman on a street wearing headphones ."
100716317.jpg, 1, "A person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene",  "A person dressed in a blue coat is standing, studying painting of a street scene ."
1007205537.jpg, 3, "A man in green pants walking down the road", "A man in green pants down the road ."
100845130.jpg, 0, "Five people walking with a multicolored sky in the background", "Five people with a multicolored sky in the background ."
1010087179.jpg, 0, "A tan man with a backwards hat looks at the camera while walking through a factory","A tan man with a backwards hat looks at the camera ."

run,original,edited
1009434119.jpg, 0, "A black and white dog is running in a grassy garden surrounded by a white fence", " A black and white dog is in a grassy garden surrounded by a white fence ."
1015118661.jpg, 4, "A young boy runs across the street", "A young boy across the street ."
101559400.jpg, 1, "A man in a suit runs across an intersection while a large group of people assembles" , "A man in a suit across an intersection while a large group of people assembles ."
101654506.jpg, 0, "The white and brown dog is running over the surface of the snow" , "The white and brown dog is over the surface of the snow ."
1019077836.jpg, 0, "Large brown dog running away from the sprinkler in the grass",  Large brown dog from the sprinkler in the grass ."
1019604187.jpg, 4, "A white dog running after a yellow ball", "A white dog after a yellow ball"

stick,original,edited
101362133.jpg, 2, "A girl kicking a stick that a man is holding in tae kwon do class" , "A girl kicking  a man is holding in tae kwon do class ."
103106960.jpg, 0, "A young male kneeling in front of a hockey goal with a hockey stick in his right hand", "A young male kneeling in front of a hockey goal ."
1035392784.jpg, 0, "A man in black with long hair playing a guitar with stickers on it" , "A man in black with long hair playing a guitar ."
10751489.jpg, 0, "Two men are squatting with one man lighting a stick from a candle flame and the other man has his hands folded looking at the ground while a person wearing a bracelet has a phone to their ear" ,"Two men are squatting with one man from a candle flame and the other man has his hands folded looking at the ground while a person wearing a bracelet has a phone to their ear" 
1079274291.jpg, 0, "Two young boys are looking at the camera , one smiling, the other sticking his tongue out .", "Two young boys are looking at the camera , one smiling"
123315301.jpg, 2, "Two martial artists are demonstrating a hold using sticks", "Two martial artists are demonstrating a hold."

outfit,original,edited
1001465944.jpg, 2, "A young woman walks past two young people dressed in hip black outfits", "A young woman walks past two young people."
10101477.jpg, 0, "Man wearing a blue and white outfit , holding a broom , with a traditional Asian architecture in the background", "Man wearing blue and white , holding a broom , with a traditional Asian architecture in the background ."
1035019794.jpg, 0, "A person in a green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence", "A person in green and helmet is swinging a baseball bat at a tennis ball in front of a fence ."
104816788.jpg, 1, "A sleeping baby is in someone 's arms and wearing a pink striped outfit", "A sleeping baby is in someone 's arms and wearing pink" 
105223874.jpg, 1, "A black-haired child in a blue outfit is playing with a toy outside on a tile floor", "A black-haired child in blue is playing with a toy outside on a tile floor ."
1068427675.jpg, 0, "A man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins",  "A man in all black just threw a bowling ball down a lane towards the center of the bowling pins ."


jeans, original, edited
1000344755.jpg, 3, "man in blue shirt and jeans on ladder cleaning windows","man in blue shirt on ladder cleaning windows
100444898.jpg, 4, "A man in a jacket and jeans standing on a bridge" , "A man in a jacket standing on a bridge .
1015118661.jpg, 0, "Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him","Smiling boy in white shirt in front of rock wall with man in overalls behind him ."
1018057225.jpg, 0, "a boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool", "a boy in a black t-shirt is pushing a toy three wheeler around a small pool ."
1027211271.jpg, 0, "A young woman with short blond-hair wearing jeans and a striped long-sleeved sweater jumping in midair on a skateboard with trees in the background","A young woman with short blond-hair and a striped long-sleeved sweater jumping in midair on a skateboard with trees in the background ."
1054620089.jpg, 0, "A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street",  "A woman and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street ."




