image_name| comment_number| comment
1099434461.jpg| 1| There is a pancake pan cooking a pancake and a man is rolling it over on its opposite side with a spatula .
11536856.jpg| 0| Two ladies are cooking & talking and two gentlemen are talking in the opposite site of the kitchen .
142258955.jpg| 1| A man in a yellow jacket takes a picture while leaning against a car while another man works on the car on the opposite side .
151970521.jpg| 0| Woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another .
160566014.jpg| 0| A man and a woman sit on a car and face the opposite way of the camera .
166774567.jpg| 0| Woman in a leopard print outfit , walking in the street and a man in a dark blue jacket and denim jeans walking in the opposite direction .
170541259.jpg| 0| A large crowd of people are walking for the cure on a gray , overcast day with a blue car heading in the opposite direction .
176527896.jpg| 0| A person in a purple and white jacket is standing behind a man with a gray shirt while a woman with a purse passes them , going the opposite direction .
181157221.jpg| 0| Two dogs try to reach each other as their human companions pull them in opposite directions by their leashes .
1855352188.jpg| 0| A woman and her son walk down a long , leaf-strewn path , while two people ride their horses in the opposite direction .
189100641.jpg| 0| Two young adults of opposite gender are playing music , the boy is on the drums and the female is singing .
1937262236.jpg| 1| Two dogs tug on a pink and orange ball from opposite ends .
2087332880.jpg| 2| Men at opposite ends of the street waiting to cross .
2232822316.jpg| 2| A woman in white jeans , and man in black shorts look opposite ways near a stand .
228822815.jpg| 1| Five adults and a child run opposite of the waves on the beach .
2332806484.jpg| 4| 2 men sitting on opposite couches are talking .
2362377137.jpg| 0| An opposite side street-shot of Applebee 's and Dave and Buster 's restaurants .
241345639.jpg| 3| Two football players try to tackle a player of the opposite team .
241346971.jpg| 1| The two players , on opposite teams , are in the middle of a football game , while others watch .
241347114.jpg| 1| Two football players are tackling one player of the opposite team .
2474480672.jpg| 1| Two men with brown hair are sitting opposite of each other in what appears to be a competition setting .
2547291721.jpg| 0| Two men are walking up a ramp while a third walks up a separate ramp in the opposite direction .
2573811416.jpg| 0| People walking around a dirt covered lot with a white and green truck parked at opposite sides .
2577872862.jpg| 0| A little boy in a blue soccer uniform walks , approaching a team member from the opposite team .
2602866141.jpg| 1| A kid runs in the opposite direction of others who were playing a game .
2678685955.jpg| 0| A crowd of people with one person on skates facing the opposite of everyone .
2720039582.jpg| 1| One football player caught a pass while the two players from the opposite team attempt to tag him while he 's on the ground .
2752175795.jpg| 1| Two men sit on opposite sides of an advertisement in a bus shelter .
2856456013.jpg| 1| A soccer player in a white shirt moves to run past a player from the opposite team .
2929086689.jpg| 0| Two men are standing in a room , pointing in opposite directions , while another man is standing in between them looking to his left .
295258727.jpg| 2| Two dogs run on either side of a road opposite from one another .
2994107810.jpg| 3| Two men from opposite teams playing basketball .
