Original Sentence,Processed Sentence
skip_because_no_change,skip
['A man with black hairs sitting in a restaurant with a glass of beer.'],['A man with black hairs sitting in a restaurant with a glass of beer.']
"['In the background, the men were in white and blue outfits, holding traditional Asian architecture.']","['And holding Asian traditional architecture, wearing a blue white outfit.']"
"['When people watch, people in tan pants are inside a mobile silver object.']",['When people watch people in tan pants are inside mobile objects.']
"['But behind the barrier, many who looked in observed a black man approaching a strange silver object containing.']",['But the black man approached.']
"['A white dog with brown ears standing near the water, which turned to one side of the head.']","['A white dog with brown ears standing near the water, which turned to one side of the head.']"
skip_because_no_change,skip
['A gray and black dog with a collar jumped on a tree that fell from a blue one.'],['A gray and black dog with a collar jumped on a tree that fell from a blue one.']
['The men on the scooter attracted the attention of some of the people in the large crowd.'],['The man attracted the attention of some of the people.']
['A group of people stood at the back of a cotton-filled truck.'],['The group of people stood.']
['A large brown dog ran away from the grass sprinklers.'],['A large brown dog ran away from the sprinklers.']
['The little girl and the man pose happily in front of their supermarket carts.'],['The little girl and the man in the cart in front of them were in happy poses.']
['Young lady and two young men walked into a field near the water.'],['The two young ladies walked.']
"['And right in the snowmobile clearing near the snowy forest, all five snowmobiles in their coats (goggles, helmets, blue coats) were wearing coats, red and black.']","['And all five snowmobiles in goggles, helmets and blue coats were in line to wear coats, red and black coats and were in black.']"
"['Two men, one older, the other younger, both in yellow luggage shirts, sat in front of a large building with sunglass and glass billboards.']",['Two men sit on the floor.']
['A man with a backpack sat in front of a reading of an art sculpture in the building courtyard.'],['A man with a backpack sat.']
['Behind a brick patio looked like a blue and red toddler in a short hat and red hat.'],['Behind a brick patio looked like a blue and red toddler in a short hat and red hat.']
skip_because_no_change,skip
['A baseball bat was swinging in front of the fence by people in helmets and green outfits.'],['The people in helmets and green outfits were swinging baseball bats.']
['A man in a life jacket and green shirt sits in a drifting canoe around the lake.'],['A man in a red life jacket and green shirt sits around the lake.']
['Someone stood on a long bridge with a blue sky in the background and cloudy skies.'],['Someone stood up.']
skip_because_no_change,skip
"['And one woman in pink flops and white tops was in black pants and black tops. Leaning on a brick path, all gray sidewalks, in front of a red and green bush.']",['And one woman in pink flops and white tops wore black pants and black tops. Two women were leaning on each other.']
"['Behind a bright house, a young girl, her hands holding orange balls, walked on green grass.']","['A young girl, her hands holding an orange ball, walked behind a bright house.']"
skip_because_no_change,skip
['A sick white and blue woman sleeping in the car with a white and blue blanket.'],['A sick woman with white and blue blankets sleeps.']
['A man and firefighter were having a conversation at the emergency scene.'],['The man was conversing with firefighters.']
"['A man with children kneeled on the beach, where a red and a bright blue boat were stationed in the background.']",['The man on the knees with the children.']
skip_because_no_change,skip
['The bike kid in front of the backhoe hovel rode near a mound of dirt.'],['The kid on the bicycle in front of the hovel was riding near a mound of dirt.']
['The men in all black outfits just threw the bowling balls down the pin-center lane.'],['A man in all black outfit just threw down a bowling ball down the lane.']
skip_because_no_change,skip
"['And people walk along like one person along, a large group travel on the backs of small trucks on rural roads.']","['And people walked one by, a large group traveled in the back of a small truck.']"
"['In professional volleyball games, male players in red trunks tried to block shots from opponents.']","['In professional volleyball games, male players in red trunks tried to block shots from opponents.']"
['A man doing some sort of project on his own knees on the ground.'],['A man doing some sort of project on his knees.']
skip_because_no_change,skip
"['And the girl, footed in a purse, sat on the steps of the building, writing a journal, holding a cup, wearing a purse in a blue flip jean with short sleeves green shirt.']","['And a girl with her feet in a purse sat on the steps of the building, writing a journal and holding a cup.']"
skip_because_no_change,skip
"['When people hold safety ropes, they climb tall flat mountains.']","['A flat, tall mountain climbs while being held by safety ropes.']"
['A group of fishermen sit on the ground in front of some mountains.'],['A group of fishermen sat down.']
['And the American armies of the above-arm groups of American children (and the American armies of the above-arm groups) express happiness in a face.'],['And the arms group of American children in the above armies is a face expression of happiness.']
['Young black people in sweeping jackets and green shirts.'],['Young black people in sweeping jackets and green shirts.']
['A woman held several green peppers at a grocery stand and smiled.'],['Smile as several green peppers were held.']
skip_because_no_change,skip
['White and black dogs run in the dirt.'],['White and black dogs run.']
['Three television heads in brown fields turned to look at the camera.'],['Turned on the camera to look at the three TV heads.']
['A quad jumper dressed in a tan jacket jumped over a harvested cornfield in front of a small outbuilding.'],['Dressed people jump on quads over harvested cornfields.']
skip_because_no_change,skip
skip_because_no_change,skip
['And the hands of a couple of feet shake and sit on the sand.'],['And the hands of a couple of feet shake and sit.']
['And the boy in white shirt was walking on the grass carrying soccer balls.'],['And a boy in white shirt carried a soccer ball as he walked.']
skip_because_no_change,skip
"['They were in the desert near some block-construction buildings, looking for two men pushing a wheelbarrow.']","['Near them, two men looking on and pushing a wheelbarrow.']"
['Adults and small children walk on the beach in front of ocean waves.'],['The adults and small children walked.']
skip_because_no_change,skip
skip_because_no_change,skip
['People ate in a cafeteria with glass ceilings and wood beams.'],['People eat.']
"['And you can see the building in the distance, a man crosses the street.']","['And you can see the building being constructed, a man crosses the street.']"
['The young girl did a handstand in a bed with blue sheets.'],['Young girls do handstands.']
skip_because_no_change,skip
"['And a business suit man talked on the phone, carrying a briefcase by a mirror building.']",['and carrying a briefcase a man in a business suit talked on the phone.']
['The brown mouthed dog with tennis balls swam in the outdoors.'],['The brown dog with a tennis ball swam in the water.']
['A little boy in shorts and short sleeves ran outside.'],['Little boys in shorts and short-wrapped shirts ran.']
