image_name| comment_number| comment
102351840.jpg| 0| A man is drilling through the frozen ice of a pond .
1131883759.jpg| 0| Someone holding a piece of , what looks like clear plastic , down on a hard surface while they drill a hole through it .
1181708011.jpg| 0| A woman in a green tank top looking at a drill while a crowd looks on .
1415960251.jpg| 0| Two men work on a metal roof in the sunlight , one man is wearing a white shirt and the other man is wearing a black shirt and holding a drill .
1517036435.jpg| 2| Boy’s camp drill Sergeant with boys standing at attention .
1673433891.jpg| 0| A grinning man is just about to drill a hole into a pumpkin lying on a table .
171486070.jpg| 0| The drunk man in the gray shirt is attempting to drill into a keg of beer , while another keg awaits .
173227546.jpg| 0| A man in a yellow construction hat with a tool bag on his back , is drilling a wall labeled superior walls .
195611212.jpg| 4| Two men drill into a teal trailer .
20702864.jpg| 0| Orange cones , a man in a business suit , and workers with a drill and a wheel barrel on the corner of a street .
2095197165.jpg| 1| A man is working to pull an unknown object from a hole drilled in the pavement .
216778085.jpg| 4| Two men observe a yellow drill in a mine .
2423937824.jpg| 1| A woman in construction gear drilling a hole into a rock marked with blue boxes near a hill .
2536985499.jpg| 1| A construction worker in an orange vest drilling in the ground .
2537580694.jpg| 3| A construction worker is drilling on railroad tracks .
269898428.jpg| 1| A person with an electric drill doing something to a toy animal .
2701228560.jpg| 0| This crib contains a baby , stuffed animals , a box of matches , a cordless drill , a paperback novel , and a blanket .
2772831016.jpg| 4| A five man drill team on stage .
289620419.jpg| 3| A team runs down the field doing some drills .
2990934685.jpg| 1| A cute boy is turning the handle of what looks to be a giant drill statue .
3204734746.jpg| 1| The man with the hard white hate is drilling a hole into a pole .
3262326144.jpg| 0| A man in a hooded sweatshirt is on a ladder drilling into a building while three people watch him .
33064663.jpg| 4| a child doing some drills for soccer .
3361636074.jpg| 0| A man in a green shirt and jeans is bent over a red hockey goal with a drill on top of it .
3497238310.jpg| 2| A line of basketball players doing a drill .
3614269018.jpg| 4| Guy drilling near a lamp post .
3687077099.jpg| 0| Kids doing a soccer drill in the soccer field , they are all dress in soccer uniforms except for one boy which is wearing casual clothing .
3712923460.jpg| 0| A group of men in camouflage pants and white t-shirts are running in a drill yard .
4013752334.jpg| 0| Two men holding a Chinese lantern that 's yellow and red , one man has a drill and the other is smiling .
405961988.jpg| 0| The construction worker is drilling into the street near a street with active traffic .
4297527221.jpg| 0| A man in plaid showing a young girl , also in plaid , how to drill a hole .
437057062.jpg| 0| A woman in a light blue shirt holds an untreated piece of lumber while a man in a short-sleeved white t-shirt with an emblem on the left breast drills into it .
4428141450.jpg| 1| A man operates a drill while working on the window of a building .
4857094195.jpg| 3| There are football players in red running drills near the end zone .
4897078710.jpg| 0| two men in hard hats and bright work shirts are working hard drilling into stone , while attached to harnesses .
5235783452.jpg| 0| A smiling man is standing in a living room holding a large drill , while a young girl in a blue jumper is standing in front of him , holding a vacuum cleaner hose .
524296878.jpg| 2| An Army drill instructor guiding his platoon in marching formation .
5261346652.jpg| 4| One construction worker drilling away .
5290252253.jpg| 0| A person wearing gloves drilling a hole into the side of a bottle .
5402085.jpg| 3| two very muddy men drilling for oil
5661996549.jpg| 4| A man uses a drill on his mountain bike spokes .
6205176022.jpg| 0| Three quarterbacks from the New York Jets run through passing drills with their coach .
62353372.jpg| 0| A line of men in white uniforms with pale blue flaps on their shoulders as well as some type of gold badge on their chest being scolded by a drill sergeant .
6414597073.jpg| 0| A woman wearing a pair of glasses with her hair pulled up into a bun is using a power drill and inserting into a wall .
6635119569.jpg| 0| A middle-aged male carpenter uses a drill press in a crowded workshop .
6775385802.jpg| 1| A young boy and an older man are using a drill on some type of object .
6847096860.jpg| 0| Two men concentrate on drilling an apparatus while on an outside scaffold .
6973706961.jpg| 0| A man wearing camouflage pants and a tan shirt holds a drill while another man wearing a hard hat with colors like the American flag holds the board that is being drilled and a third man holds a ladder .
70074570.jpg| 0| A man wearing a white construction hat , gray shirt and holding a yellow and black drill stands in front of an American flag saluting .
7719524174.jpg| 1| a little boy using a drill to make a hole in a piece of wood .
867204263.jpg| 0| Grandpa is demonstrating how the big yellow drill works so the boy will know how to handle the orange toy drill .
