image_name| comment_number| comment
1005216151.jpg| 0| A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .
101093029.jpg| 4| A crowd admiring modern art ?
101093045.jpg| 1| A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .
101362650.jpg| 0| Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .
1016626169.jpg| 0| Man on scooter attracts attention from some of those in large crowd .
1027149103.jpg| 1| In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt .
1027211271.jpg| 3| A boy jumps on his skateboard while a crowd watches
1029737941.jpg| 0| Boy in brown shirt with headphones on sits on woman 's shoulders in a crowd .
1042020065.jpg| 3| A young boy overlooking a crowd of inflatable boats .
1048710776.jpg| 1| Several young people sitting on a rail above a crowded beach .
105335409.jpg| 0| Man talking on a microphone and a crowd of people in front of him .
107318069.jpg| 0| Seven large balloons are lined up at nighttime near a crowd .
1088385559.jpg| 0| An older woman stir fries vegetables in a home kitchen , with a counter crowded with jars and bottles in the background .
109083036.jpg| 3| A crowd of boys play cricket in an open sand lot .
1101923011.jpg| 0| A man wearing a white tank top sings into a microphones on a stage with a crowd watching .
11026590.jpg| 4| a crowd of people outside .
1102763701.jpg| 1| A crowd of scouts where there are flags of many nations being held .
1110208841.jpg| 3| An agile dog catches a Frisbee while a crowd of onlookers watches closely .
111069375.jpg| 0| Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps .
111390902.jpg| 0| Two Asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders .
1122177096.jpg| 1| A guy in a yellow shirt and light brown slacks is playing golf while the crowd watch .
"1126137905.jpg| 1| A crowd of people standing next to a shack labeled "" Green Jungle . """
1136758631.jpg| 2| On a sunny day , a small crowd wait for the railroad on the platform .
1141643526.jpg| 1| In a crowd of young people at a bar , a man stands displaying the rock and roll sign .
1150429218.jpg| 1| An male entertainer is wearing women 's clothing that consists of a pink tank top , skirt , knee high socks , and a hairnet , performing on a unicycle a juggling knives while a crowd watches .
1174629344.jpg| 4| A crowd of people walk down a busy sidewalk .
117919518.jpg| 1| a man in a blue t-shirt and blue jeans sitting on a fence in a crowded park
1181708011.jpg| 0| A woman in a green tank top looking at a drill while a crowd looks on .
118717792.jpg| 4| a crowd of people in a parade .
1196696476.jpg| 3| A large crowd of people are sitting outside of a store .
120058071.jpg| 0| A crowd of people are sitting on a bench beside a white statue of a man 's head in a park like setting while four pigeons look on .
120538235.jpg| 0| A man in a striped red polo shirt , tan khakis , and a Nike visor is surrounded by a crowd of onlookers as he finishes a golf swing .
1223671563.jpg| 4| A crowd watching construction work taking place .
123416768.jpg| 3| a woman is talking on a cellphone on a crowded sidewalk
123628218.jpg| 2| Three people are working on computers in a crowded office .
1238849490.jpg| 2| a crowd gathers around a lady with an acoustic guitar who is performing
1246863003.jpg| 0| Three chefs , wearing white hats and black aprons , are preparing food in a crowded kitchen .
1247484195.jpg| 0| A little girl wearing a yellow dress moves frantically in front of a crowded baseball stadium .
1250745375.jpg| 1| A crowd of people are gathered at some kind of event .
1253095131.jpg| 2| 2 blond girls are sitting on a ledge in a crowded plaza .
