image_name| comment_number| comment
100759042.jpg| 2| A teen holding an unknown object for photographers .
1010087179.jpg| 1| Older man working in a factory not looking too excited about the photograph .
1039637574.jpg| 0| A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants .
114410209.jpg| 3| Man photographing red railroad car with large camera lens .
1145145003.jpg| 0| A person trying desperately not to be photographed by putting their sweater over their head as they compute .
115275821.jpg| 3| A man and his dog are both interested in the photographer .
118717792.jpg| 1| A group of people wearing red shirts and holding drums is being photographed at the boardwalk .
118771635.jpg| 0| A girl wearing glasses and a brown plaid long-sleeved shirt holds a cup and looks through a book with people photographs and text .
1213336750.jpg| 1| A man in a black outfit is taking a photograph of a man in a red jacket .
1218091024.jpg| 3| Two men take photographs on either side of their car .
"1231348815.jpg| 0| A rickshaw puller in an Asian country smiling and making a "" thumbs up "" sign at the photographer ."
1265343716.jpg| 3| The beautiful lady is looking at the photographer .
134201079.jpg| 1| A man wearing an orange shirt takes a photograph
1358477469.jpg| 2| A man with glasses being photographed behind a cage .
1402489103.jpg| 0| A young woman in a blue uniform takes digital photographs while three older woman look on .
14153510.jpg| 0| A group of women , some with kids , wearing white t-shirts with number tags , are smiling as they are being photographed on the field .
142258955.jpg| 2| A mechanic with paint stained overalls works on a fancy car 's tire and a photographer in a yellow jacket takes a picture .
1450150621.jpg| 2| A man and woman are taking their photograph together .
1481393167.jpg| 1| A man and two women posing for a photograph in front of an elaborate looking structure .
1512770347.jpg| 2| An Asian man hanging a framed photograph while a woman watches .
157192048.jpg| 0| A man in a black jacket in jeans takes a photograph of a man posing on the street in a silver suit .
1596758323.jpg| 1| Two dark-haired women in white dresses walk past a enlarged photograph of two golfers .
1601783524.jpg| 2| A woman with red-hair is sitting in a laundromat , looking at the photographer .
1616016569.jpg| 0| a couple sitting together smiling at the photographer
1618094569.jpg| 1| A man with black curly hair plays the bass guitar in a blurred photograph .
1683444418.jpg| 3| Two men are posing for a photograph in front of a fountain in a city .
170525554.jpg| 0| Active photographers are watching and snapping photos at a noisy outdoor event .
171211612.jpg| 0| An underwater photographer swims under the beautiful sea , yet above the white sand in the clear water with a large camera as she takes photo 's from underneath the water .
17314123.jpg| 1| A child looks up at the photographer as he 's cutting lemons and limes .
1732436777.jpg| 0| A couple on the stairs are photographing a man and woman embracing in front of a building .
1809476783.jpg| 1| The Happy bride and groom waited for the photographer to take their picture .
1821672488.jpg| 3| A group of DHL employees pose in the parking lot for a photograph .
1867334641.jpg| 1| A group of people form a procession , several of them holding signs with photographs on them .
1869706826.jpg| 4| A woman in black is taking photographs .
1970275389.jpg| 1| A brunette photographer is kneeling down to take a photo .
202380905.jpg| 1| A seasoned photographer snaps photo despite being weighed down by all his gear .
2052088545.jpg| 0| A man in a blue shirt pets a dog while another watches at the feet of the photographer .
2065595152.jpg| 0| A group of photographers aim their cameras towards the field while two bright orange suits in the background of the shot are quite noticeable .
2079491560.jpg| 0| A woman with long red-hair is standing in her white kitchen holding a sponge and smiling to the person taking the photograph .
2095667691.jpg| 3| A young couple posing seductively for a photograph .
2097615120.jpg| 0| A lady in a skirt photographs one of several very large photographs of wild animals .
2102360862.jpg| 0| Two men are standing on a rocky shore , while one photographs the other .
2111025576.jpg| 0| Three people are photographed on a boat on a large body of water which is tinted the color brown in the photo .
2119793019.jpg| 4| A man takes a photograph of woman standing next to a painting .
212863746.jpg| 3| A man in his underwear with two women posing for photographers
2159440067.jpg| 1| These two little girls are presenting their artwork to photographer .
2160230494.jpg| 3| a beautiful photograph of a church at sunset with birds flying overhead and orange-red sky
2173828253.jpg| 2| The photographer is taking Polaroids of the landscape .
2190899457.jpg| 3| People are being photographed while mountain climbing or hiking .
2194495372.jpg| 2| Two kids are photographed playing soccer in a field .
2195419145.jpg| 1| A man and a police officer are smiling at the photographer .
2200875336.jpg| 4| Three women are singing , and being photographed .
2201122447.jpg| 0| Three photographers with their cameras and tripods set up indoors in a high-traffic area .
2243700772.jpg| 1| An elderly man is presenting a plate of squid for the photographer .
2263132077.jpg| 2| An amateur photographer or videographer and his son learning to use their new equipment .
226664962.jpg| 0| A group of formally dressed men and women stand outside with a photographer looking on .
2272290126.jpg| 0| A photographer takes pictures of a family that includes four children and two parents
2273648636.jpg| 2| Man holding a photograph , painting a picture of a dog .
23015940.jpg| 0| A woman tennis player stands at center court as photographers take her picture .
"2302516347.jpg| 0| A man and a woman look at pictures on a machine marked "" other people 's photographs . """
231178641.jpg| 0| Young man wearing a blue jacket , green shirt and denim jeans is photographed by person in beige jacket and burgundy pants while four onlookers watch on an expanse of sand .
2315113960.jpg| 0| A museum guide showing a person places on the museum map as a photographer takes a picture in the background .
2315335328.jpg| 0| A blond woman in a green dress , with a tattoo on her left arm , holds a yellow pot of flowers - someone else sticks their twine-wrapped finger into the frame of the photograph before her .
2328321679.jpg| 4| photographer working in the wild
2346402952.jpg| 1| Three people are looking into photographic equipment .
2351153998.jpg| 3| A photographer adjusting the settings on his camera .
2378356400.jpg| 0| A woman in a checked coat is taking a photograph of a little girl sitting on a fake tiger .
