image_name| comment_number| comment
1252210354.jpg| 4| A young man is shooting pool .
1378557186.jpg| 0| The man is aiming to shoot something while his dog watches .
1405005999.jpg| 2| Three girls shooting darts , girl in white 's turn to throw .
1436832881.jpg| 0| A red PlNe is flying by the queen Elisabeth 2 shooting out red smoke .
160065765.jpg| 1| Lots of people playing a water shooter carnival game .
160387736.jpg| 1| A man in a baseball cap is playing a shooting game in an arcade with a friend .
187011497.jpg| 0| A group of black people are all in their bathing suits and are standing around fountains which are shooting water on them .
2065595152.jpg| 2| Numerous cameramen line up together shooting a scene .
2209751.jpg| 2| A car being prepared for a photo shoot .
2251747182.jpg| 2| The little boy in the red shorts is going to shoot a basket .
2274849448.jpg| 0| A man dressed in rags , a pajamas and a hat is taking a picture of himself by shooting at a mirror in front of him .
2335150014.jpg| 0| Two men are looking at a vendor 's booth which has bamboo shoots leaning on it .
2346401538.jpg| 4| People at a photo shoot .
2421823977.jpg| 4| Men working on a photo shoot .
2504277798.jpg| 0| A woman wearing ear protection is firing a gun at an indoor shooting range .
252180174.jpg| 4| Two men getting ready to shoot .
2564663851.jpg| 1| A young boy plays in the fountains shooting up from the ground .
2568417021.jpg| 3| A boy gets ready to shoot a basketball .
2653938322.jpg| 0| A boy wearing a red shirt is shooting fireworks off a breakwall into the water .
2705947033.jpg| 2| Three children are shooting guns in the woods .
2709683703.jpg| 0| The young man with the water gun is shooting water into the white dogs mouth .
2711203701.jpg| 1| Two girls in swimsuits shoot water guns from an inflatable pool .
2718027742.jpg| 0| A child seen from the waist down in a bathing suit standing on a slip and slide with jets of water shooting up
2737233999.jpg| 2| Young children shoot baskets in the field .
2748929011.jpg| 4| A golfer shoots his ball out of a sand trap .
2751721665.jpg| 0| A young boy shoots a toy gun while standing next to a bench .
2768265384.jpg| 0| Two men sit at a picnic table with beer , while another shoots a photo with his camera .
2826574228.jpg| 3| Man shooting picture of women at the beach .
28318644.jpg| 3| A little boy looking at the shooting water fountain .
2885382946.jpg| 3| A boy and two men shooting off a water rocket at the beach .
2926595608.jpg| 3| Basketball players shoot for a goal during a game .
2930580341.jpg| 1| A family is playing in a pool and one of the young boys is shooting something with water .
2938181762.jpg| 0| A silhouette of a person standing in front of a water display shooting many streams high into the air .
2992808092.jpg| 1| Two hockey players are trying to shoot the puck on the grass .
2998861375.jpg| 0| military personnel dressed in fatigues and ear protection laying on their stomachs shooting guns .
3005872315.jpg| 0| A pair of hands is shooting a black gun in the direction of trees .
3009320393.jpg| 4| A helicopter shooting at a boat .
3009520538.jpg| 2| At the shooting range , a man in a green jacket practices his shooting .
3048380686.jpg| 3| A hockey player shooting for a goal in a professional game .
3054200086.jpg| 1| An ice hockey player is shooting the puck as an opposing player watches .
3075317210.jpg| 1| A young boy shoots a basketball into a hoop .
3091177347.jpg| 2| Two people are setting up a photo shoot of a mobile in a white room .
3100605713.jpg| 0| A woman in a floral patterned blouse takes a photograph with a point and shoot digital camera .
3118534315.jpg| 4| The man is shooting video of another writing on a pole .
3126752627.jpg| 0| A basketball player shooting while another player is trying to block his shot .
3127614086.jpg| 0| While one ball player watches helplessly , another jumps and shoots the ball toward the basket .
3136688093.jpg| 1| Person standing on stage with fireworks shooting behind them .
3147913471.jpg| 1| The Florida basketball player is preparing to shoot the ball .
3154641421.jpg| 2| A basketball player preparing to shoot the ball
3188036349.jpg| 3| A young blond child shoots from a slide at high speed .
3211029717.jpg| 0| Some young men and women shoot fireworks out of their hands .
3245250964.jpg| 1| Man in blue and white uniform shooting basketball being blocked by man in white and red .
3250589803.jpg| 4| The guys are shooting hoops .
3258395783.jpg| 3| A man shoots footage with a camera as two women look on .
3264464625.jpg| 3| People are splashed by water coming down a shoot .
3285298241.jpg| 0| A man wearing a blue basketball jersey is shooting the basketball .
3318995586.jpg| 3| There is a man shooting basketballs next to a toddler .
3325157569.jpg| 1| A basketball player has jumped in the air to shoot the basketball .
3329207492.jpg| 1| Three children hold a boy 's arms down while another boy in a hat shoots a water gun at him .
3367658141.jpg| 0| Five older gentlemen are shooting pool in a white room .
3372215826.jpg| 2| A man shoots a gun that emits a bright light .
3379639763.jpg| 0| Several people , including a person in a wheelchair , in front of a large silver dome structure with water shooting out of various spouts and flowing down onto the ground .
3396803994.jpg| 0| A man in a black sweater is shooting a dart towards a darts board on a wall next to a red curtain .
3419436117.jpg| 3| A bride having a photo shoot outdoors around lots of people .
3431671749.jpg| 1| A race car on a track has flames shooting from the rear .
3473264983.jpg| 4| A paintball team shoots
3484649669.jpg| 0| There is a young girl in a bathing suit playing with water shooting out of the ground .
3485486737.jpg| 4| Photographer shooting picture of yellow bus .
3502459991.jpg| 0| A man with yellow ear protectors is firing a gun in a shooting range .
3505701438.jpg| 4| Photographer shooting pictures of a old sign .
3510695264.jpg| 0| A group of men in white hard hats inside an industrial building with one shooting a picture .
3518414543.jpg| 0| A photographer shoots a small family , surrounded by rock walls .
3580604460.jpg| 1| Child wearing glasses learning to shoot a gun .
3609233201.jpg| 3| A little boy shooting a basketball on a basketball court .
3657016761.jpg| 1| A young girl stands under three large rings that shoot water in a water park .
3912076502.jpg| 2| Two ladies , one in black and the other in green and black , looking at shooting waterfall .
4022170842.jpg| 2| Two fireman are shooting water from a hose .
"4121365461.jpg| 2| A young man is holding his "" follow through "" pose after shooting a basketball ."
423167388.jpg| 4| Four men are shooting a scene .
4244133155.jpg| 2| A woman is posing at a photo shoot .
4319855412.jpg| 3| A shoot around at a women 's college basketball game .
4319908902.jpg| 2| The shoot around before a women 's basketball game .
4328470369.jpg| 1| In a school gymnasium , three girls look on while a boy prepares to shoot a basket .
4331413547.jpg| 3| A man and woman who are standing outside in the grass doing a photo shoot .
4493330346.jpg| 1| Men in soldier uniforms shoot guns into the air .
4510049538.jpg| 2| a man in a blue jump shoot practices ninja jumps for a crowd of people .
4532277525.jpg| 1| A cake with five regular candles and one tall , spark shooting candle is on a table in front of two men .
4537327075.jpg| 2| An empty stadium with people shooting a movie about baseball .
4577047554.jpg| 3| A photo shoot with a woman on the street wearing a red and white dress and black boots .
4584266011.jpg| 1| A photo shoot is talking place with a model standing under an umbrella .
4592269543.jpg| 3| A BMX biker shoots up into the air .
466373799.jpg| 0| An angry brown horse seems to be trying to buck off the male rider in tan jeans and blue shirt and black hat , while a photographer shoots a picture .
4678723492.jpg| 0| A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain .
4682065369.jpg| 4| A photographer shooting the sunset at the beach .
4684510937.jpg| 2| The soldier is kneeling next to the tanker preparing to shoot his weapon .
4684538785.jpg| 3| A row of firefighters are shooting water out of a hose .
4684568999.jpg| 3| Two firefighters are shooting water out of a hose .
4685060982.jpg| 0| Two military men wearing camouflage and carrying guns , one has his gun raised and ready to shoot .
468640364.jpg| 1| Two men with cameras shoot stand as one of them takes a shot .
4706794395.jpg| 2| A woman dressed in lingerie poses in a glamorous photo shoot .
4707440120.jpg| 1| A man is painting a message on a model 's arm during a photo shoot and a glass of wine is sitting on the floor .
