image_name| comment_number| comment
124523773.jpg| 1| An electric night in a downtown metropolitan area , flooded with people .
1482654385.jpg| 0| Two boys climbing telephone poles to stay out of flood waters .
192618386.jpg| 0| A woman with long hair holds the hand of small girl in one piece blue bathing suit while they run among other children on flooded pavement .
206290645.jpg| 2| Small children are wading through shallow waters that are flooding the street .
211981411.jpg| 3| The dirty vehicle is caught in a flood .
2217244400.jpg| 0| A man in a blue shirt is watching three trucks that are being swept away by flood waters .
2244024374.jpg| 3| Two dogs playing in a flooded field with a stick .
2421824039.jpg| 2| A man walks through a flooded area in a graffiti covered area .
263764537.jpg| 3| A woman and a child bikes through a flooded path .
2925577165.jpg| 1| A minivan splashing through a flooded parking lot on a rainy night .
3037410256.jpg| 2| Three women are cultivating plants in a flooded riverbed .
3445296377.jpg| 1| A girl in a pink snowsuit splashes into dirty flood water next to a picnic table .
3706019147.jpg| 3| People moving out of flooded homes to better dry places .
3938776000.jpg| 3| One guy using an animal to work in a flooded field .
448803467.jpg| 1| Five children play in a flooded ( or intentionally watered ) playground .
4515663265.jpg| 1| A woman in white and two black children wade through a flooded field .
4612281699.jpg| 1| A young boy and a young girl play in the flood waters of their neighborhood .
4864024783.jpg| 3| A young boy sleeps on a makeshift cot in a flooded area .
4900937408.jpg| 2| three children play in flooded culvert .
5241034101.jpg| 1| Two utility workers in blue and yellow suits with shovels are standing on the sidewalk next to a flooded street .
557721978.jpg| 0| Young girl in red skirt jumping in water on a flooded street .
6212276888.jpg| 4| Man gallops , on a horse , through a flooded creek bed .
6729742503.jpg| 0| An asian man in a striped yellow shirt and shorts carrying some kelp and wading through a flooded area .
