image_name| comment_number| comment
1414911626.jpg| 0| Red white and blue SUV patrolling the beach and shoreline on a cloudy day while seagulls walk in the sand .
2208652989.jpg| 1| A policeman on a white horse are patrolling the streets of the city .
2292621342.jpg| 0| Workers in safety vest patrol the streets on large horses .
2620517927.jpg| 1| Police patrolled the downtown streets on their motorcycles .
2641794279.jpg| 1| A safety patrol officer rides his bike across a crosswalk .
2761600250.jpg| 3| A patrol officer is looking at things lit up on a river .
2807209904.jpg| 0| a group of police officers patroling the streets with a building in the background
2863042793.jpg| 2| A police officer is standing patrol at the corner near a red fire hydrant .
2957763153.jpg| 0| A man in a small bathing suit talks to another man on the beach in front of a beach patrol stand .
3036894037.jpg| 2| Two armed police officers are patrolling the streets .
3165123595.jpg| 1| Four ski patrollers on skis are wearing helmets and goggles .
3424861178.jpg| 3| Policemen riding horses while patrolling the streets .
3527069255.jpg| 2| A safety patrol man holds his hat while many people are behind him .
390921095.jpg| 4| A patrolman rides a horse through the city .
399226846.jpg| 1| The guy in the yellow jacket is patrolling the road with fast moving cars at night .
39999879.jpg| 4| Police officers patrolling a beach .
4420692125.jpg| 0| On a city street , police are putting a handcuffed suspect into a patrol car .
4443309552.jpg| 4| Two police are on patrol on two horses .
4537647888.jpg| 4| A street sweeper patrols the sidewalk .
"4654498293.jpg| 0| A gray patrol SUV with orange lights and the word "" Brigada "" contains a man or woman sitting in it and is parked outside an iron fence with a large gold lock and chain ", with a dark-skinned woman inside the fence , holding a rolled up red flag , with an emblem on it .
4685060982.jpg| 2| Two asian security forces conducting a patrol .
4780576116.jpg| 0| A British royal guard on patrol outside a stone building .
4782269293.jpg| 2| Police officer patrolling on a bicycle .
47951611.jpg| 2| There are two coast guard men patrolling the water in their craft .
4977405533.jpg| 1| Military personnel patrol an area .
5521996.jpg| 3| Four police people patrol on the streets on horseback .
5687357997.jpg| 2| A patrol officer wearing a blue helmet is riding a white scooter .
6083302879.jpg| 0| Two male police officers on patrol , wearing the normal gear and bright green reflective shirts .
6087966524.jpg| 3| Officers on motorcycles patrol the streets .
6907873186.jpg| 2| Two police officers are patrolling on their horses .
