image_name| comment_number| comment
1012212859.jpg| 2| A white dog shakes on the edge of a beach with an orange ball .
1053243591.jpg| 0| Young woman holding a bottle , reaching out from a bench to shake a man 's hand .
1131800850.jpg| 2| The large brown and white dog shakes off water .
1146490295.jpg| 3| A man shakes his arm at a group of people seated on a bench .
1244140539.jpg| 2| A small dog shakes its head on a white shag carpet .
1405221276.jpg| 1| Two dogs shake off water in an area with very little vegetation .
143446265.jpg| 0| An older man in a pink shirt shakes hands with a younger man in a black baseball cap .
1714316707.jpg| 4| A little boy shakes the snow off of a tree .
1937104503.jpg| 0| a black dog is standing on a step next to a river as it shakes itself dry .
1957371533.jpg| 1| A black and white dog shakes itself to get the water off
2095444126.jpg| 0| A dog shakes off water and gets contorted .
2279945145.jpg| 1| A black and white dog wearing collars shakes off on the dead grass .
2308322210.jpg| 1| A guy shakes hands with a plastic dummy and gives the dummy a thumbs up with the other hand .
2345984157.jpg| 0| A brown dog shakes off water after exiting a natural pond .
2400700373.jpg| 0| A cowboy tries to hold on with all his might as the horse shakes and trembles to rid of his rider .
2490687446.jpg| 2| A dog on a leash shakes while in some water .
2526585002.jpg| 2| The men shake hands while another man and dogs look on .
263522013.jpg| 0| A brown dog , on a rocky ground , shakes off water from its body .
2744856447.jpg| 0| In a restaurant , a teenager drinks directly out of the metal milkshake serving cup .
2772928973.jpg| 1| A bride and groom make small talk with a guest as the groom shakes the guest 's hand .
2792212974.jpg| 3| A girl shakes her hair in a swimming pool .
2956811273.jpg| 1| Men in suits and military uniforms looks on as two men shake hands .
2957671910.jpg| 1| A US Army chief warrant officer shakes hand with a woman as others watch on .
3019923691.jpg| 2| The black dog wearing a red collar shakes water off .
303607405.jpg| 0| A bulldog with a red bandanna shakes off water .
308956341.jpg| 1| A wet black dog shakes itself off .
3091916691.jpg| 1| A man in a bright pink shirt shakes the hand of a bearded man in a saffron shirt .
3111402233.jpg| 0| A brown dog shakes while standing in the water near a yellow ball .
3155279929.jpg| 0| A black dog shakes itself dry on the beach in front of the waves .
3361279771.jpg| 2| Two opposing baseball coaches shake hands on a sunny day .
3401647850.jpg| 0| A large brown dog begins to shake while standing in the water .
3473188829.jpg| 0| Two young women in blue aprons work in a Baskin Robbins as one wearing glasses prepares a milkshake .
3535511987.jpg| 0| A woman in a green skirt and blue shirt shakes the dust from an object .
3596417458.jpg| 0| A cluttered table filled with food , plates , forks , knives , salt and pepper shakers .
3694991841.jpg| 2| A tatooed person shakes their hair and beats a drum .
3741462565.jpg| 0| A young girl dressed in pink with a hair barrette pursing her lips at a big chocolate milkshake .
3827176890.jpg| 0| Two children wearing baseball caps shake hands while standing on the sidewalk .
410396747.jpg| 3| A little girl is eagerly standing by the racers anticipating a handshake .
4349645417.jpg| 3| Two guys practicing how to do a handshake .
4444863942.jpg| 0| Nancy Pelosi wearing a green coat shakes a man in a suit 's hand in front of a crowd of young people .
4614813437.jpg| 2| two male guitarist doing a handshake .
4631915030.jpg| 3| A woman shakes hand with another woman , as they stand under a sign for a protest they are conducting .
466373799.jpg| 4| Excited horse shakes man off its back .
473988700.jpg| 1| A dog stretches its neck out as it shakes off dust .
4740644849.jpg| 0| A woman in sunglasses with short blond-hair shakes a red tambourine .
4814948204.jpg| 0| A tall man and short woman shake hands while wearing matching black shirts and yellow IDs .
4830850965.jpg| 4| These kids look like they are doing a handshake .
489372715.jpg| 3| An orange dog shakes his head very hard on the sand .
504385521.jpg| 2| A big dog shakes itself dry while standing in a creek .
5882565072.jpg| 0| two female tennis players in white shake hands at the net , with two people in the background viewing from afar .
603452271.jpg| 0| A man holding a red-lidded coffee cup looks on as another man in a brown shirt simultaneously shakes hands and receives a piece of paper from a woman in a pink top .
6363541997.jpg| 0| A tennis match on a red clay court in concluding as the winners in black celebrate , while the losers , in white , walk over to shake hands .
6848904367.jpg| 4| A woman shakes a cocktail .
6918285809.jpg| 0| A man in a brown shirt standing behind a bar pouring a drink from a metal shaker .
7004820202.jpg| 0| Two men , wearing blue shirts , shake hands outside the office
7081259615.jpg| 3| A rugby player in a white and red jersey shakes a tackle from a member of the opposing blue team .
7184992060.jpg| 0| A new graduate is reaching over to shake hands with a man behind the roped off section separating them .
7343282792.jpg| 1| Two Olympic athletes shake hands outside the training center
