image_name| comment_number| comment
1096800382.jpg| 2| Two people having a discussion sitting in a restaurant .
115125072.jpg| 0| Five Asian doctors in green hospital scrubs and masks having a discussion over what appears to be an ongoing operation .
1153857697.jpg| 4| Employees of a park discussing work .
120542286.jpg| 3| Two men are discussing sometime near a wall with some graffiti on it .
1364148267.jpg| 1| A man in an orange raincoat is discussing something with another man wearing work clothes near a sewer manhole .
1454439103.jpg| 4| Baseball pitcher and catcher discussing
1469138762.jpg| 0| Two woman are walking by discussing something seriously .
1516097777.jpg| 3| Several men on stage having a discussion .
158388874.jpg| 1| A representative of the Museum of Modern Art discussing something with a tourist or benefactor , while a woman in the background goes toward the exit .
170473787.jpg| 1| A cop is walking a crime dog to find something while paramedics discuss by their van .
175398811.jpg| 2| Two men having an intense discussion over drinks .
185961883.jpg| 4| Three men in a living room having a discussion .
1939402682.jpg| 1| 2 Men in a classroom , one standing and one sitting while participating in a discussion .
208025491.jpg| 3| Two men , one enjoying a beer , have a discussion .
2084851847.jpg| 3| Seven people sit at table in metal fold-up chairs discuss topic .
2127166904.jpg| 2| Four Walmart shoppers in a deep discussion in the grocery section .
2230140329.jpg| 2| Three gentle men having a discussion about the seminar they just attended in Florida .
2299867034.jpg| 0| Two women standing and having a heated discussion , with a group of men and women in the background standing together and talking .
2318744295.jpg| 2| People meeting and discussing different ideas while several people are on their computers .
2332806484.jpg| 1| Man and woman discussing a topic while sitting in chairs , a water bottle sitting on the table .
2347772881.jpg| 1| Two men in business suits are discussing a topic while standing up in front of a podium .
2367387854.jpg| 3| A woman sitting in chair discusses a topic into a microphone .
2408570692.jpg| 2| A group of woman discussing the artwork as they wait for the train .
241345596.jpg| 1| The Oklahoma Sooners football team discuss their game while fans cheer .
2425148763.jpg| 4| A classroom of students discussing lecture .
2447750378.jpg| 3| Men discuss something while in front of stand .
2493782805.jpg| 1| Two men in Fez 's have a discussion in an outdoor market .
2494520072.jpg| 2| Two women with short hair are discussing something .
252210274.jpg| 3| Three people discuss the setting up process for a social event .
252924535.jpg| 2| Two elderly men are discussing something out on a the sidewalk .
2534904279.jpg| 1| Four men and one women are discussing something together on a stage with microphones .
2537544551.jpg| 2| Three men are having a discussion in front of a marketplace .
2537755800.jpg| 1| Two construction workers have a discussion while on the work site .
2537824400.jpg| 2| Construction workers in neon orange vest and hard hats discussing .
2595568972.jpg| 2| People are standing and discussing in a road near a bus .
2638177115.jpg| 1| A few soldiers have a discussion while onlookers stand nearby .
264460711.jpg| 0| A group of men and women are having a discussion in a restaurant .
2661641497.jpg| 1| Two men have a discussion in front of a bedroom window while a woman lies asleep .
271572671.jpg| 4| Two men are discussing something .
2718184776.jpg| 3| A group of friends discussing what to do at the event .
2773744784.jpg| 2| Two men are having a discussion after a wedding .
"2815256108.jpg| 3| Two men discuss a sign that says "" Jesus or Hell "" ."
2849169944.jpg| 4| A group of women and a dog are discussing amongst each other
286084055.jpg| 2| One man and two women having a discussion over white wine
287465694.jpg| 3| Three men are discussing business plans .
2917463531.jpg| 1| At a naval yard , a man in a white Navy officer 's uniform is standing by two older men having a discussion .
294111300.jpg| 4| A man and woman hold a discussion near a microscope .
2941340576.jpg| 3| Three men are having a discussion behind a tow truck .
2957676092.jpg| 1| An Army officer discuss training with other Army personnel .
2957688236.jpg| 2| Three soldiers are having a discussion in front of a playground , while others look on .
2987232840.jpg| 4| a group sitting at a table discussing a subject .
2987593918.jpg| 2| Three Chinese women are discussing something .
2993318965.jpg| 3| Two women and a man are having a discussion at an event .
308859429.jpg| 1| Three construction workers discussing how a project should be started .
3097981044.jpg| 2| People sitting at a table filed with paperwork , having a discussion .
31326591.jpg| 4| Three person are discussing something .
3171402701.jpg| 3| An older couple discusses a vegetable .
3175887061.jpg| 0| Two male friends sit at table in a restaurant discussing bar camp , which one advertises with a small sign .
3197960343.jpg| 1| A college student is discussing while wearing a pair of goggles , as if he is a scientist .
3240475298.jpg| 1| Two men hold a discussion on a street curb while a yellow taxi drives past a chaotic background of advertising .
3253523210.jpg| 0| Three standing figures dressed in blue are having a discussion in an open gate by a building entrance .
3263182360.jpg| 0| A professionally dressed woman standing at a podium debating or discussing something of importance .
3313869283.jpg| 1| A black youth in a blue shirt engages in an animated discussion with other young people around a table .
3353295436.jpg| 1| Indian students working and in discussion in a classroom .
3433944385.jpg| 3| Several young men having a discussion around a table .
3434755676.jpg| 3| People are in a room discussing around a computer printer .
3443404125.jpg| 0| Two older men are having a discussion outdoors in an area with stone walls and floor .
3551834525.jpg| 4| A couple is having a discussion on the edge of a canal .
3576186562.jpg| 1| A group of women sit in chairs and have a discussion .
3579131288.jpg| 2| Two ladies discussing something while one holds a bag .
357924786.jpg| 3| Two women discussing at a red table in a restaurant .
3595795327.jpg| 0| Some school teachers are doing crafts and the others are discussing something in a colorful room .
360509186.jpg| 1| A group of college students sitting on a couch in a coffee shop discussing an exam they just took .
3620197503.jpg| 1| A coach and referee have a discussion while a baseball game is in progress .
375118300.jpg| 3| Two women both with scarfs on their head are discussing the day .
3770161255.jpg| 2| Two men in suits , one sitting and one standing , are having a discussion as they wait for public transportation .
3792020604.jpg| 1| A gentleman wearing a black shirt and brown ball cap is in a discussion with an older gentleman among a group of men .
3864680925.jpg| 0| Workers discussing a tough days events while having a smoke .
3944223391.jpg| 3| Two women discussing a topic at the library .
3972665750.jpg| 3| Indian women discussing their task on a dirt road .
3994980815.jpg| 2| Three adults finishing a meal and enjoying wine and discussion .
4033049067.jpg| 3| Two older men present photos and discuss their lives .
404591372.jpg| 4| Two firemen discuss their job .
4088598675.jpg| 3| A man and woman are having a discussion while military members look on .
4116937168.jpg| 0| Three young men gathered at a table with drinks having a discussion .
4126478893.jpg| 2| Grandparents are discussing their son 's future seriously .
4151679198.jpg| 3| Several girls are having a discussion after rollerskating .
421780367.jpg| 1| A tractor sit in over a pipe and running water , while three men stand by and discuss .
