ID,Sentence,Verb,Lemma,PropBank Role (n),q1,q2,q3,q4,Original Sentence,Processed Sentence,Finalized sentence,Image ID
22,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,drive-01,drive,,outdoors,man-made,transportation_urban,,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,People were driving around in futuristic looking vehicles as the man approached and was watched by the crowd.,a person drives around a futuristic looking vehicle while a man approaches and a crowd watches .,4
53,a brown dog running on a lawn near a garden hose,run-02,run,,outdoors,natural,,field_forest,a brown dog running on a lawn near a garden hose,The brown dog ran.,a brown dog running,10
118,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,run-02,run,,outdoors,natural,,field_forest,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,The child in a dress with an orange mini soccer ball ran.,a child in a dress runs with a miniature orange soccer ball .,23
130,a woman sleeps under a blue and white blanket in a car .,sleep-01,sleep,,indoors,man-made,transportation_urban,,a woman sleeps under a blue and white blanket in a car .,The woman is sleeping.,a woman sleeps,25
136,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,kneel-01,kneel,,outdoors,natural,,body_of_water,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,The man with the children was on his knees.,a man is kneeling down with a child ,27
170,men playing volleyball in the sand .,play-01,play,,outdoors,man-made,recreation,,men playing volleyball in the sand .,The man played volleyball.,men playing volleyball,33
217,a little boy playing in the water .,play-01,play,,outdoors,man-made,recreation,,a little boy playing in the water .,Little boy playing.,a little boy playing.,43
222,a blond dog and a black and white dog run in a dirt field .,run-02,run,,outdoors,natural,,field_forest,a blond dog and a black and white dog run in a dirt field .,The dogs were blonde and black and white.,a blond dog and a black and white dog run,44
231,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,jump-03,jump,,outdoors,natural,,field_forest,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,People dressed in a tan jacket jumped on quads over the harvested cornfields.,a person dressed in a tan jacket jumps a quad over a harvested cornfield,46
372,girl wearing blue shirt and black shorts plays trumped outside .,play-01,play,,outdoors,man-made,recreation,,girl wearing blue shirt and black shorts plays trumped outside .,The girl in blue shirt and black shorts is playing trump.,girl wearing blue shirt and black shorts plays trumped .,74
460,kids play around a statue bust outside .,play-01,play,,outdoors,man-made,recreation,,kids play around a statue bust outside .,Kids playing.,Kids play,91
489,a woman is drinking a beverage in a busy cafe .,drink-01,drink,,indoors,man-made,restaurant,,a woman is drinking a beverage in a busy cafe .,The woman drank the beverage.,a woman is drinking a beverage ,97
531,"three children are playing outdoors , two of them on a metal barrel swing .",play-01,play,,outdoors,man-made,recreation,,"three children are playing outdoors , two of them on a metal barrel swing .",Three of the two children were playing.,three children are playing .,106
532,two children swing in dusty rooftop from a swing made from a steel drum .,swing-01,swing,,outdoors,man-made,recreation,,two children swing in dusty rooftop from a swing made from a steel drum .,Two children swing from a swing made of steel drums.,two children swing from a swing made from a steel drum .,106
664,"person leaning against the wall , next to a life size cartoon cut out .",lean-01,lean,2,outdoors,man-made,transportation_urban,,"person leaning against the wall , next to a life size cartoon cut out .",Lean on people.,Person leaning,132
701,two swimmers race in a pool with a red line between them .,race-02,race,,outdoors,man-made,recreation,,two swimmers race in a pool with a red line between them .,The two swimmers raced on a red line.,two swimmers race with a red line .,140
1008,an older couple passes by a young lady on the sidewalk .,pass-by-17,pass,,outdoors,man-made,transportation_urban,,an older couple passes by a young lady on the sidewalk .,The older couple passed by the young lady.,an older couple passes by a young lady,201
1039,three children are practicing martial arts in a gym .,practice-01,practice,,indoors,man-made,recreation,,three children are practicing martial arts in a gym .,Three children practice martial arts.,three children are practicing martial arts.,207
1141,a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,lean-01,lean,2,outdoors,man-made,transportation_urban,,a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,The short-haired lady in a black jacket leans in.,a lady with short hair wearing a black jacket leaned .,228
1203,a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,use-01,use,,indoors,man-made,work_education,,a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,The perch man used a net to scoop the fish from another aquarium.,a man perched is using a net to scoop a fish from another aquarium .,240
1206,a dark-haired man is speaking into a microphone while another man is sitting beside him .,speak-01,speak,,indoors,man-made,other_unclear,,a dark-haired man is speaking into a microphone while another man is sitting beside him .,A man with dark hair spoke with a microphone while another man sat nearby.,a dark-haired man is speaking into a microphone while another man is sitting .,241
1301,people pass each other on a busy city street while talking on their cellphones .,pass-by-17,pass,,outdoors,man-made,transportation_urban,,people pass each other on a busy city street while talking on their cellphones .,The person passed by while talking on his cellphone.,people pass each other while talking on their cellphones .,260
1388,person with two ski poles skiing down a snowy hill .,ski-01,ski,1,outdoors,natural,,mountain,person with two ski poles skiing down a snowy hill .,Skiers with two ski poles ski down.,person with two ski poles skiing down .,277
