image_name| comment_number| comment
1007205537.jpg| 1| A man in green pants and blue shirt pushing a cart .
1018057225.jpg| 0| a boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool .
103306033.jpg| 0| A woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller .
1082252566.jpg| 0| A large brown dog is pushing a small Boston terrier with his face while anouther dog watches .
110647073.jpg| 0| Two men pushing wheelbarrows , two men looking at them , they are in the desert near some block construction buildings .
118187095.jpg| 0| Twin toddlers dressed alike being pushed in plastic car strollers in a parade
11914981.jpg| 1| Three people push a piece of large machinery through the street .
1250845715.jpg| 0| Two women sitting under a tent , one with shirt red-hair , dark clothes drinking and the other laying down playing the guitar in a green top and jean peddle pushers both barefoot .
1289625678.jpg| 0| A young child in pink is pushing downed leaves as grass into a pile .
129846884.jpg| 2| A kid pulling a red push car toy on the grass .
1335519498.jpg| 2| A woman is pushing a young girl in a swing .
1336391319.jpg| 2| A man pushing a hand-truck of boxes is bending over to pick up a pear .
1342766791.jpg| 2| Little boy pushing another little boy up the pole .
135436842.jpg| 4| A man pushing a cart near the subway .
1374577120.jpg| 2| A grandfather is holding his grandson while pushing a stroller at a baseball game .
1387785218.jpg| 0| A little kid in blue shoes is pushing a toy baby in a stroller .
1458551560.jpg| 4| A man pushing a cart with an umbrella attached .
1459581481.jpg| 0| A sleeping baby is being pushed in a stroller on a walkway next to a large body of water .
1466307485.jpg| 4| A person in a safety vest pushing a truck .
1479513774.jpg| 0| A longhaired woman in a green coat is standing and pushing a crosswalk signal button .
148717151.jpg| 4| A child is pushing a tire .
156222796.jpg| 0| Many people in a public area , many pushing children in strollers .
1567005236.jpg| 1| A woman in a black dress is pushing a cart with thermos down a paved walkway .
1616220830.jpg| 0| A man with white shirt and blue jeans pushing a truck with a picture of a woman Edwards saying real colors never dye
170737141.jpg| 0| Woman pushes her two young boys both in red in stroller by the train .
1720835468.jpg| 1| A man pushes a cart of goods down the road in a foreign country .
173500456.jpg| 0| A man pushes a miniature train engine which a little boy , possibly his son , is riding down a track at a park of some sort .
1806088665.jpg| 4| A boy is pushing the mary-go-round , in his bare feet .
1812525037.jpg| 0| The two young children are in black and white face paint and costumes while riding in a stroller , they are being pushed by a man also in face paint and a costume
1857399990.jpg| 2| A young man in a tie , pushing his bike .
190966995.jpg| 0| An elderly man pushes a cart with a loved one 's memorial picture down the street .
1931018353.jpg| 1| A man pushing a carriage peruses the goods sold at a store .
19786858.jpg| 1| A group of children , riding bikes , wait on the edge of a skateboarding bowl , while a woman in a white shirt pushes a child in a stroller and a man in a woman sit in brown lawn chairs .
1998457059.jpg| 1| A child is pushed by a large wave while holding his yellow surfboard .
2047030603.jpg| 0| A man with glasses and black coat pushing a cart full of bags on a travelator .
205842.jpg| 0| A little girl wearing a pink shirt and backpack is pushing a little boy wearing a green shirt in a blue stroller .
2061354254.jpg| 0| A little boy being pushed by an older person on playground
2090545563.jpg| 0| the boy laying face down on a skateboard is being pushed along the ground by another boy .
210711305.jpg| 0| A man and two women are walking down a wooded path , the man is pushing a young child in a three wheel carriage .
212556127.jpg| 1| A man laughs while moving with one two-wheeled push scooter on each foot .
2127166904.jpg| 0| A man in a gray sweater speaks to two women and a man pushing a shopping cart through Walmart
219070971.jpg| 3| A dirt biker pushes his motorcycle up a rock while another rider watches .
2204777844.jpg| 0| A child in red , wearing rollerskates is being pushed along by an adult in black .
2206060803.jpg| 0| A painting of a marketplace with a man pushing a cart full of buckets , some customers at a shop , and a black woman with two children .
221510405.jpg| 4| A man pushing multiple carts onto a trailer .
2222976136.jpg| 1| A man pushes a cart of bananas down the street .
2244157257.jpg| 1| A woman is pushing her child in a four-wheeled cart .
2254990707.jpg| 1| Some men in burgundy coats try to push a car in the snow .
2266144051.jpg| 1| A man wearing a black helmet is pushing his bicycle .
2268207503.jpg| 0| A lady pushes a stroller , behind a child , riding a tricycle , while another child walks along side .
2279496715.jpg| 0| A young girl wearing pink is pushing a green wheelbarrow with a young blond boy in it .
2303356248.jpg| 1| Two young children are being pushed on a tire swing with snow on the ground .
2312746782.jpg| 0| The small girl in the red shirt pushes the little boy on the baby swing .
2326795765.jpg| 0| A hotel bellboy is pushing a gold colored metal luggage cart filled with various pieces of luggage outside of a fancy hotel .
2363918218.jpg| 0| A man standing on a boat with a long pole is pushing the boat in the ocean .
2365967839.jpg| 3| Adults are pushing kids in toy cars around a track .
2371749487.jpg| 0| Two young boys , the older pushing the younger in a jeep shaped wagon .
2373790865.jpg| 0| A woman in a black coat and carrying a yellow shopping bag is looking on while an older woman is pushing a wheeled shopping cart in a city .
2375770917.jpg| 0| A grocery store worker is pushing fourteen shopping carts against a white wall .
2392760448.jpg| 0| A man is pushing a blue cart through a dirt road .
241345721.jpg| 0| The American footballer wearing red is pushing the player in white to the ground .
2420696992.jpg| 1| A toddler boy is riding a push car designed as a police car in a home .
2421367904.jpg| 2| A group of people push a boat away from the water onto the beach .
2456907314.jpg| 1| A man on a boat is using a large stick to push another boat away .
2466093839.jpg| 0| One boy is running and pushing another little boy on a toy with wheels on it .
2496523295.jpg| 1| A man wearing a green jumpsuit pushing a wagon is waiting to cross the street .
2508019949.jpg| 0| A person dressed in a dress with flowers and a stuffed bee attached to it , is pushing a baby stroller down the street .
2512682478.jpg| 0| A little boy in a blue shirt and blue jeans is pushing the swing that a little boy in a red shirt and blue shorts is sitting in .
2515372403.jpg| 0| Six people in a gray and orange raft numbered RR-16 pushing off the shore of a lake
2526041608.jpg| 2| A football player in a yellow jersey is pushing away another player .
2528117348.jpg| 0| A man wearing a gray long-sleeve shirt and khaki pants pushes a machine that is painting a yellow stripe on a parking lot .
2535300381.jpg| 0| Two children push a younger child on a swing that is hanging from a large shade tree .
2540203582.jpg| 1| A girl on a pink scooter pushes herself down a subdivsion sidewalk .
2558512615.jpg| 0| A baby holds a cellphone and stares at the screen while pushing buttons .
256439287.jpg| 0| A woman is pushing a man in a wheelchair toward the camera on a brick street while other people are passing behind them .
258501174.jpg| 0| Two men with orange shirts pushing children in strollers during marathon .
259520146.jpg| 0| Dates , Nuts , Spices , neatly segmented on a cart with scales being pushed by a man .
2600170955.jpg| 0| a boy in a green shirt is pushing a shopping cart in which a boy in a yellow shirt is riding .
2601454675.jpg| 0| A man wearing a brown shirt and backpack is pushing a stroller while a small toddler is walking along aside him on a rain-covered street .
2602215145.jpg| 4| A man with a green cap is pushing a lawn mower .
2662570182.jpg| 1| A man pushes a child in a blue car while another child looks on .
2680990587.jpg| 0| A child pushes another that is sitting in a swing near playground equipment .
268654674.jpg| 0| The couple pushed the strollers across the wood bridge and the dogs followed .
2700457501.jpg| 2| a woman wearing a plaid skirt pushes water off the sidewalk with a yellow broom .
2726222057.jpg| 0| A woman in a blue shirt and a bicycle helmet pushes a special bicycle that holds a baby in a car seat and a shovel .
2774501339.jpg| 0| A young man dressed up with a yellow tie jumps against a wall and one foot is left against the wall to push away .
280398024.jpg| 0| In front of a Penney 's store , a metal sculpture depicts a man dressed in a suit and top hat holding broom and pushing a wheelbarrow containing a suitcase , a bucket , and another object .
280840823.jpg| 2| Three young men are playing monopoly together , and one is being pushed by the other .
2838619742.jpg| 0| A half naked man pushes against the trunk of a fig tree .
2875823162.jpg| 2| A woman dressed as a clown attempting to push a bus .
2876232980.jpg| 1| a child is pushing another kid in a wheeler dressed in a red top and wearing a cap .
2885387575.jpg| 0| A graying dog is pushing a blue soccer ball downhill with his nose .
2913345328.jpg| 1| Man in jogging attire pushing child in jogging stroller on the beach .
2924689361.jpg| 0| A young woman pushing a child on a swing , with two other children at a playground .
2929506802.jpg| 2| boy pushing wagon with two pumpkins in it
2936693681.jpg| 1| A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background
2941340816.jpg| 0| A car with a heavily damaged anterior is being pushed through the intersection by a few people and a police officer .
2943557287.jpg| 0| Two people are looking at a child as one of them is pushing a wheelchair on the sidewalk .
2944156905.jpg| 0| A man in a green shirt , black pants , black hat , and a backpack , acting like he was pushing a stone wall .
295402802.jpg| 2| A man pushing a bike with a basket can bee seen outdoors through a window .
2960756662.jpg| 2| Asian man walking in a muddy stream pushing a wooden tool .
2977246776.jpg| 1| The girl is being pushed on the swing by the woman .
