image_name| comment_number| comment
1077546505.jpg| 0| A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .
1122357785.jpg| 3| A kid with floaters jumping into a lake .
1123486015.jpg| 0| A man is standing on a small floating raft with a flag .
1129704496.jpg| 0| A brown and white and a black and white dog hauling in a floating toy from the ocean .
1255504166.jpg| 0| A small child in water with a splash encircling him while the white clouds float over the mountains .
128097991.jpg| 1| Boy with dark skin , standing on his head with legs spread , at the end of a floating wooden boat .
1303335399.jpg| 1| A very young boy sliding down a slide into a swimming pool , wearing blue floaties .
1313961775.jpg| 0| A young girl floats on her back in water and peers over her life jacket .
1348113612.jpg| 1| A dog jumps into a swimming pool to retrieve some floating tennis balls .
1398613231.jpg| 0| A man and a young girl in a pink bathing suit float together on an inflatable tube in the water .
1553926084.jpg| 0| A group of men dressed in Japanese style clothing walk near a large float .
1569687608.jpg| 0| Two young fair girls are smiling a posing together while they ride in a boat wearing floatation vests .
162161519.jpg| 0| A man and a smiling young boy in a float vest are swimming together .
16437914.jpg| 2| A young girl with goggles is floating in the pool .
170405864.jpg| 1| Beautiful woman dancing on a parade float holding a little boy .
1732047510.jpg| 0| A large group of asian people are crowding around some sort of float at some sort of festival .
1733724955.jpg| 2| Two women float in a Busch Gardens barrel through a winding water ride .
1818403842.jpg| 0| Two dogs are leaping into a swimming pool trying to fetch the yellow toy that is floating in the water .
183018056.jpg| 0| There is a parade going on in the street , a group of people are holding up an Oscar the Grouch float device .
1876536922.jpg| 0| Two dogs are running through water carrying a rope and red float in their mouths .
194201167.jpg| 0| Several people float in a large , ornately-decorated sailboat .
194702176.jpg| 0| A young male child is floating on a makeshift boat upon a bright blue lake with rocks and light green grasses in the background .
1965278563.jpg| 1| A big brown dog floats in a canoe on the river at sunset .
2057305043.jpg| 0| The purple parachutes floats off the cliff toward the gray ocean below .
2073756099.jpg| 1| A dog is jumping into a pool to get a duck floating there .
2087317114.jpg| 0| A man wearing a helmet in a Pyranha kayak floats down some river rapids .
2091394493.jpg| 2| A man and a child walk along the beach as a ball floats in the water .
2103077124.jpg| 1| A man in a tie-dye shirt stares at a large bubble floating through the air .
2103080234.jpg| 1| Bubbles float amongst a lively crowd gathered at an outdoor carnival .
2120512339.jpg| 2| Two males are staring at a floating object .
2140182410.jpg| 1| There is a person sitting on a plastic blow-up float in the high piled snow .
2178306830.jpg| 0| The scuba diver floats underwater looking at the beauty of the sea .
218225539.jpg| 1| A man jumps toward a floating device in a lake as another man watches .
223299137.jpg| 4| Three people in a boat float on the water at sunset .
2318834690.jpg| 3| A boat floating in the water at sunset .
236569968.jpg| 3| A small white boat is floating in the water .
241374292.jpg| 2| Group of people gathering around a parade float .
2413875259.jpg| 1| A group of people filling up helium balloons , one of the people is trying to float away on one .
"2451253577.jpg| 0| A man pulls a rope that is attached to a floating boat marked "" Avocet Market Drayton "" ."
2460797929.jpg| 0| Several young people in life jackets are sitting on something floating in water .
2460799229.jpg| 3| Three boys in life jackets float on a raft .
2461631708.jpg| 0| Five boys in life jackets sitting on floating device in a lake
247652942.jpg| 2| Hang glider floating through the air above many green trees .
2480333312.jpg| 4| two boats float down on the river
