image_name| comment_number| comment
116569042.jpg| 2| A blurry picture of a man in a blue shirt and hard hat .
129474628.jpg| 1| Someone took a blurred picture of a pizzeria restaurant .
131090759.jpg| 4| This image with chairs is very blurry .
13301546.jpg| 3| A person is bowling in this blurry action shot .
1451143609.jpg| 1| A man sits still on a milk crate while others rush past him in a blur .
1515025681.jpg| 0| Bald , older man with sunglasses and white shirt , blurry crowd around him .
1542033433.jpg| 0| A woman is standing next to a road where the cars on the road are blurry .
1618094569.jpg| 1| A man with black curly hair plays the bass guitar in a blurred photograph .
190083339.jpg| 0| Two adults , one female in white , with shades and one male , gray clothes , walking across a street , away from a eatery with a blurred image of a dark colored red shirted person in the foreground .
2070831523.jpg| 4| A blurry picture of a woman riding a bike .
224153937.jpg| 4| A blurry image of a crowded street .
2329331195.jpg| 0| Two people whose images are blurred on the street at night in a city .
2330030299.jpg| 1| A firefighter looks at another firefighter in the blurry distance .
2339573065.jpg| 2| Woman in black with beverage , with blurry urban background .
2385871165.jpg| 0| A man in a suit with glasses stands in front of a blurry background .
244399048.jpg| 4| A blurry dog inside on a carpet .
2445052906.jpg| 0| Two men play the violin with a blurred music stand and another violinist 's hand in the foreground .
2460134050.jpg| 1| A blurred image of a black and white dog running through the grass .
2602085456.jpg| 0| Topless woman smeared with brown substance , blurry crowd in background .
26217061.jpg| 3| Two men hugging in a blurry photo .
2676651833.jpg| 0| A young girl on a blue and yellow merry-go-round , with a blurry background .
2687229880.jpg| 3| Brunette woman in black walking through blurred crowd .
2773400732.jpg| 1| Girl in purple exercises with blurry background .
2783620390.jpg| 0| Motorcycle rider crouches on bike , blurry background .
280007961.jpg| 1| Open , scatteredly placed umbrellas , fill an exit to a room with black trim doors while a blurry individual looks directly into the camera .
2808098783.jpg| 4| Two blurry dogs .
2860372882.jpg| 2| A man in orange shorts and knee pads is in a blurry picture .
2866254827.jpg| 1| Two motorcyclists on a blurry road , one rider doing a wheelie .
2914331767.jpg| 1| Athlete running on field , blurred athletes running in background .
2952751562.jpg| 0| Gray-haired man in suit , with blurry train station in background .
2983889345.jpg| 2| The blue team member is behind the red team member and there are fans blurred in the background .
3002670780.jpg| 0| Three chefs in a kitchen , the left most chef is flipping something in a frying pan , the middle chef is the only one without a hat , his hands are blurred from movement , the right most chef is wearing glasses and arranging food artfully on a plate .
3027397797.jpg| 1| Shirtless , tattooed man rides skateboard down blurring street near beach .
3039209547.jpg| 2| a closeup blurred image of a man wearing a green shirt and tan pants .
3102363657.jpg| 0| Small boy hugged by person in bee costume , blurry urban background .
3118425885.jpg| 4| A blurry woman eating fish .
3148647065.jpg| 0| a tan dog running through the grass with the background blurry
3245070961.jpg| 0| A young boy in a dark blue shirt runs as the grassy background blurs .
3331797838.jpg| 0| Two bicyclists ride on a road near a green hilly area , one is blurry .
3344233740.jpg| 0| A man is standing on a sidewalk in the background with a blurry image of another man in the foreground .
3394070357.jpg| 4| A blurry dog jumps through water .
3399798295.jpg| 1| two women sharing a drink taking a blurred photo of their faces
3487979741.jpg| 4| A blurred picture on a bicyclist .
3491013009.jpg| 0| The young girl with two red dots on her face is wearing purple beads while another girl is blurred in front of her .
3494394662.jpg| 0| Bearded man in fleece jacket smiles for a picture , the background is blurry
3607489370.jpg| 0| A BMX racer comes down a hill ; everything around him is a blur
3619316324.jpg| 2| A man and woman couple is dancing with blurry trees in the background .
3633396324.jpg| 0| This is a profile shot of an old man in a newspaper boy hat with people blurred out in the background .
3651971126.jpg| 4| A blurry photo of two dogs .
3736180463.jpg| 0| Chubby man holding camera on tripod ," standing in front of bar named "" ON THE ROXX "" with passer-bys blurred by movement ."
3738685861.jpg| 2| A child in a blur shirt playing in a flower bed .
3868284371.jpg| 0| Man in red costume , with a fur hat , a sword and a knife on his belt holding an ax , with blurred people in the background .
4201783749.jpg| 0| In a snowy residential environment , a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo .
4234228276.jpg| 1| Two men sitting on a dinning table , one is the background blurry , and the other one is focused , pointing at something .
425725042.jpg| 0| A man wearing a blue apron in a room filled with equipment performs a blurred action with what seems to be a pitcher .
4407091501.jpg| 0| A mother and daughter kiss in front of a light , blurry background .
4465902203.jpg| 0| A lady in a black dress , black boots and black jacket walks in front of blurred people .
4525537376.jpg| 0| One man facing the entire city , focusing on one thing , everything else is a blur .
4545323253.jpg| 0| A blurred person on a motorized bicycle while three people are on the right side of the street .
463852657.jpg| 0| Smiling oriental woman pointing a lamp at blurry head which is located on the right quarter side of the picture .
4641899410.jpg| 2| A group of older Asian men look on , one blurry in the foreground .
4647056741.jpg| 0| man and women on motorized scooter together ( in focus ) driving on bridge with background blurred .
4717966711.jpg| 0| An Asian woman , wearing a light blur jacket , enjoys a skewer outside .
4720425886.jpg| 1| Two people , one of them blurred from motion , are preparing drinks in cups .
47820985.jpg| 0| Two woman stand at a bus stop waiting , one is wearing a purple collared shirt and the other is blurry wearing the black shirt .
481561811.jpg| 1| A clown stands in front of a blurred-out crowd .
4850061221.jpg| 0| A group of people sit in an open , plaza-like area with large bushes and victorian-styled buildings in a row behind them , many of which are made indistinct by a heavy blur on the right side of the picture .
498957941.jpg| 1| A little boy running , blurry picture .
5075624295.jpg| 0| Two children soccer players battle over a ball , one wears white with red stripes and is black , the other , number 11 is an unknown race and wears yellow and black a , numbers 11 's teammate is blurred near the goal post .
5870019388.jpg| 0| A closeup of a young boy with a green shirt and brown hair looking down and to his right against a blurred grassy backdrop .
5876512276.jpg| 4| A group of people in a blurry photo are standing in concentric circles and clapping .
6310645834.jpg| 0| A black , red , and white race car zooms by on a gray track with a blue border , sharply in focus compared to a blurred crowd in the foreground .
6315308573.jpg| 0| Several bike racers zoom horizontally down a street with a motion blurred forest in the background .
6440454931.jpg| 0| A motorcycle rider on a cobalt blue motorcycle , leans hard while the background is just a blur .
6458025621.jpg| 3| BMXer in the air with motion blur on the forest background .
6503557611.jpg| 1| A snowboarder in focus in mid-jump with blurred mountain background .
