image_name| comment_number| comment
1026685415.jpg| 1| A wet black dog is carrying a green toy through the grass .
1051205546.jpg| 2| Two Indian women in saris are bending over a wet street .
1065831604.jpg| 0| A bunch of people in racing gear and helmets racing bicycles around a corner on wet pavement .
1077931201.jpg| 1| A man in a wetsuit is throwing a toddler up in the air and is ready to catch him .
1236951314.jpg| 4| A boy in a wetsuit jumps into a pool with a bald man .
1299459550.jpg| 1| A toddler in blue shorts is laying face down on the wet ground .
1299459562.jpg| 1| three boys in size order getting wet next to a wall
1332867233.jpg| 1| Two children are on the beach and are playing in the wet sand .
1333788342.jpg| 1| A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand .
1348891916.jpg| 2| A wet dog on a leash is running through some water .
1350948838.jpg| 2| A wet black dog jumps into a pool to fetch a ball .
1405221276.jpg| 2| One dog shaking the water off , getting a second dog wet
141126420.jpg| 0| Guy in black wetsuit is riding a wave with a white surfboard .
1418266617.jpg| 1| A wet , white dog is jumping over obstacles .
1433577867.jpg| 1| A wet white dog is splashing in the water with a stick in its mouth .
1473080948.jpg| 0| A kayaker wearing a blue wetsuit and black helmet paddles his yellow kayak in murky rolling rapids .
1479124077.jpg| 3| a wet boy jumping around on dirty wet grass
149882790.jpg| 0| A man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .
1526325728.jpg| 2| A gray colored dog walks in wet sand at a beach .
156021287.jpg| 4| A boy jumping down a wet inflatable slide .
1572227770.jpg| 0| A woman is holding some tissue and appears to be wet from the head ; she is being consoled by a male friend wearing a blue shirt .
157747588.jpg| 1| A group of people are standing around a water fountain getting wet .
171133671.jpg| 1| A middle-aged man stands in wet , unpaved cement with a somewhat puzzled look on his face .
1733724955.jpg| 1| Two women , who are soaking wet , are riding on a water ride in a barrel .
18056405.jpg| 2| A man in the subway waits with his wet umbrella for the next train .
182246705.jpg| 0| Two young boys are walking over a wet section of pavement , one is holding a hat over his head , the other is holding an umbrella .
187780595.jpg| 3| A man in a green shirt smoothing wet concrete .
1921398767.jpg| 2| A dog has a wetsuit in his mouth on the beach .
1928319708.jpg| 3| A man rides his bicycle on a wet road .
1957371533.jpg| 3| Black and white dog shaking its wet head .
2032982693.jpg| 4| The dark streets are wet .
2051194177.jpg| 3| A wet dog carrying a stick in its mouth is walking out of the lake .
206087108.jpg| 0| A man laying on the ground with a wet spot on his pants and a white and red hat .
2089340439.jpg| 0| A tan man with short , black hair wearing a full body wetsuit is surfing on a whiteboard .
2092870249.jpg| 2| A man looks under a car on a wet street .
2101457132.jpg| 2| A wet black dog leaps across a stream .
2120383553.jpg| 3| A girl wrings out a wet shirt .
2121357310.jpg| 1| A boy in a swimsuit slides along a stretch of wet plastic .
215123993.jpg| 0| A surfer wearing a wetsuit rides a wave on a bright day .
2178064851.jpg| 2| A wet child stands in chest deep ocean water .
2186367337.jpg| 2| A dog runs on wet sand as a man in yellow pants walks further back .
2192475933.jpg| 0| A boy wearing a black wetsuit stands on a crowded beach .
219301555.jpg| 1| An extremely wet woman is wading in front of a waterfall .
2201951969.jpg| 1| A woman in a wetsuit aids a fish in need of attention .
2204545235.jpg| 4| A wet crying baby wrapped in a red and blue towel .
220513228.jpg| 1| A person wearing a wetsuit is surfing on a white surfboard .
2232694969.jpg| 0| A naked child stands facing two wet objects that are lying in a small pool of liquid and green substances .
2243345188.jpg| 0| Two women from Florida experience snow for the first time , jumping for joy at the sight and feel of the cold , wet northern treasure .
2244024374.jpg| 1| Two dogs are running through a wet , grassy area and one is carrying a long stick .
2256447557.jpg| 3| Group of girls hanging out on a wet sandy beach .
2258662398.jpg| 0| A child in a black wetsuit is in the waves on a surfboard .
225909073.jpg| 0| A wet German Shepherd dog is running out of the ocean with a ball in its mouth .
2274021471.jpg| 1| A shirtless man with glasses and wet hair shaving facial hair .
2276120079.jpg| 1| Several children are playing outside with a wet tarp on the ground .
2295177295.jpg| 2| A little boy is playing on a wet stone surface .
2307451605.jpg| 1| a wet black dog with a red collar is in the river
2323096887.jpg| 0| A man wearing a black wetsuit cutoff at the elbows and knees surfs on a white surfboard .
236518934.jpg| 1| A wet dog is jumping through some water on a beach .
2376878930.jpg| 2| A young boy playing tennis on a wet court with no shoes .
2403376030.jpg| 0| A woman in a black sweatshirt is walking on a dock with a wet dog .
241480898.jpg| 0| Two infant boys in diapers and a young girl in a wetsuit play on the beach with shovels and buckets for the sand .
2415265825.jpg| 0| A wet black dog walks on the sand with a rock wall behind .
24186977.jpg| 0| Two construction workers in orange vests and green hats are smoothing out wet cement .
2423138514.jpg| 0| Two young , naked boys are wet , while one raises his arm .
2455900347.jpg| 0| A man wearing a raincoat and a white hat is sweeping outside on wet brick floors .
2481003841.jpg| 3| two young boys in swetashirts at a playground
2491343114.jpg| 0| A skinny brown dog runs across the wet sand with his mouth open .
2528521798.jpg| 2| A white race car makes a splash through a wet track .
2533642917.jpg| 4| A wet child standing in water .
2533733805.jpg| 2| Three women in winter coats walk along a wet street .
2537665596.jpg| 0| Some construction workers , there is concrete being mixed in wheelbarrows , they are building or repairing a wall , the wall is wet still .
254119388.jpg| 3| Three boys sit on a wet basketball court .
2555622234.jpg| 0| A wet German Shepherd runs along the waves on a beach .
2561212119.jpg| 2| A wet black lab with a red collar is standing in the water .
2561481438.jpg| 0| A wet brown dog is jumping from some water onto the grass
256405548.jpg| 2| Two men in wetsuits supervise children as they learn to swim .
2587017287.jpg| 0| a wet golden retriever is walking through a lake
2597071945.jpg| 0| A male surfer , wearing a blue and black wetsuit , it laying down on his surfboard while riding a large wave in the middle of the ocean .
2601454675.jpg| 4| A man is pushing a stroller down a wet road with a child walking along side .
2613209320.jpg| 1| A very wet brown dog is emerging from the water .
2677528593.jpg| 1| People in wetsuits jump into the water from a concrete dock .
2685343089.jpg| 0| A little boy is playing in water in the street and wearing a wet t-shirt , as a man in a red shirt and a woman in a blue shirt are walking on the sidewalk behind him .
2704934519.jpg| 3| A girl swings her long , wet hair in a lake .
2706430695.jpg| 4| Two girls walking on a wet sidewalk
2709695869.jpg| 0| A man in a green shirt is getting his feet wet in front of a wall showing a closeup picture of a face .
2710280476.jpg| 3| A wet dog flies through the air while an amazed woman and boy look on .
2755362721.jpg| 3| Two dogs on a wet , sandy track .
2759879165.jpg| 2| Person with red umbrella walks across a wet sidewalk .
2762301555.jpg| 1| a toddler is with wet hair stands by swimming pool wrapped in a towel .
2766765386.jpg| 0| A surfer in a black wetsuit surfs on a medium wave .
2775249812.jpg| 2| A wet young girl in a white coat stands among water fountains .
2788652511.jpg| 1| A young child wearing a yellow wetsuit rides on a surfboard .
2792212974.jpg| 2| Woman 's long wet hair gives off spray in water
2794605643.jpg| 0| A woman with a yellow t-shirt on running from people with water soakers with two water bottles while two guys are soaking wet .
280896848.jpg| 0| Two men and a woman stand together on a wet street wearing jackets , hats , and the woman carries an umbrella .
2810412010.jpg| 1| A woman is throwing her wet hair back creating a pattern with the dripping water .
2823575468.jpg| 4| A wet boy carrying goggles runs .
2826701936.jpg| 4| Children having fun getting wet .
2826769554.jpg| 1| The wet , brown dog has a stick in his mouth and is running in the sand next to the water .
2837804631.jpg| 2| A little boy playing and getting wet from a park fountain .
2842439618.jpg| 0| A surfer in a black wetsuit catching a wave while another one tries to catch up with him .
2847541837.jpg| 0| Five children playing on the beach as waves are rolling in , getting their feet wet .
2855695119.jpg| 4| A very wet dog in a river .
2858439751.jpg| 0| A motorcycle racer is turning around a curve on a wet road .
2913818905.jpg| 4| Two dogs running on wet sand .
291768952.jpg| 0| This guy in the green shirt is showing how easy it is to jump and act a fool on wet surface .
2925162156.jpg| 2| Two contest runners running down a wet street .
2925577165.jpg| 2| Minivan drives down wet urban street at night , splashing water .
2933912528.jpg| 1| Two wet , black dogs are running through some sand .
295433203.jpg| 4| Two wet dogs .
2972929655.jpg| 3| Two men draw in the wet sand of a beach .
2978409165.jpg| 0| A man in a blue wetsuit rides a wave on a white surfboard .
2978810122.jpg| 3| A person in a wetsuit surfs a big wave .
29813421.jpg| 1| A blond little boy with green and blue shorts is digging a hole in wet sand .
2984440027.jpg| 0| People walk on a wet sidewalk that has red bricks inlaid in it .
29850055.jpg| 0| A boy sits on the wet sand at a beach , playing with a plastic shovel .
3000428313.jpg| 1| A boy wearing a blue wetsuit rides on a blue surfboard .
3006217970.jpg| 0| A racing car is driving around a wet track with its headlights on .
300922408.jpg| 1| A man kneels in the wet sand at a beach near a dog .
3019923691.jpg| 1| A wet dog shaking off the water with an orange collar .
3023927196.jpg| 1| Two men , underwater in wetsuits make weird hand signs .
3025546819.jpg| 1| A wet dog runs through the yellow grass holding a tennis ball .
3032519316.jpg| 1| Two women in wetsuits sitting on the edge of a boat are preparing to scuba dive .
3033498874.jpg| 1| A group of people in black shirts walking on wet cement through a park .
303607405.jpg| 2| A wet bulldog shakes off water .
3048597471.jpg| 0| A wet , brownish-red dog with an orange ball in his mouth is swimming in some water .
3051598721.jpg| 1| A groom holding up his bride 's train to ensure that it does n't get wet on a rainy day .
3064383768.jpg| 3| A surfer in a wetsuite jumps waves .
3084380974.jpg| 0| A surfer in a full body wetsuit in the ocean with a white surfboard .
3085667865.jpg| 1| A person in a wetsuit is in midair while surfing .
308956341.jpg| 1| A wet black dog shakes itself off .
3093971101.jpg| 2| Surfer in wetsuit riding before a wave
3094317837.jpg| 0| A person wearing a black wetsuit jumps high above a wave with a surfboard .
3111402233.jpg| 2| A brown , wet dog shaking off the water .
3116011063.jpg| 0| Surfer in black wetsuit falling off his board into the water .
3126724531.jpg| 1| The surfer in the wetsuit is riding a wave .
3126981064.jpg| 1| A man in a black wetsuit is surfing on a big wave .
3128164023.jpg| 1| Two brown and white dogs wrestle while running across the wet sand .
313051099.jpg| 3| Dog with long wet hair biting stick .
3134092148.jpg| 2| Surfer in wetsuit riding a wave .
3147758035.jpg| 1| A man on a bike and another man with a dog in his bag crossing a wet street
314976887.jpg| 1| A man playing the bagpipes in traditional garb plays while walking down a wet stone street .
3150380412.jpg| 1| A wet dog is splashing through shallow water .
3150659152.jpg| 1| A man in a blue canoe navigates in a wetland with tall palm fronds .
3162045919.jpg| 1| A man in a wetsuit is surfing up and over a wave .
