image_name| comment_number| comment
"101001624.jpg| 0| The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood ."
1014785440.jpg| 0| Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .
105685221.jpg| 0| Several people jogging outside on a sunny day in what seems to be a neighborhood , could be part of a marathon .
1289352548.jpg| 1| Two and four footed neighbors stop by to visit .
1317156.jpg| 0| An ice cream truck with an open door is driving through a residential neighborhood .
133243755.jpg| 3| Many kids in white shirts are walking through a neighborhood .
1578355853.jpg| 1| A group of people sitting on concrete steps at a neighborhood basketball court .
16397322.jpg| 0| Pedestrians walking and riding their bikes on a nice neighborhood .
1805990081.jpg| 2| A young boy showing off while walking his white dog in a neighborhood .
1974336555.jpg| 2| A man is kicking fallen leaves on the street in a neighborhood .
2027440528.jpg| 0| A middle-aged man riding his black motorcycle through a neighborhood .
2115620856.jpg| 1| A nice neighborhood street in the beautiful green foothills .
2164665069.jpg| 0| A woman standing in smoke or steam underneath a beach umbrella in a neighborhood holding a food platter .
2194794307.jpg| 1| The whole neighborhood is out enjoying the winter weather and having fun with their children .
233169292.jpg| 2| Children riding bikes and playing on a neighborhood street .
2353830402.jpg| 1| Young lady riding her yellow bike , looking away on a nice neighborhood .
2355819665.jpg| 3| A child rides a bicycle in a sunny neighborhood .
2387419639.jpg| 0| An older man and a young woman avoid making eye contact while sitting on neighboring benches on a bus or train .
2442581927.jpg| 4| A man in red biking in a neighborhood .
2461641557.jpg| 3| A sign on a store in and urban neighborhood .
2500551520.jpg| 1| A group of young children hanging out together in their neighborhood .
2528076469.jpg| 3| A gentleman overlooking a neighborhood situation .
2540203582.jpg| 0| A small child rides down the sidewalk on a scooter in a neighborhood .
269361490.jpg| 0| A group of hip young people walk down the street in a residential neighborhood .
2809338182.jpg| 0| From the inside of a car , a verdant neighborhood and a man on a tractor pulling a fallen tree are visible .
2826647354.jpg| 2| Two young boys ride small bikes on the road of a neighborhood .
3052882352.jpg| 4| A few citizens are going about their day down a neighborhood alleyway .
308452930.jpg| 3| Six neighborhood kids are playing in the snow .
3183330562.jpg| 4| A group of children walking in a neighborhood .
3207799374.jpg| 4| a section of a walking event going through a neighborhood .
325576658.jpg| 0| A person with a blue blanket on his head sits on a metal bench in an urban neighborhood .
3298573714.jpg| 0| A woman is stepping up onto the sidewalk near a garage door in a residential neighborhood .
3301021288.jpg| 0| A small girl dressed in a red sweater playing hula hoop on a sidewalk in a neighborhood .
3308585486.jpg| 3| A young man is performing a skate trick in the neighborhood .
3330333217.jpg| 4| Black men in poor neighborhood .
3349955993.jpg| 1| The boys are playing a game of soccer on their neighborhood street .
3480214619.jpg| 3| A rainbow arches over a suburban neighborhood .
355814651.jpg| 0| Two people are walking through a path with branches from neighboring trees overhead .
3577868513.jpg| 0| A baby is playing outdoors on a sunny day sitting in a colorful kids chair playing with toys , biting the top of a blue toy , with a back drop of green grass and neighborhood fence .
3639691167.jpg| 1| A little league football game is underway in a suburban neighborhood .
370256193.jpg| 1| An elderly woman in a light brown coat is walking down a street in a neighborhood .
3720376242.jpg| 0| It has just rained at a city street corner where shoppers , friends , and neighbors have seemed to stop for traffic and are enjoying each others company .
3787108012.jpg| 1| A nanny watching her neighbors kids after a long hot day in the city of Las Vegas , Nevada .
3818131656.jpg| 1| A male metal worker using a welding tool in his right hand , while holding the mask in his left hand , in a mid-lower or lower class neighborhood .
395798320.jpg| 1| Teenage boys are playing hockey on a neighborhood field
4095536845.jpg| 1| Foreign militants or authorities keeping peace and order on a neighborhood street .
4145970273.jpg| 1| A group of people outside at night in an Asian city or neighborhood .
4201783749.jpg| 3| Two men in winter clothes are cutting down a tree in a snowy neighborhood .
4347559524.jpg| 4| A neighborhood is covered in snow .
4443437862.jpg| 3| A woman walking home from the market in a dirty neighborhood .
4446142718.jpg| 1| Many cars are parked on the road in a neighborhood , and a few people are on the sidewalk .
4459396414.jpg| 1| A limo driving down a street in a graffiti-laden neighborhood .
446291803.jpg| 1| Two people sit on a park bench while watching a neighborhood tennis match .
4510387219.jpg| 3| a bad neighbor hood were there is vandalism on the buildings
4556114229.jpg| 1| Maybe a ghetto neighborhood with vandalism on the buildings .
4612281699.jpg| 1| A young boy and a young girl play in the flood waters of their neighborhood .
4634099785.jpg| 1| A man in a black jacket is walking his small dog in a quaint neighborhood .
464713225.jpg| 3| Five children playing on a neighborhood street .
4673985219.jpg| 1| People walk down a street in an uncrowded neighborhood .
4688196032.jpg| 4| A crowd of people in a city neighborhood .
